Name	chi2Pvalue	empPvalue
module_533	1.63870373E-2	4.35E-2
module_530	1.71733036E-2	4.334E-2
module_539	3.96543788E-2	7.467E-2
module_640	5.66393348E-2	9.75E-2
module_540	7.40671972E-2	1.2095E-1
module_572	1.15435217E-1	1.7384E-1
module_692	1.43251416E-1	1.7011E-1
module_591	1.69819525E-1	2.082E-1
module_682	1.70908607E-1	1.9436E-1
module_697	1.71359266E-1	1.9527E-1
module_592	1.72188442E-1	2.0884E-1
module_587	1.84023933E-1	2.4588E-1
module_736	1.87469432E-1	2.1635E-1
module_551	1.96587222E-1	2.5591E-1
module_593	2.08144699E-1	2.2685E-1
module_567	2.1044558E-1	2.5989E-1
module_552	2.27110702E-1	2.5788E-1
module_560	2.45806285E-1	2.9251E-1
module_519	2.56783567E-1	3.0978E-1
module_538	2.60559223E-1	3.1378E-1
module_562	2.64545045E-1	3.2418E-1
module_621	2.95596725E-1	3.3567E-1
module_513	3.06802925E-1	3.4871E-1
module_658	3.16060671E-1	3.4263E-1
module_554	3.20256801E-1	3.4841E-1
module_499	3.25810542E-1	3.7755E-1
module_556	3.27443342E-1	3.9539E-1
module_583	3.54651678E-1	3.8601E-1
module_636	3.60275248E-1	3.7626E-1
module_622	3.62885186E-1	3.8817E-1
module_643	3.7612807E-1	3.8023E-1
module_644	3.80218515E-1	3.9117E-1
module_512	3.82414122E-1	4.1754E-1
module_642	3.90988125E-1	3.9889E-1
module_659	3.95134569E-1	4.174E-1
module_569	4.0078626E-1	4.2703E-1
module_588	4.05936524E-1	4.1901E-1
module_605	4.08099884E-1	4.2115E-1
module_522	4.11552114E-1	4.4509E-1
module_568	4.56587038E-1	5.0482E-1
module_525	5.21877694E-1	5.5727E-1
module_637	5.34380048E-1	5.4983E-1
module_571	5.38339809E-1	5.669E-1
module_529	5.72484744E-1	6.1244E-1
module_698	6.17162301E-1	6.0098E-1
module_589	6.17918389E-1	6.4775E-1
module_596	6.37420694E-1	6.6385E-1
module_617	6.63788612E-1	6.8681E-1
module_585	7.08979039E-1	7.1099E-1
module_618	7.10933758E-1	7.2309E-1
module_586	7.13509934E-1	7.2598E-1
module_701	7.79690128E-1	7.8109E-1
module_677	8.023752E-1	7.9752E-1
module_528	8.64519442E-1	8.7847E-1
module_747	8.64619761E-1	8.5937E-1
module_725	8.69774425E-1	8.6271E-1
module_808	8.74137296E-1	8.7112E-1
module_638	8.86495531E-1	8.823E-1
module_796	9.23472738E-1	9.1972E-1
module_582	9.4794308E-1	9.458E-1
module_782	9.58551997E-1	9.5741E-1
