Name	chi2Pvalue	empPvalue
module_370	7.1611438E-3	2.6E-2
module_533	1.63870373E-2	4.229E-2
module_458	1.69719921E-2	7.28E-3
module_530	1.71733036E-2	4.19E-2
module_391	2.72161457E-2	6.703E-2
module_481	2.75606886E-2	6.96E-2
module_371	3.94257301E-2	1.433E-2
module_539	3.96543788E-2	7.462E-2
module_472	4.34135609E-2	9.142E-2
module_640	5.66393348E-2	9.839E-2
module_482	5.83836784E-2	1.1094E-1
module_473	5.90212692E-2	1.1467E-1
module_668	6.04727465E-2	8.251E-2
module_480	6.28968882E-2	1.1735E-1
module_475	7.10652824E-2	1.2874E-1
module_540	7.40671972E-2	1.2172E-1
module_737	7.44893969E-2	8.921E-2
module_400	7.96737497E-2	3.288E-2
module_501	8.64368978E-2	1.3137E-1
module_374	8.8295974E-2	1.5852E-1
module_437	8.8833936E-2	1.4744E-1
module_368	8.96768714E-2	1.4173E-1
module_550	8.98371892E-2	1.3649E-1
module_611	9.4943556E-2	1.3732E-1
module_362	9.61304788E-2	1.4169E-1
module_666	1.00588708E-1	1.2337E-1
module_444	1.03384464E-1	1.6406E-1
module_491	1.06370062E-1	1.6469E-1
module_572	1.15435217E-1	1.7314E-1
module_427	1.18794225E-1	1.6699E-1
module_436	1.25793359E-1	1.8203E-1
module_453	1.36605757E-1	1.9511E-1
module_629	1.37332458E-1	1.5229E-1
module_389	1.38036113E-1	1.9398E-1
module_692	1.43251416E-1	1.7029E-1
module_606	1.47830184E-1	1.8533E-1
module_384	1.49867195E-1	2.0293E-1
module_378	1.55384342E-1	2.3132E-1
module_393	1.68335735E-1	2.4053E-1
module_591	1.69819525E-1	2.1073E-1
module_682	1.70908607E-1	1.9479E-1
module_697	1.71359266E-1	1.9746E-1
module_592	1.72188442E-1	2.0644E-1
module_695	1.73337662E-1	1.74E-1
module_359	1.75136093E-1	2.4035E-1
module_369	1.79066067E-1	2.5181E-1
module_438	1.81422341E-1	2.3616E-1
module_452	1.82927124E-1	2.4068E-1
module_587	1.84023933E-1	2.4957E-1
module_602	1.84453417E-1	2.1109E-1
module_736	1.87469432E-1	2.1741E-1
module_520	1.89723133E-1	2.3178E-1
module_574	1.93769736E-1	2.1155E-1
module_551	1.96587222E-1	2.5464E-1
module_392	2.01206072E-1	2.8212E-1
module_432	2.03835131E-1	2.7723E-1
module_733	2.05131772E-1	2.0881E-1
module_593	2.08144699E-1	2.2724E-1
module_460	2.08224942E-1	2.7262E-1
module_576	2.08843866E-1	2.4766E-1
module_508	2.09616383E-1	2.5356E-1
module_567	2.1044558E-1	2.584E-1
module_619	2.12991373E-1	2.6142E-1
module_443	2.22971919E-1	2.4877E-1
module_552	2.27110702E-1	2.597E-1
module_433	2.33267256E-1	2.9124E-1
module_560	2.45806285E-1	2.9423E-1
module_426	2.4588631E-1	3.2393E-1
module_440	2.46271452E-1	5.878E-2
module_471	2.5015418E-1	3.088E-1
module_469	2.51644261E-1	3.1846E-1
module_456	2.54869825E-1	3.2398E-1
module_519	2.56783567E-1	3.1055E-1
module_496	2.58057434E-1	3.0983E-1
module_538	2.60559223E-1	3.1031E-1
module_434	2.62680815E-1	8.484E-2
module_360	2.64505953E-1	1.0585E-1
module_562	2.64545045E-1	3.2446E-1
module_462	2.73702943E-1	3.4478E-1
module_409	2.74365247E-1	3.5145E-1
module_561	2.74411175E-1	3.0696E-1
module_420	2.8791491E-1	3.2975E-1
module_345	2.88709141E-1	9.634E-2
module_465	2.88908031E-1	3.5078E-1
module_621	2.95596725E-1	3.3409E-1
module_470	2.95602201E-1	3.566E-1
module_649	2.97231129E-1	3.0954E-1
module_504	3.01107409E-1	3.6959E-1
module_513	3.06802925E-1	3.4649E-1
module_703	3.1152601E-1	3.3355E-1
module_658	3.16060671E-1	3.3965E-1
module_446	3.17222669E-1	3.644E-1
module_610	3.19901149E-1	3.5229E-1
module_554	3.20256801E-1	3.4799E-1
module_499	3.25810542E-1	3.7396E-1
module_613	3.26014318E-1	3.6071E-1
module_556	3.27443342E-1	3.9093E-1
module_509	3.28519335E-1	8.499E-2
module_417	3.32019096E-1	3.9888E-1
module_449	3.53392349E-1	3.9658E-1
module_583	3.54651678E-1	3.8481E-1
module_468	3.55102862E-1	4.1026E-1
module_575	3.58503478E-1	3.6525E-1
module_636	3.60275248E-1	3.7753E-1
module_634	3.62670558E-1	3.9426E-1
module_622	3.62885186E-1	3.8612E-1
module_479	3.63951791E-1	4.1475E-1
module_510	3.6450007E-1	4.0762E-1
module_518	3.66469195E-1	4.3927E-1
module_527	3.68399839E-1	3.9384E-1
module_548	3.72895057E-1	4.1385E-1
module_635	3.75597681E-1	4.148E-1
module_643	3.7612807E-1	3.8076E-1
module_644	3.80218515E-1	3.9227E-1
module_428	3.81287203E-1	4.2221E-1
module_512	3.82414122E-1	4.192E-1
module_517	3.9023886E-1	4.5481E-1
module_642	3.90988125E-1	4.0288E-1
module_720	3.92012961E-1	4.1183E-1
module_521	3.9286661E-1	4.6092E-1
module_545	3.94217325E-1	4.1545E-1
module_659	3.95134569E-1	4.1652E-1
module_578	3.98750165E-1	4.2285E-1
module_569	4.0078626E-1	4.2867E-1
module_623	4.01372034E-1	4.3662E-1
module_500	4.04780536E-1	3.4728E-1
module_588	4.05936524E-1	4.1873E-1
module_457	4.06923139E-1	4.4707E-1
module_605	4.08099884E-1	4.2199E-1
module_522	4.11552114E-1	4.4572E-1
module_431	4.12124677E-1	4.6926E-1
module_448	4.13596656E-1	4.3107E-1
module_493	4.14268649E-1	1.1006E-1
module_581	4.1519003E-1	4.3255E-1
module_476	4.19904112E-1	4.6672E-1
module_511	4.21484102E-1	4.6085E-1
module_537	4.33624009E-1	4.9482E-1
module_531	4.49738591E-1	4.9086E-1
module_568	4.56587038E-1	5.0521E-1
module_490	4.61853699E-1	4.8506E-1
module_442	4.73904506E-1	2.2167E-1
module_573	4.78803207E-1	5.0417E-1
module_536	4.83413376E-1	5.1724E-1
module_523	4.91079989E-1	5.0955E-1
module_625	4.9390719E-1	5.0907E-1
module_454	4.99032894E-1	5.5541E-1
module_474	5.00945193E-1	5.3817E-1
module_620	5.05407674E-1	5.159E-1
module_441	5.06275922E-1	2.0529E-1
module_478	5.11297879E-1	5.6394E-1
module_683	5.20095282E-1	5.2918E-1
module_525	5.21877694E-1	5.5509E-1
module_390	5.23809626E-1	5.7634E-1
module_503	5.29481729E-1	5.5078E-1
module_637	5.34380048E-1	5.5308E-1
module_459	5.35695919E-1	5.784E-1
module_571	5.38339809E-1	5.6716E-1
module_461	5.40619281E-1	5.7085E-1
module_451	5.43452629E-1	5.7054E-1
module_365	5.46994917E-1	6.0483E-1
module_515	5.5337045E-1	5.7534E-1
module_424	5.55451273E-1	6.0202E-1
module_467	5.58913478E-1	5.9953E-1
module_650	5.60349121E-1	5.8234E-1
module_526	5.61829725E-1	5.9461E-1
module_529	5.72484744E-1	6.1214E-1
module_366	5.8024722E-1	6.2846E-1
module_463	6.07178217E-1	6.5108E-1
module_698	6.17162301E-1	5.9816E-1
module_699	6.17223961E-1	6.1914E-1
module_589	6.17918389E-1	6.4519E-1
module_534	6.3233977E-1	6.751E-1
module_596	6.37420694E-1	6.6049E-1
module_357	6.43210559E-1	6.7272E-1
module_616	6.4672063E-1	6.6166E-1
module_684	6.47956359E-1	6.415E-1
module_594	6.5281557E-1	6.7356E-1
module_617	6.63788612E-1	6.8671E-1
module_676	6.65117397E-1	6.6479E-1
module_624	6.85490361E-1	6.9088E-1
module_385	6.98387637E-1	7.325E-1
module_654	7.04770242E-1	6.9708E-1
module_585	7.08979039E-1	7.1203E-1
module_618	7.10933758E-1	7.2185E-1
module_586	7.13509934E-1	7.2871E-1
module_524	7.19837642E-1	7.3432E-1
module_477	7.24404807E-1	7.6857E-1
module_715	7.35786101E-1	7.2493E-1
module_711	7.44716734E-1	7.4492E-1
module_466	7.45874517E-1	7.6319E-1
module_439	7.59873664E-1	7.8136E-1
module_615	7.73142051E-1	7.7946E-1
module_701	7.79690128E-1	7.8086E-1
module_728	7.90820924E-1	7.8359E-1
module_532	7.98335218E-1	8.0579E-1
