Name	chi2Pvalue	empPvalue
module_499	6.05630617E-2	9.225E-2
module_554	7.43319997E-2	1.0349E-1
module_682	8.36262097E-2	9.51E-2
module_522	8.72223686E-2	1.2439E-1
module_513	8.94955501E-2	1.0856E-1
module_736	9.1664771E-2	9.891E-2
module_530	9.37169435E-2	1.385E-1
module_569	9.92429631E-2	1.2647E-1
module_539	1.03383038E-1	1.2443E-1
module_586	1.20655003E-1	1.4777E-1
module_567	1.23271844E-1	1.1791E-1
module_677	1.31542228E-1	1.3865E-1
module_701	1.38664671E-1	1.4243E-1
module_747	1.63191324E-1	1.5883E-1
module_636	1.63357497E-1	1.7874E-1
module_725	1.64797366E-1	1.603E-1
module_512	1.69939444E-1	1.6254E-1
module_540	1.70971569E-1	2.654E-1
module_618	1.73899931E-1	1.8873E-1
module_605	1.81536952E-1	1.8541E-1
module_552	1.87307134E-1	2.175E-1
module_525	1.97589893E-1	2.6221E-1
module_538	1.97822158E-1	2.6265E-1
module_533	2.06517206E-1	2.9235E-1
module_659	2.14225661E-1	2.5272E-1
module_593	2.32559053E-1	2.8073E-1
module_560	2.71935338E-1	2.8006E-1
module_658	2.76427973E-1	2.9097E-1
module_589	3.04419695E-1	3.1006E-1
module_551	3.13486441E-1	3.1466E-1
module_556	3.40314781E-1	3.4663E-1
module_796	3.42866206E-1	3.7374E-1
module_592	3.72285109E-1	4.4751E-1
module_622	3.82445069E-1	3.9059E-1
module_562	4.02070788E-1	4.0066E-1
module_642	4.06146816E-1	4.7472E-1
module_591	4.07557918E-1	4.8367E-1
module_568	4.1465631E-1	4.0611E-1
module_587	4.28275694E-1	4.6313E-1
module_643	4.37618447E-1	4.883E-1
module_808	4.46578817E-1	4.6723E-1
module_697	4.5277694E-1	4.0751E-1
module_782	4.88584096E-1	5.0818E-1
module_692	5.07267386E-1	4.5666E-1
module_617	5.21898168E-1	5.4763E-1
module_572	5.40798287E-1	5.3269E-1
module_640	5.43924542E-1	5.3435E-1
module_596	5.51994527E-1	5.6653E-1
module_621	6.52671063E-1	6.3824E-1
module_583	7.07262078E-1	7.4884E-1
module_698	8.04904213E-1	8.1802E-1
module_519	8.39546964E-1	8.5362E-1
module_644	8.5054149E-1	8.7152E-1
module_529	8.79818311E-1	8.7206E-1
module_571	8.80420045E-1	8.9553E-1
module_588	8.87560406E-1	8.9531E-1
module_637	9.52356365E-1	9.5916E-1
module_582	9.87209136E-1	9.8866E-1
module_585	9.88411387E-1	9.9048E-1
module_528	9.92261331E-1	9.9297E-1
module_638	9.94272474E-1	9.9495E-1
