Name	chi2Pvalue	empPvalue
module_371	8.64656464E-4	6.2E-4
module_409	5.52069126E-3	2.029E-2
module_527	5.55186149E-3	1.194E-2
module_360	6.10409247E-3	4.14E-3
module_417	7.17053679E-3	7.89E-3
module_496	7.67021504E-3	1.942E-2
module_345	1.09677723E-2	6E-3
module_531	1.23145451E-2	1.071E-2
module_420	1.29459732E-2	2.444E-2
module_493	1.49638676E-2	6.19E-3
module_431	2.4788178E-2	4.989E-2
module_471	2.49466773E-2	5.402E-2
module_548	2.6452691E-2	4.668E-2
module_427	2.69252031E-2	4.102E-2
module_434	2.75950379E-2	1.277E-2
module_385	2.90483681E-2	2.692E-2
module_428	3.00138447E-2	4.796E-2
module_469	3.0232673E-2	6.737E-2
module_368	3.80888211E-2	5.626E-2
module_424	4.0111152E-2	6.317E-2
module_359	4.07818578E-2	8.226E-2
module_456	4.08070849E-2	8.114E-2
module_479	4.15089372E-2	8.164E-2
module_615	4.58122784E-2	5.608E-2
module_495	4.70126235E-2	6.701E-2
module_433	5.61896928E-2	1.0463E-1
module_453	5.96333094E-2	1.0763E-1
module_499	6.05630617E-2	9.299E-2
module_369	6.25469622E-2	7.874E-2
module_554	7.43319997E-2	1.0361E-1
module_601	7.65738874E-2	1.0436E-1
module_370	7.67149701E-2	8.257E-2
module_390	7.94150099E-2	9.407E-2
module_476	8.11954838E-2	1.2902E-1
module_682	8.36262097E-2	9.478E-2
module_676	8.42671535E-2	1.1418E-1
module_470	8.6397157E-2	1.4656E-1
module_522	8.72223686E-2	1.2531E-1
module_602	8.75652861E-2	1.0158E-1
module_513	8.94955501E-2	1.1018E-1
module_736	9.1664771E-2	9.912E-2
module_530	9.37169435E-2	1.3862E-1
module_480	9.62616232E-2	1.6185E-1
module_569	9.92429631E-2	1.2821E-1
module_539	1.03383038E-1	1.2682E-1
module_509	1.04484778E-1	3.374E-2
module_432	1.18372721E-1	1.0776E-1
module_654	1.19925118E-1	1.2441E-1
module_586	1.20655003E-1	1.4769E-1
module_567	1.23271844E-1	1.1649E-1
module_393	1.24581869E-1	1.8659E-1
module_715	1.27800583E-1	1.2864E-1
module_517	1.28997307E-1	1.2017E-1
module_464	1.29285547E-1	1.3551E-1
module_677	1.31542228E-1	1.3939E-1
module_561	1.32088123E-1	1.4338E-1
module_475	1.32703624E-1	2.0335E-1
module_365	1.32993167E-1	1.6007E-1
module_578	1.38428499E-1	1.9394E-1
module_701	1.38664671E-1	1.4154E-1
module_472	1.41913798E-1	1.9689E-1
module_452	1.56680477E-1	2.5719E-1
module_500	1.60851069E-1	1.4384E-1
module_747	1.63191324E-1	1.593E-1
module_636	1.63357497E-1	1.8131E-1
module_725	1.64797366E-1	1.6043E-1
module_512	1.69939444E-1	1.6519E-1
module_436	1.70087763E-1	2.2727E-1
module_540	1.70971569E-1	2.6769E-1
module_618	1.73899931E-1	1.9287E-1
module_490	1.74664344E-1	1.7707E-1
module_605	1.81536952E-1	1.8297E-1
module_552	1.87307134E-1	2.1524E-1
module_458	1.88742936E-1	1.1704E-1
module_400	1.92297746E-1	1.137E-1
module_525	1.97589893E-1	2.6541E-1
module_538	1.97822158E-1	2.6089E-1
module_440	2.01448671E-1	7.483E-2
module_357	2.02560002E-1	2.3961E-1
module_616	2.031728E-1	2.1704E-1
module_545	2.038174E-1	2.4397E-1
module_482	2.05412369E-1	2.8527E-1
module_668	2.06145495E-1	2.0434E-1
module_533	2.06517206E-1	2.8971E-1
module_659	2.14225661E-1	2.5275E-1
module_481	2.14583617E-1	3.0681E-1
module_459	2.16250115E-1	3.0407E-1
module_437	2.18493845E-1	2.8232E-1
module_354	2.23165177E-1	2.1058E-1
module_695	2.24144422E-1	2.7526E-1
module_536	2.26642239E-1	2.6518E-1
module_666	2.29378267E-1	2.2878E-1
module_593	2.32559053E-1	2.8194E-1
module_650	2.34699402E-1	2.6664E-1
module_378	2.35724179E-1	2.2462E-1
module_574	2.36899757E-1	2.5963E-1
module_362	2.38643915E-1	2.1276E-1
module_606	2.50505929E-1	2.4375E-1
module_438	2.53339905E-1	2.8358E-1
module_560	2.71935338E-1	2.7891E-1
module_658	2.76427973E-1	2.89E-1
module_366	2.79099458E-1	3.102E-1
