Name	chi2Pvalue	empPvalue
module_677	6.77973763E-3	1.41E-2
module_568	2.55972817E-2	2.051E-2
module_551	3.78410557E-2	9.9E-3
module_692	5.77118753E-2	4.159E-2
module_701	7.1773707E-2	4.514E-2
module_697	7.18033216E-2	2.413E-2
module_622	7.46067115E-2	2.044E-2
module_560	7.60149908E-2	3.065E-2
module_725	8.17494215E-2	9.214E-2
module_567	8.91072055E-2	1.203E-1
module_596	9.12134915E-2	7.018E-2
module_562	9.57259573E-2	5.034E-2
module_556	9.95935712E-2	4.661E-2
module_589	1.02898397E-1	3.35E-2
module_587	1.04428739E-1	5.893E-2
module_621	1.26235856E-1	6.385E-2
module_512	1.36640219E-1	1.0812E-1
module_513	1.69663429E-1	1.362E-1
module_747	1.76282882E-1	1.38E-1
module_572	1.95094747E-1	4.416E-2
module_582	2.04499489E-1	4.1498E-1
module_637	2.07084262E-1	5.105E-1
module_796	2.0886585E-1	1.2604E-1
module_782	2.21484644E-1	3.3087E-1
module_659	2.43248575E-1	2.2727E-1
module_808	2.44981642E-1	3.3154E-1
module_540	2.48900778E-1	2.7081E-1
module_736	2.54059469E-1	3.7287E-1
module_640	2.66304632E-1	1.0841E-1
module_519	2.89267598E-1	3.3722E-1
module_522	3.24892091E-1	1.92E-1
module_539	3.32037433E-1	5.1492E-1
module_638	3.33953714E-1	5.9235E-1
module_571	3.37187688E-1	4.0674E-1
module_588	3.63845279E-1	7.7076E-1
module_644	3.64294338E-1	7.029E-1
module_585	3.75323342E-1	7.5124E-1
module_583	3.81087333E-1	7.857E-1
module_698	4.11733733E-1	6.8535E-1
module_591	4.25596284E-1	3.0615E-1
module_525	4.69981017E-1	3.5066E-1
module_529	4.7712228E-1	5.0188E-1
module_554	4.84336405E-1	4.5701E-1
module_643	5.4396188E-1	5.3102E-1
module_528	5.51463219E-1	5.7332E-1
module_533	5.62307758E-1	4.07E-1
module_658	5.71339959E-1	6.403E-1
module_552	5.95704964E-1	4.987E-1
module_569	5.98570304E-1	6.4936E-1
module_682	6.05684651E-1	6.6487E-1
module_617	6.63330113E-1	5.8953E-1
module_499	6.66597276E-1	6.9869E-1
module_592	6.81079074E-1	4.574E-1
module_593	6.82604355E-1	7.9772E-1
module_642	6.99349498E-1	6.3234E-1
module_586	7.6864923E-1	7.8227E-1
module_618	7.73480971E-1	8.1916E-1
module_530	7.91607765E-1	8.1573E-1
module_605	8.45113622E-1	8.6074E-1
module_636	8.47309737E-1	8.5276E-1
module_538	9.85689336E-1	9.7183E-1
