Name	chi2Pvalue	empPvalue
module_677	6.77973763E-3	1.373E-2
module_666	8.39862185E-3	1.39E-3
module_668	1.69367507E-2	6.71E-3
module_594	2.24741048E-2	4.503E-2
module_568	2.55972817E-2	2.042E-2
module_370	3.17052732E-2	4.276E-2
module_500	3.54964532E-2	1.931E-2
module_551	3.78410557E-2	1.019E-2
module_503	3.98799335E-2	1.0728E-1
module_606	4.7121065E-2	1.26E-2
module_654	5.02006626E-2	2.456E-2
module_550	5.06991769E-2	1.212E-2
module_491	5.64547484E-2	4.766E-2
module_692	5.77118753E-2	4.047E-2
module_465	5.96144007E-2	6.802E-2
module_701	7.1773707E-2	4.622E-2
module_697	7.18033216E-2	2.583E-2
module_622	7.46067115E-2	2.153E-2
module_560	7.60149908E-2	3.114E-2
module_504	7.74537804E-2	3.153E-2
module_561	8.15422575E-2	4.336E-2
module_725	8.17494215E-2	9.024E-2
module_574	8.44987564E-2	5.354E-2
module_567	8.91072055E-2	1.2041E-1
module_596	9.12134915E-2	7.311E-2
module_510	9.26802691E-2	2.3146E-1
module_562	9.57259573E-2	5.069E-2
module_556	9.95935712E-2	4.802E-2
module_589	1.02898397E-1	3.396E-2
module_392	1.03048103E-1	1.0556E-1
module_587	1.04428739E-1	5.91E-2
module_443	1.05561353E-1	7.358E-2
module_580	1.14832306E-1	3.2589E-1
module_482	1.16809536E-1	1.0873E-1
module_389	1.19172273E-1	2.4255E-1
module_621	1.26235856E-1	6.509E-2
module_650	1.29669324E-1	1.7751E-1
module_629	1.36005189E-1	2.3382E-1
module_512	1.36640219E-1	1.065E-1
module_521	1.39260917E-1	6.562E-2
module_490	1.4641977E-1	3.2369E-1
module_345	1.47686271E-1	1.3193E-1
module_728	1.48365274E-1	1.1046E-1
module_371	1.52903122E-1	1.9743E-1
module_611	1.57665977E-1	2.589E-2
module_733	1.57831182E-1	3.0503E-1
module_365	1.6545037E-1	4.7567E-1
module_702	1.67749653E-1	3.1625E-1
module_513	1.69663429E-1	1.3578E-1
module_610	1.75648211E-1	1.0391E-1
module_747	1.76282882E-1	1.3973E-1
module_424	1.76910554E-1	2.7795E-1
module_715	1.77517525E-1	1.0839E-1
module_613	1.80734314E-1	8.235E-2
module_440	1.82793388E-1	2.8599E-1
module_686	1.85444337E-1	3.4232E-1
module_390	1.86292819E-1	3.162E-1
