Name	chi2Pvalue	empPvalue
module_596	8.17804638E-3	6.62E-3
module_659	1.46966915E-2	1.444E-2
module_567	2.76839883E-2	1.816E-2
module_698	4.06191149E-2	8.768E-2
module_701	4.89017645E-2	1.4817E-1
module_589	6.38705009E-2	2.1056E-1
module_513	7.07147395E-2	2.2737E-1
module_644	8.54430663E-2	1.5211E-1
module_796	9.84706587E-2	1.4491E-1
module_725	1.06761696E-1	1.5664E-1
module_677	1.13203846E-1	1.8965E-1
module_808	1.66802069E-1	4.392E-1
module_782	1.79368335E-1	4.3069E-1
module_512	1.81554842E-1	2.8391E-1
module_747	1.85543324E-1	4.699E-1
module_697	2.13204391E-1	7.115E-2
module_692	2.6185776E-1	7.454E-2
module_587	3.10646625E-1	1.1356E-1
module_588	3.30084177E-1	3.5713E-1
module_572	3.63526785E-1	1.222E-1
module_591	4.02025476E-1	6.1321E-1
module_556	4.07524357E-1	2.493E-1
module_522	4.19795511E-1	6.0646E-1
module_736	4.52555829E-1	6.4715E-1
module_622	4.58430329E-1	2.4709E-1
module_538	4.67384824E-1	7.5638E-1
module_568	4.74175435E-1	3.003E-1
module_621	4.77005786E-1	2.1697E-1
module_593	4.78376529E-1	5.124E-1
module_529	4.90251801E-1	6.0445E-1
module_569	5.02010395E-1	6.57E-1
module_640	5.11414404E-1	1.9107E-1
module_642	5.18805171E-1	5.8273E-1
module_530	5.23500056E-1	6.9154E-1
module_560	5.26073925E-1	3.8503E-1
module_571	5.76140396E-1	6.5602E-1
module_583	5.79564813E-1	6.168E-1
module_528	5.829201E-1	4.7739E-1
module_592	5.87822525E-1	7.1956E-1
module_643	5.96435732E-1	5.9338E-1
module_499	6.00324042E-1	7.4675E-1
module_551	6.01245014E-1	3.5962E-1
module_586	6.09071972E-1	8.1622E-1
module_540	6.1053213E-1	7.0885E-1
module_605	6.20027952E-1	8.0761E-1
module_525	6.23832577E-1	8.2255E-1
module_658	6.36171677E-1	7.5813E-1
module_582	6.41696643E-1	6.2062E-1
module_552	6.43377358E-1	8.8782E-1
module_539	6.44742135E-1	5.9239E-1
module_533	6.59744976E-1	7.5417E-1
module_519	6.60109003E-1	7.1405E-1
module_554	6.72958097E-1	8.7004E-1
module_682	7.17153208E-1	8.073E-1
module_617	8.09593997E-1	9.0479E-1
module_562	8.14761967E-1	5.2784E-1
module_636	8.31605621E-1	9.1957E-1
module_618	8.68444489E-1	9.3437E-1
module_637	9.21669261E-1	9.4181E-1
module_585	9.3307809E-1	9.4301E-1
module_638	9.57491956E-1	9.7308E-1
