Name	chi2Pvalue	empPvalue
module_594	3.32708695E-3	6.46E-3
module_650	3.57299638E-3	3.68E-3
module_596	8.17804638E-3	6.5E-3
module_659	1.46966915E-2	1.42E-2
module_517	2.55987252E-2	2.942E-2
module_432	2.74000012E-2	4.033E-2
module_567	2.76839883E-2	1.768E-2
module_668	2.80649542E-2	1.726E-2
module_370	3.10355262E-2	6.512E-2
module_368	3.75676644E-2	3.892E-2
module_698	4.06191149E-2	8.896E-2
module_737	4.36496778E-2	5.176E-2
module_701	4.89017645E-2	1.4736E-1
module_390	5.14529304E-2	3.156E-2
module_392	5.22832344E-2	9.911E-2
module_733	5.96477846E-2	5.621E-2
module_589	6.38705009E-2	2.1065E-1
module_513	7.07147395E-2	2.2874E-1
module_666	7.10475524E-2	3.141E-2
module_369	7.35483381E-2	1.1073E-1
module_378	7.4029387E-2	1.0409E-1
module_366	8.07398853E-2	1.675E-1
module_644	8.54430663E-2	1.5508E-1
module_384	9.66760919E-2	1.547E-1
module_371	9.72261895E-2	2.3237E-1
module_354	9.79095301E-2	9.856E-2
module_796	9.84706587E-2	1.4529E-1
module_460	1.00710766E-1	1.6184E-1
module_711	1.05370367E-1	8.59E-2
module_725	1.06761696E-1	1.5821E-1
module_677	1.13203846E-1	1.8998E-1
module_357	1.28859251E-1	3.9242E-1
module_420	1.33905552E-1	1.4164E-1
module_365	1.38796153E-1	1.0588E-1
module_431	1.52226059E-1	3.8127E-1
module_808	1.66802069E-1	4.3564E-1
module_409	1.70980597E-1	4.8927E-1
module_654	1.7461944E-1	2.0953E-1
module_437	1.7534334E-1	4.7414E-1
module_782	1.79368335E-1	4.3222E-1
module_512	1.81554842E-1	2.8191E-1
module_747	1.85543324E-1	4.7141E-1
module_464	1.88460978E-1	2.2175E-1
module_462	1.89394669E-1	1.2865E-1
module_468	1.90492934E-1	1.6268E-1
module_426	1.96190549E-1	1.8229E-1
module_728	2.00956135E-1	8.969E-2
module_697	2.13204391E-1	6.947E-2
module_561	2.29892641E-1	3.0796E-1
module_715	2.30597391E-1	4.7475E-1
module_531	2.40727989E-1	8.62E-2
module_477	2.4212365E-1	1.3312E-1
module_467	2.43132E-1	1.9646E-1
module_443	2.49439935E-1	7.567E-2
module_433	2.54229344E-1	2.6035E-1
module_504	2.55911686E-1	2.0427E-1
module_692	2.6185776E-1	7.308E-2
module_635	2.78382381E-1	6.3884E-1
module_500	2.89547665E-1	9.453E-2
module_518	2.93764788E-1	9.431E-2
module_580	2.95235298E-1	4.7665E-1
module_457	2.95569716E-1	3.9964E-1
module_345	3.07044148E-1	2.0034E-1
module_478	3.07264495E-1	3.32E-1
module_461	3.08162396E-1	1.9689E-1
module_587	3.10646625E-1	1.1307E-1
module_574	3.10690695E-1	3.0557E-1
module_620	3.24614383E-1	5.8184E-1
module_588	3.30084177E-1	3.5962E-1
module_428	3.37855081E-1	2.3274E-1
module_469	3.37990855E-1	7.1492E-1
module_389	3.39046114E-1	4.1958E-1
module_465	3.4712402E-1	2.4313E-1
module_436	3.48672915E-1	3.0207E-1
module_534	3.50919706E-1	2.2749E-1
module_480	3.54769508E-1	7.3908E-1
module_523	3.56343283E-1	2.9846E-1
module_532	3.58072155E-1	4.1569E-1
module_490	3.61412289E-1	3.5272E-1
module_496	3.62140341E-1	4.5584E-1
module_572	3.63526785E-1	1.2113E-1
module_689	3.63657069E-1	3.1636E-1
module_427	3.67145969E-1	3.2652E-1
module_521	3.71641952E-1	1.7139E-1
module_417	3.82132946E-1	1.5535E-1
module_400	3.87273971E-1	7.593E-1
module_591	4.02025476E-1	6.1245E-1
module_359	4.02647244E-1	4.1682E-1
module_579	4.07105623E-1	4.8012E-1
module_556	4.07524357E-1	2.486E-1
module_720	4.10015688E-1	5.8894E-1
module_360	4.13168574E-1	4.1996E-1
module_522	4.19795511E-1	6.0809E-1
module_695	4.22008592E-1	4.4114E-1
module_491	4.24466817E-1	3.0612E-1
module_510	4.36009956E-1	5.7054E-1
module_575	4.42953985E-1	5.7335E-1
module_442	4.43383904E-1	4.3849E-1
module_610	4.47567332E-1	2.1859E-1
module_452	4.47911544E-1	6.716E-1
module_736	4.52555829E-1	6.4435E-1
module_622	4.58430329E-1	2.4719E-1
module_625	4.63268116E-1	7.4331E-1
module_538	4.67384824E-1	7.5686E-1
module_568	4.74175435E-1	3.0123E-1
module_621	4.77005786E-1	2.1604E-1
module_479	4.78070764E-1	7.904E-1
module_593	4.78376529E-1	5.1286E-1
module_529	4.90251801E-1	6.0548E-1
module_611	4.92149305E-1	2.1382E-1
module_456	4.93166661E-1	6.9815E-1
module_440	4.96586638E-1	3.9981E-1
module_537	4.99233637E-1	2.5908E-1
module_493	5.00047801E-1	3.2977E-1
module_569	5.02010395E-1	6.5809E-1
module_615	5.02229831E-1	4.6606E-1
module_362	5.02912927E-1	6.8514E-1
module_473	5.03455791E-1	3.3487E-1
module_640	5.11414404E-1	1.94E-1
module_508	5.12242447E-1	7.0723E-1
module_451	5.13022908E-1	6.2251E-1
module_527	5.14913888E-1	4.0329E-1
module_474	5.15228969E-1	3.6769E-1
module_642	5.18805171E-1	5.8518E-1
module_602	5.19252321E-1	7.7947E-1
module_509	5.22593375E-1	7.0309E-1
module_530	5.23500056E-1	6.9078E-1
module_560	5.26073925E-1	3.8577E-1
module_466	5.31473075E-1	5.9238E-1
module_684	5.34324168E-1	4.3851E-1
module_459	5.3720176E-1	7.933E-1
module_476	5.52276081E-1	7.9317E-1
module_616	5.7017344E-1	5.8887E-1
module_503	5.75420305E-1	6.5942E-1
module_385	5.75446589E-1	2.3089E-1
module_613	5.75727044E-1	2.652E-1
module_571	5.76140396E-1	6.554E-1
module_583	5.79564813E-1	6.1569E-1
module_528	5.829201E-1	4.7376E-1
module_592	5.87822525E-1	7.1941E-1
module_470	5.91943864E-1	8.2599E-1
module_643	5.96435732E-1	5.9615E-1
module_649	5.96700628E-1	7.596E-1
module_499	6.00324042E-1	7.4919E-1
module_578	6.00336632E-1	5.0078E-1
module_551	6.01245014E-1	3.6247E-1
module_438	6.03433557E-1	7.7285E-1
module_434	6.07181592E-1	5.6781E-1
module_586	6.09071972E-1	8.1729E-1
module_540	6.1053213E-1	7.0757E-1
module_458	6.17278001E-1	7.3795E-1
module_606	6.17716318E-1	2.8613E-1
module_495	6.19937796E-1	3.9559E-1
module_605	6.20027952E-1	8.0842E-1
module_482	6.20962772E-1	8.4777E-1
module_525	6.23832577E-1	8.1985E-1
module_511	6.31395185E-1	6.7629E-1
module_658	6.36171677E-1	7.5528E-1
module_550	6.39345246E-1	4.0149E-1
module_582	6.41696643E-1	6.2101E-1
module_552	6.43377358E-1	8.8872E-1
module_634	6.44083928E-1	8.2193E-1
