gene_id	symbol	SNPs
meta_84251_149233_79971	meta_SGIP1_IL23R_WLS	1030
meta_440695_922_128360_128372_57863_1401_23385_51744_8703_22926_4921	meta_ETV3L_CD5L_OR10T2_OR6N1_CADM3_CRP_NCSTN_CD244_B4GALT3_ATF6_DDR2	1382
meta_142683_22926_9722_284680_4921	meta_ITLN2_ATF6_NOS1AP_C1orf111_DDR2	1075
meta_84898_10529	meta_PLXDC2_NEBL	1211
meta_5092_119504_54541_90550_11319_5532_5328_132_23522	meta_PCBD1_ANAPC16_DDIT4_MCU_ECD_PPP3CB_PLAU_ADK_KAT6B	1149
meta_5092_119504_54541_90550_11319_5532_5328_132_23522_100131213	meta_PCBD1_ANAPC16_DDIT4_MCU_ECD_PPP3CB_PLAU_ADK_KAT6B_ZNF503-AS2	1192
meta_23223_60370_60495_26507_159296_51076	meta_RRP12_AVPI1_HPSE2_CNNM1_NKX2-3_CUTC	1319
meta_60370_60495_26507_159296_55662_57715_56652_8945	meta_AVPI1_HPSE2_CNNM1_NKX2-3_HIF1AN_SEMA4G_C10orf2_BTRC	1471
meta_27291_60495_159296	meta_R3HCC1L_HPSE2_NKX2-3	1074
meta_27291_60495_26507_159296	meta_R3HCC1L_HPSE2_CNNM1_NKX2-3	1231
meta_60495_26507_159296	meta_HPSE2_CNNM1_NKX2-3	1088
meta_60495_159296_55662	meta_HPSE2_NKX2-3_HIF1AN	1011
meta_60495_159296_55662_56652	meta_HPSE2_NKX2-3_HIF1AN_C10orf2	1065
meta_60495_26507_51076_55280_56652_8945	meta_HPSE2_CNNM1_CUTC_CWF19L1_C10orf2_BTRC	1338
meta_4928_119772_3046_390066_445372	meta_NUP98_OR52M1_HBE1_OR52D1_TRIM6-TRIM34	1431
meta_3046_445372	meta_HBE1_TRIM6-TRIM34	1038
meta_3046_390066_445372_390077	meta_HBE1_OR52D1_TRIM6-TRIM34_OR52N2	1191
meta_3824_3822_3821_8531_2120_54682_2012	meta_KLRD1_KLRC2_KLRC1_YBX3_ETV6_MANSC1_EMP1	1179
meta_3479_374470_6996_50515	meta_IGF1_C12orf42_TDG_CHST11	1092
meta_140801_161357	meta_RPL10L_MDGA2	1061
meta_6655_5836_122786_54331_5732	meta_SOS2_PYGL_FRMD6_GNG2_PTGER2	1126
meta_6263_70	meta_RYR3_ACTC1	1099
meta_6650_10232_23430_23162_899_10942_79228_9235_7752_79903_10131_115_29855	meta_SOLH_MSLN_TPSD1_MAPK8IP3_CCNF_PRSS21_THOC6_IL32_ZNF200_NAA60_TRAP1_ADCY9_UBN1	1002
meta_780776_4261_26156_92017	meta_TVP23A_CIITA_RSL1D1_SNX29	1241
meta_4261_26156_92017	meta_CIITA_RSL1D1_SNX29	1165
meta_92017_55313	meta_SNX29_CPPED1	1244
meta_54739_239_1984_6462_55135_1949_124637_162387_201140_8522	meta_XAF1_ALOX12_EIF5A_SHBG_WRAP53_EFNB3_CYB5D1_MFSD6L_DHRS7C_GAS7	1115
meta_1742_23399_9196_146852_146849_23533_9482_9340_388335_388336	meta_DLG4_CTDNEP1_KCNAB3_ODF4_CCDC42_PIK3R5_STX8_GLP2R_TMEM220_SHISA6	1564
meta_388336_1770_9912	meta_SHISA6_DNAH9_ARHGAP44	1033
meta_147138_9489_8632_9267_146713_55036	meta_TMC8_PGS1_DNAH17_CYTH1_RBFOX3_CCDC40	1161
meta_3643_23370_56949_56729_339390_80164_256949_85509_54811_112812_5141_10053_3609_9545_388507_4784	meta_INSR_ARHGEF18_XAB2_RETN_CLEC4G_FLJ22184_KANK3_MBD3L1_ZNF562_FDX1L_PDE4A_AP1M2_ILF3_RAB3D_ZNF788_NFIX	1026
meta_3643_23370_56949_339390_80164_256949_85509_54811_112812_5141_10053_3609_6597_9545_374882_388507_4784_5566_5731_26659_26993_58525	meta_INSR_ARHGEF18_XAB2_CLEC4G_FLJ22184_KANK3_MBD3L1_ZNF562_FDX1L_PDE4A_AP1M2_ILF3_SMARCA4_RAB3D_TMEM205_ZNF788_NFIX_PRKACA_PTGER1_OR7A5_AKAP8L_WIZ	1349
meta_55762_91661_10288_2204_84922_51545_29924_338321_388566_5178_57343_374928_284309_79891_79673_10998_84878	meta_ZNF701_ZNF765_LILRB2_FCAR_FIZ1_ZNF581_EPN1_NLRP9_ZNF470_PEG3_ZNF304_ZNF773_ZNF776_ZNF671_ZNF329_SLC27A5_ZBTB45	1243
meta_55422_284379_90011_51206_51157_126204_147949_57573_7565_256051_7710_65982_1	meta_ZNF331_LOC284379_KIR3DX1_GP6_ZNF580_NLRP13_ZNF583_ZNF471_ZNF17_ZNF549_ZNF154_ZSCAN18_A1BG	1187
meta_3903_57348_51206_126204_342933_90485_7565_374928_256051_7710_80095_65982_25799	meta_LAIR1_TTYH1_GP6_NLRP13_ZSCAN5B_ZNF835_ZNF17_ZNF773_ZNF549_ZNF154_ZNF606_ZSCAN18_ZNF324	1112
meta_51263_3899_129521_4862	meta_MRPL30_AFF3_NMS_NPAS2	1142
meta_10190_3899_129521_4862	meta_TXNDC9_AFF3_NMS_NPAS2	1080
meta_3899_164832_79031_4862_6160_284996_3554	meta_AFF3_LONRF2_PDCL3_NPAS2_RPL31_RNF149_IL1R1	1448
meta_117583_54891_1933_130752	meta_PARD3B_INO80D_EEF1B2_MDH1B	1184
meta_5948_5947_64084	meta_RBP2_RBP1_CLSTN2	1017
meta_64778_22871	meta_FNDC3B_NLGN1	1305
meta_1040_83478_5602_57563	meta_CDS1_ARHGAP24_MAPK10_KLHL8	1023
meta_221472_266727_114781_221458	meta_FGD2_MDGA1_BTBD9_KIF6	1258
meta_5292_60685_1769	meta_PIM1_ZFAND3_DNAH8	1022
meta_266727_114781_221458	meta_MDGA1_BTBD9_KIF6	1115
meta_577_1297_57579	meta_BAI3_COL9A1_FAM135A	1274
meta_9734_221830	meta_HDAC9_TWISTNB	1002
meta_3200_221895_9586	meta_HOXA3_JAZF1_CREB5	1072
meta_148_2053_55246_286133	meta_ADRA1A_EPHX2_CCDC25_SCARA5	1010
meta_4956_9699_81501	meta_ODF1_RIMS2_DCSTAMP	1102
