Name	chi2Pvalue	empPvalue
module_692	3.41238003E-4	2.97E-3
module_640	1.07643633E-3	5.35E-3
module_697	1.67319797E-3	7.29E-3
module_572	2.28135857E-3	4.89E-3
module_587	4.39345689E-3	9.44E-3
module_568	8.63537999E-3	1.632E-2
module_621	9.59077866E-3	2.124E-2
module_562	1.26713664E-2	2.057E-2
module_560	1.48580806E-2	2.252E-2
module_622	1.73463462E-2	2.709E-2
module_551	2.51392577E-2	3.406E-2
module_596	3.57538759E-2	5.138E-2
module_556	4.45605317E-2	5.141E-2
module_567	8.0243408E-2	4.033E-2
module_659	1.23744203E-1	1.0501E-1
module_592	2.50644298E-1	2.5294E-1
module_644	2.64896082E-1	3.4393E-1
module_588	2.72663874E-1	3.272E-1
module_701	3.71786759E-1	3.9774E-1
module_643	4.04782264E-1	4.4393E-1
module_539	4.24895364E-1	2.3921E-1
module_525	4.50151845E-1	4.5719E-1
module_538	4.72147576E-1	4.4615E-1
module_618	5.4079692E-1	5.8587E-1
module_698	5.45300219E-1	6.1287E-1
module_593	5.69398052E-1	5.8609E-1
module_529	5.71741923E-1	6.093E-1
module_554	6.10204612E-1	6.456E-1
module_677	6.36151142E-1	6.5518E-1
module_530	6.57812587E-1	6.6716E-1
module_533	6.72834263E-1	6.8533E-1
module_591	6.73053806E-1	7.0359E-1
module_582	6.82776227E-1	6.7925E-1
module_589	6.87890799E-1	7.0095E-1
module_636	6.8876292E-1	7.1045E-1
module_642	6.89250358E-1	7.0274E-1
module_725	6.97719541E-1	7.0115E-1
module_682	7.00309673E-1	7.3062E-1
module_522	7.27686974E-1	7.2353E-1
module_782	7.34564227E-1	7.5662E-1
module_499	7.36374621E-1	7.6933E-1
module_747	7.36887402E-1	7.3694E-1
module_586	7.45185861E-1	7.5026E-1
module_808	7.47553579E-1	7.655E-1
module_569	7.53202088E-1	7.7992E-1
module_796	7.67723344E-1	7.8459E-1
module_528	7.74130909E-1	7.8249E-1
module_512	8.01531894E-1	8.1871E-1
module_552	8.16282929E-1	8.3544E-1
module_638	8.20659731E-1	8.5122E-1
module_513	8.20952648E-1	8.4786E-1
module_736	8.45905304E-1	8.4782E-1
module_519	8.58243194E-1	8.3138E-1
module_605	8.58523712E-1	8.4968E-1
module_617	8.60536615E-1	8.4776E-1
module_540	8.61594141E-1	8.3086E-1
module_658	8.8241208E-1	8.9409E-1
module_637	8.83799935E-1	8.9446E-1
module_583	9.05161124E-1	8.8243E-1
module_585	9.26095216E-1	9.2468E-1
module_571	9.6179055E-1	9.6535E-1
