Name	chi2Pvalue	empPvalue
module_692	3.41238003E-4	2.78E-3
module_668	7.97651526E-4	3.42E-3
module_640	1.07643633E-3	5.15E-3
module_737	1.39212808E-3	6.74E-3
module_697	1.67319797E-3	7.14E-3
module_572	2.28135857E-3	5.27E-3
module_666	3.21108424E-3	7.55E-3
module_587	4.39345689E-3	9.37E-3
module_611	6.13041749E-3	1.056E-2
module_568	8.63537999E-3	1.589E-2
module_621	9.59077866E-3	2.185E-2
module_606	9.717382E-3	1.644E-2
module_562	1.26713664E-2	2.185E-2
module_733	1.32429072E-2	2.452E-2
module_537	1.3899754E-2	2.366E-2
module_610	1.41325922E-2	3.273E-2
module_560	1.48580806E-2	2.322E-2
module_500	1.57344945E-2	2.671E-2
module_504	1.58513755E-2	2.405E-2
module_622	1.73463462E-2	2.707E-2
module_613	1.92006382E-2	3.492E-2
module_551	2.51392577E-2	3.562E-2
module_521	2.72494185E-2	4.224E-2
module_368	2.73520289E-2	3.281E-2
module_594	2.86795955E-2	4.008E-2
module_596	3.57538759E-2	5.134E-2
module_556	4.45605317E-2	5.234E-2
module_534	4.63284341E-2	6.472E-2
module_443	5.26629253E-2	7.084E-2
module_481	5.77925329E-2	8.284E-2
module_491	5.82541403E-2	7.621E-2
module_518	5.853487E-2	7.011E-2
module_426	7.78020476E-2	9.244E-2
module_567	8.0243408E-2	3.955E-2
module_365	8.59886789E-2	4.1E-2
module_550	9.22503934E-2	1.185E-1
module_531	1.07274467E-1	7.954E-2
module_711	1.08537888E-1	1.2137E-1
module_517	1.09644089E-1	1.1248E-1
module_432	1.09811446E-1	9.83E-2
module_659	1.23744203E-1	1.0521E-1
module_462	1.25791717E-1	1.5591E-1
module_384	1.2712982E-1	1.1055E-1
module_409	1.38732886E-1	1.2634E-1
module_362	1.40143826E-1	1.2997E-1
module_650	1.42531838E-1	1.2828E-1
module_469	1.51761159E-1	1.5612E-1
module_477	1.602751E-1	1.6798E-1
module_576	1.7479244E-1	2.1339E-1
module_458	1.83393965E-1	8.545E-2
module_479	1.95260909E-1	1.9372E-1
module_480	2.01436712E-1	2.3283E-1
module_615	2.02468139E-1	1.9711E-1
module_378	2.13001943E-1	1.9203E-1
module_493	2.29119135E-1	6.408E-2
module_592	2.50644298E-1	2.5149E-1
module_728	2.54685509E-1	2.3415E-1
module_644	2.64896082E-1	3.4251E-1
module_359	2.69473349E-1	2.5628E-1
module_588	2.72663874E-1	3.2699E-1
module_374	2.81885095E-1	3.0218E-1
module_433	2.85697253E-1	3.2635E-1
module_420	2.9027777E-1	3.0018E-1
module_456	2.97341871E-1	2.8522E-1
module_390	3.00180687E-1	3.3683E-1
module_371	3.3046474E-1	9.708E-2
module_527	3.31234808E-1	3.8499E-1
module_369	3.37055737E-1	2.9284E-1
module_392	3.37954172E-1	3.5169E-1
module_345	3.52718695E-1	1.7521E-1
module_482	3.65754422E-1	3.6093E-1
module_464	3.67466813E-1	4.2993E-1
module_442	3.68667112E-1	2.5765E-1
module_701	3.71786759E-1	3.9823E-1
module_360	3.96365988E-1	1.939E-1
module_431	3.98189472E-1	4.3484E-1
module_643	4.04782264E-1	4.3934E-1
module_471	4.11283992E-1	4.4684E-1
module_625	4.22505187E-1	3.8053E-1
module_539	4.24895364E-1	2.4175E-1
module_575	4.26720823E-1	4.7017E-1
module_436	4.38397073E-1	4.9601E-1
module_509	4.41259563E-1	1.9593E-1
module_465	4.47098451E-1	5.0479E-1
module_508	4.47530592E-1	4.7484E-1
module_525	4.50151845E-1	4.5895E-1
module_475	4.66813472E-1	4.7637E-1
module_538	4.72147576E-1	4.4588E-1
module_629	4.82358584E-1	5.0916E-1
module_490	4.90560559E-1	4.7694E-1
module_438	4.91417014E-1	3.4646E-1
module_391	4.93658584E-1	5.492E-1
module_578	5.09177275E-1	4.6316E-1
module_437	5.1051109E-1	5.7706E-1
module_616	5.12238837E-1	4.4219E-1
module_400	5.15921181E-1	3.4826E-1
module_715	5.22328039E-1	5.3519E-1
