Name	chi2Pvalue	empPvalue
module_588	4.42785933E-2	3.465E-2
module_698	8.36818723E-2	1.1023E-1
module_512	1.08579383E-1	1.7532E-1
module_644	1.43877098E-1	1.6465E-1
module_658	1.65473683E-1	1.8424E-1
module_551	1.88766192E-1	1.7347E-1
module_677	2.13471253E-1	3.0116E-1
module_782	2.17274668E-1	2.6815E-1
module_747	2.412456E-1	3.1269E-1
module_572	2.61947895E-1	2.3224E-1
module_556	2.62540011E-1	2.4496E-1
module_589	2.6379766E-1	2.9486E-1
module_701	2.69574287E-1	2.9036E-1
module_725	2.77369242E-1	3.6163E-1
module_808	2.78817206E-1	3.2457E-1
module_587	2.82320217E-1	2.5159E-1
module_562	2.82876479E-1	2.3803E-1
module_513	2.85194816E-1	3.4413E-1
module_568	2.96365769E-1	2.6004E-1
module_796	3.08243653E-1	3.5731E-1
module_682	3.16732904E-1	3.1319E-1
module_736	3.45520002E-1	3.0511E-1
module_540	3.77958881E-1	3.3643E-1
module_533	3.85018808E-1	3.4833E-1
module_539	4.43122157E-1	4.6942E-1
module_621	4.48212136E-1	3.6671E-1
module_560	4.49664526E-1	5.1208E-1
module_530	4.50659277E-1	3.917E-1
module_593	4.53396738E-1	3.3311E-1
module_618	4.58706746E-1	4.2748E-1
module_596	4.79918701E-1	5.4402E-1
module_697	4.95069117E-1	4.7125E-1
module_499	4.96494945E-1	4.8235E-1
module_552	5.04409458E-1	4.3788E-1
module_622	5.07714971E-1	5.4645E-1
module_567	5.18970677E-1	5.6911E-1
module_643	5.22892111E-1	3.5536E-1
module_636	5.25009936E-1	5.1718E-1
module_659	5.44249127E-1	6.0519E-1
module_592	5.69335905E-1	4.7421E-1
module_525	5.80536964E-1	4.9498E-1
module_605	6.12873237E-1	5.4282E-1
module_522	6.37128163E-1	5.9909E-1
module_591	6.45068163E-1	5.355E-1
module_554	6.53458254E-1	5.8717E-1
module_638	6.58056498E-1	5.0924E-1
module_617	6.63623754E-1	5.8721E-1
module_642	6.82586055E-1	7.2226E-1
module_529	6.9002383E-1	5.6256E-1
module_640	6.96926752E-1	5.3847E-1
module_586	7.59487692E-1	6.5121E-1
module_637	7.76050273E-1	6.0411E-1
module_569	7.78453714E-1	6.9707E-1
module_528	7.83785981E-1	6.7708E-1
module_582	8.1373148E-1	7.3096E-1
module_692	8.16480255E-1	8.0749E-1
module_571	8.35467069E-1	7.6549E-1
module_538	9.00958497E-1	8.5829E-1
module_519	9.01156108E-1	7.8073E-1
module_585	9.21007945E-1	8.58E-1
module_583	9.87744969E-1	9.8768E-1
