Name	chi2Pvalue	empPvalue
module_526	4.46249064E-3	3.58E-3
module_448	8.4411963E-3	3.31E-3
module_573	1.36365546E-2	8.8E-3
module_524	1.37750252E-2	9.19E-3
module_683	1.50163536E-2	1.302E-2
module_442	1.65222165E-2	8.96E-3
module_702	1.66247193E-2	1.277E-2
module_354	1.71801941E-2	3.576E-2
module_451	1.77379504E-2	1.77E-2
module_454	2.18827879E-2	2.618E-2
module_523	2.47173076E-2	2.422E-2
module_439	2.53833821E-2	1.741E-2
module_581	3.17305938E-2	2.535E-2
module_689	3.3222188E-2	4.614E-2
module_518	3.84677712E-2	4.765E-2
module_693	4.01808412E-2	2.6E-2
module_532	4.24041246E-2	2.221E-2
module_686	4.55225074E-2	2.612E-2
module_684	6.91596906E-2	7.889E-2
module_474	7.63752746E-2	5.001E-2
module_517	7.68652413E-2	6.83E-2
module_360	8.00348744E-2	8.828E-2
module_468	8.23154025E-2	5.617E-2
module_443	9.54131881E-2	1.0628E-1
module_500	1.01522049E-1	8.941E-2
module_461	1.11332859E-1	8.438E-2
module_444	1.12811862E-1	1.1831E-1
module_378	1.13181002E-1	5.173E-2
module_467	1.15894099E-1	1.0675E-1
module_632	1.19965338E-1	5.035E-2
module_650	1.31632959E-1	1.6145E-1
module_464	1.37898844E-1	1.6393E-1
module_512	1.39326979E-1	1.6549E-1
module_580	1.42603431E-1	7.437E-2
module_534	1.45430851E-1	1.7286E-1
module_393	1.48047035E-1	1.5743E-1
module_366	1.50897184E-1	1.7005E-1
module_391	1.52582508E-1	8.994E-2
module_551	1.59175558E-1	1.8966E-1
module_567	1.63632812E-1	1.6697E-1
module_728	1.6558151E-1	1.8235E-1
module_529	1.73307326E-1	9.928E-2
module_477	1.81221181E-1	1.4651E-1
module_374	1.84164975E-1	1.5562E-1
module_453	1.9295692E-1	1.6714E-1
module_359	1.9414527E-1	1.4757E-1
module_528	1.94380349E-1	1.2211E-1
module_503	2.01902874E-1	1.2636E-1
module_659	2.12871584E-1	2.3514E-1
module_466	2.1442199E-1	1.4069E-1
module_481	2.15002837E-1	2.0496E-1
module_478	2.15644784E-1	1.5718E-1
module_504	2.16232522E-1	2.252E-1
module_568	2.16949829E-1	2.7595E-1
module_577	2.17398266E-1	9.477E-2
module_617	2.26385009E-1	1.8795E-1
module_438	2.27349826E-1	2.3671E-1
module_521	2.29582524E-1	2.7081E-1
module_697	2.32173733E-1	2.7467E-1
module_482	2.41134166E-1	2.0431E-1
module_345	2.48051807E-1	2.0646E-1
module_579	2.49149832E-1	1.1256E-1
module_462	2.56318743E-1	2.2121E-1
module_389	2.64968393E-1	1.8122E-1
module_491	2.66316423E-1	2.9064E-1
module_596	2.67604381E-1	2.8164E-1
module_666	2.68472263E-1	3.0593E-1
module_622	2.86259299E-1	3.6514E-1
module_587	2.87331733E-1	3.3631E-1
module_432	3.04930619E-1	2.4683E-1
module_601	3.12618375E-1	2.2605E-1
module_698	3.13195331E-1	3.2542E-1
module_537	3.1521501E-1	3.3342E-1
module_711	3.25108134E-1	3.1296E-1
module_589	3.28718741E-1	3.1082E-1
module_368	3.29912432E-1	3.5037E-1
module_535	3.32531054E-1	1.733E-1
module_427	3.33320189E-1	3.0487E-1
module_572	3.45194004E-1	3.961E-1
module_594	3.46436574E-1	3.5058E-1
module_582	3.46531927E-1	2.7671E-1
module_540	3.48597397E-1	3.0272E-1
module_644	3.50645236E-1	3.9323E-1
module_638	3.5831411E-1	2.3723E-1
module_552	3.61954125E-1	3.1352E-1
module_473	3.63895368E-1	3.2121E-1
module_556	3.66394482E-1	4.1367E-1
module_465	3.68159187E-1	2.314E-1
module_588	3.69940579E-1	3.9346E-1
module_571	3.76057804E-1	2.8932E-1
module_463	3.76155624E-1	3.0019E-1
module_431	3.84045816E-1	3.7285E-1
module_637	3.91692218E-1	1.9039E-1
module_720	3.93866162E-1	3.9613E-1
module_618	4.03354247E-1	3.5981E-1
module_658	4.04720739E-1	4.4744E-1
module_533	4.13448546E-1	3.8827E-1
module_452	4.13966913E-1	3.6655E-1
module_370	4.14214746E-1	2.5407E-1
module_434	4.24435227E-1	5.9473E-1
module_554	4.27152049E-1	3.6722E-1
module_522	4.35670193E-1	3.4157E-1
module_593	4.36843941E-1	3.4908E-1
module_592	4.37735712E-1	4.029E-1
module_510	4.48746991E-1	3.5983E-1
module_636	4.49271125E-1	4.9253E-1
module_458	4.50064116E-1	5.8788E-1
module_428	4.57116446E-1	4.2922E-1
module_426	4.57178326E-1	4.9563E-1
module_615	4.59181326E-1	4.9888E-1
module_682	4.638949E-1	5.1304E-1
module_736	4.67776273E-1	4.6102E-1
module_569	4.67976112E-1	4.2418E-1
module_701	4.74793082E-1	4.1452E-1
module_519	4.79610788E-1	2.9653E-1
module_562	4.80801627E-1	5.0092E-1
module_460	4.90938953E-1	3.9566E-1
module_515	4.91616483E-1	3.8274E-1
module_371	5.00002641E-1	4.1118E-1
module_392	5.02294332E-1	3.3643E-1
module_747	5.14326929E-1	4.7519E-1
module_480	5.17667973E-1	5.2526E-1
module_472	5.20127856E-1	4.1134E-1
module_611	5.24769502E-1	5.378E-1
module_635	5.25762339E-1	4.059E-1
module_782	5.26174331E-1	4.603E-1
module_616	5.30216813E-1	5.2521E-1
module_441	5.30816607E-1	4.4375E-1
module_550	5.44352149E-1	6.3156E-1
module_677	5.45882134E-1	5.0455E-1
module_446	5.48339654E-1	4.2421E-1
module_619	5.50065906E-1	4.6494E-1
module_737	5.52285468E-1	5.7542E-1
module_527	5.54918034E-1	4.8656E-1
module_668	5.57059993E-1	5.6164E-1
module_509	5.60156439E-1	4.1886E-1
module_606	5.6017972E-1	5.9483E-1
module_499	5.65198689E-1	5.1261E-1
module_496	5.65667309E-1	6.4877E-1
module_703	5.68699549E-1	5.091E-1
module_424	5.8271009E-1	5.5799E-1
module_539	5.90547238E-1	5.7023E-1
module_733	5.95324324E-1	6.0837E-1
module_574	5.97014049E-1	6.4829E-1
module_560	6.01159972E-1	6.566E-1
module_357	6.05552831E-1	6.1418E-1
module_513	6.08064245E-1	5.5025E-1
module_459	6.08548839E-1	5.9371E-1
module_613	6.09245533E-1	6.4762E-1
module_457	6.09362536E-1	3.9534E-1
module_643	6.09404563E-1	4.5098E-1
module_475	6.10574378E-1	5.6993E-1
module_433	6.12387326E-1	5.4668E-1
module_490	6.12679982E-1	6.8525E-1
module_420	6.19909859E-1	6.0025E-1
module_654	6.20078642E-1	6.1396E-1
module_621	6.23245361E-1	5.5746E-1
module_640	6.23705669E-1	5.4756E-1
module_476	6.27208108E-1	5.9825E-1
module_629	6.27210012E-1	6.5922E-1
module_531	6.31256477E-1	6.1238E-1
module_605	6.3132015E-1	5.2851E-1
module_634	6.33285288E-1	4.3778E-1
module_578	6.40760011E-1	7.002E-1
module_575	6.44717661E-1	7.4072E-1
module_520	6.51423743E-1	5.9052E-1
module_620	6.54914265E-1	5.1623E-1
module_400	6.55838718E-1	6.735E-1
module_624	6.55875619E-1	4.742E-1
module_676	6.56156074E-1	4.3568E-1
module_369	6.63112281E-1	6.6782E-1
module_511	6.64152067E-1	5.84E-1
module_456	6.66053874E-1	6.4454E-1
module_692	6.67889187E-1	6.7513E-1
module_469	6.68528391E-1	6.4925E-1
module_525	6.69298603E-1	5.5356E-1
module_362	6.71690357E-1	7.8402E-1
module_530	6.73415304E-1	5.9505E-1
module_479	6.74405742E-1	6.7991E-1
module_436	6.75862095E-1	6.3179E-1
module_808	6.76230666E-1	6.5261E-1
module_548	6.76618962E-1	5.5017E-1
module_536	6.77424053E-1	5.7181E-1
module_586	6.88045393E-1	5.5857E-1
module_576	6.88621263E-1	5.8463E-1
module_610	6.94037231E-1	6.1273E-1
module_501	6.94645491E-1	5.7166E-1
module_591	7.01851276E-1	6.1749E-1
module_390	7.0309857E-1	6.8876E-1
module_796	7.14748808E-1	6.9357E-1
module_585	7.16115912E-1	5.2246E-1
