Name	chi2Pvalue	empPvalue
module_588	7.30825399E-2	5.081E-2
module_658	7.63142929E-2	1.046E-1
module_736	1.13614721E-1	1.1712E-1
module_587	1.44640794E-1	1.147E-1
module_596	1.67557853E-1	2.4918E-1
module_567	1.76308989E-1	2.7253E-1
module_572	1.87664136E-1	1.7934E-1
module_568	1.9312408E-1	1.6722E-1
module_499	1.9651453E-1	2.4502E-1
module_682	1.97512522E-1	2.1449E-1
module_617	2.09168688E-1	2.3064E-1
module_644	2.24185099E-1	2.7045E-1
module_512	2.24872757E-1	3.0989E-1
module_659	2.2494602E-1	3.2035E-1
module_556	2.26235507E-1	2.1159E-1
module_551	2.37327733E-1	2.0686E-1
module_698	2.62583085E-1	3.2032E-1
module_562	2.69317143E-1	2.4099E-1
module_638	2.76867555E-1	1.8317E-1
module_701	3.12326989E-1	3.8192E-1
module_589	3.2552304E-1	3.941E-1
module_637	3.27396422E-1	2.0632E-1
module_540	3.41905491E-1	3.8329E-1
module_554	3.52915885E-1	3.5489E-1
module_621	3.58046526E-1	2.7838E-1
module_618	3.58868416E-1	3.4243E-1
module_560	3.59642899E-1	4.3087E-1
module_677	3.69997263E-1	4.672E-1
module_636	4.05110416E-1	4.0383E-1
module_640	4.20258004E-1	3.1911E-1
module_539	4.37099729E-1	4.7081E-1
module_552	4.51276063E-1	4.3978E-1
module_697	4.60040928E-1	4.7615E-1
module_533	4.6092513E-1	4.7253E-1
module_528	4.66322265E-1	3.6613E-1
module_747	4.68467085E-1	5.3808E-1
module_593	4.72160236E-1	4.4343E-1
module_643	4.8985227E-1	4.4655E-1
module_529	4.90103634E-1	4.1188E-1
module_569	4.95802075E-1	4.5594E-1
module_582	5.18594459E-1	3.7109E-1
module_605	5.37028368E-1	5.0312E-1
module_642	5.38592817E-1	5.8329E-1
module_530	5.55048785E-1	5.2491E-1
module_782	5.71155206E-1	6.2782E-1
module_571	5.87061001E-1	4.6342E-1
module_525	6.13206038E-1	6.0629E-1
module_586	6.28716958E-1	5.7235E-1
module_592	6.39809593E-1	6.3159E-1
module_513	6.40637556E-1	7.0047E-1
module_591	6.40800021E-1	6.166E-1
module_622	6.58347763E-1	6.6808E-1
module_725	6.62800872E-1	7.4869E-1
module_522	6.64711009E-1	6.7852E-1
module_692	6.92517397E-1	7.2494E-1
module_796	7.17365268E-1	7.7375E-1
module_585	7.40551193E-1	5.703E-1
module_808	7.43880491E-1	7.8814E-1
module_519	8.28207585E-1	6.4754E-1
module_538	9.03622097E-1	8.8767E-1
module_583	9.10441798E-1	9.0323E-1
