Name	chi2Pvalue	empPvalue
module_464	3.31218243E-2	7.862E-2
module_693	3.37238366E-2	2.773E-2
module_601	3.56052363E-2	7.195E-2
module_500	4.0171406E-2	2.67E-2
module_477	4.15294169E-2	3.698E-2
module_359	4.33658975E-2	5.683E-2
module_390	5.22786371E-2	1.2759E-1
module_504	5.23627634E-2	4.542E-2
module_443	5.31559075E-2	5.277E-2
module_439	5.42347243E-2	4.421E-2
module_518	5.7020759E-2	3.99E-2
module_575	5.74824448E-2	7.789E-2
module_454	6.81954407E-2	6.775E-2
module_616	7.10848365E-2	1.3721E-1
module_588	7.30825399E-2	5.229E-2
module_658	7.63142929E-2	1.0066E-1
module_517	7.7901014E-2	1.371E-1
module_393	8.54626776E-2	9.597E-2
module_448	1.03036302E-1	7.573E-2
module_683	1.05183385E-1	1.3589E-1
module_527	1.05476055E-1	1.5309E-1
module_537	1.11375736E-1	9.862E-2
module_736	1.13614721E-1	1.1712E-1
module_354	1.14167166E-1	1.8093E-1
module_521	1.14369823E-1	1.109E-1
module_360	1.18322656E-1	2.0913E-1
module_491	1.19781718E-1	1.3471E-1
module_368	1.22648601E-1	1.7805E-1
module_650	1.26027415E-1	1.9521E-1
module_366	1.29422179E-1	1.5807E-1
module_594	1.35450816E-1	2.233E-1
module_378	1.39284819E-1	1.0314E-1
module_587	1.44640794E-1	1.1612E-1
module_534	1.56335782E-1	1.3358E-1
module_476	1.60441379E-1	2.4126E-1
module_369	1.60912998E-1	2.7592E-1
module_577	1.62698529E-1	1.4501E-1
module_596	1.67557853E-1	2.5073E-1
module_567	1.76308989E-1	2.7621E-1
module_572	1.87664136E-1	1.8154E-1
module_568	1.9312408E-1	1.6925E-1
module_462	1.96470025E-1	1.5522E-1
module_499	1.9651453E-1	2.4721E-1
module_666	1.97409362E-1	2.3008E-1
module_682	1.97512522E-1	2.1334E-1
module_389	2.04405538E-1	2.0455E-1
module_426	2.06752163E-1	1.8691E-1
module_617	2.09168688E-1	2.3019E-1
module_391	2.17653472E-1	2.0069E-1
module_702	2.17801478E-1	1.4135E-1
module_503	2.22529488E-1	2.0704E-1
module_644	2.24185099E-1	2.7077E-1
module_512	2.24872757E-1	3.1057E-1
module_659	2.2494602E-1	3.2466E-1
module_556	2.26235507E-1	2.1308E-1
module_551	2.37327733E-1	2.0826E-1
module_579	2.48642013E-1	1.9995E-1
module_440	2.57348634E-1	2.4657E-1
module_720	2.59423894E-1	2.7704E-1
module_698	2.62583085E-1	3.186E-1
module_437	2.65079026E-1	3.3921E-1
module_431	2.68425575E-1	3.3189E-1
module_562	2.69317143E-1	2.4249E-1
module_638	2.76867555E-1	1.8156E-1
module_438	2.80192622E-1	3.4806E-1
module_580	2.80545763E-1	2.14E-1
module_453	2.8287634E-1	3.4197E-1
module_684	2.83644063E-1	3.1864E-1
module_496	2.89225003E-1	4.0696E-1
module_370	2.96588422E-1	2.7999E-1
module_451	3.04184583E-1	2.7666E-1
module_345	3.1007045E-1	3.9705E-1
module_701	3.12326989E-1	3.8123E-1
module_611	3.15427606E-1	3.52E-1
module_365	3.20916988E-1	3.2764E-1
module_442	3.22243669E-1	1.8824E-1
module_589	3.2552304E-1	3.9527E-1
module_457	3.26045746E-1	3.043E-1
module_637	3.27396422E-1	2.055E-1
module_523	3.29719357E-1	2.2323E-1
module_371	3.30912532E-1	4.5487E-1
module_540	3.41905491E-1	3.803E-1
module_436	3.46477117E-1	4.2439E-1
module_689	3.46591806E-1	3.6985E-1
module_554	3.52915885E-1	3.4872E-1
module_621	3.58046526E-1	2.765E-1
module_618	3.58868416E-1	3.4167E-1
module_560	3.59642899E-1	4.3707E-1
module_459	3.69046029E-1	4.2793E-1
module_728	3.69572725E-1	4.5315E-1
module_548	3.69643772E-1	3.6374E-1
module_677	3.69997263E-1	4.6491E-1
module_629	3.8329493E-1	3.9682E-1
module_452	3.87522452E-1	3.6946E-1
module_468	3.88259979E-1	3.0485E-1
module_561	3.93595434E-1	4.3915E-1
module_428	3.96043808E-1	4.0308E-1
module_432	3.97875696E-1	4.5681E-1
module_615	3.98738743E-1	4.5484E-1
module_573	3.98752022E-1	2.2246E-1
module_434	3.99997711E-1	5.5757E-1
module_526	4.03459899E-1	2.3223E-1
module_636	4.05110416E-1	4.0142E-1
module_640	4.20258004E-1	3.1552E-1
module_686	4.21709816E-1	2.7739E-1
module_576	4.34235661E-1	4.207E-1
module_539	4.37099729E-1	4.7138E-1
module_676	4.41279997E-1	3.9939E-1
module_524	4.45126412E-1	2.898E-1
module_552	4.51276063E-1	4.3962E-1
module_374	4.54982549E-1	4.2078E-1
module_420	4.5614628E-1	4.894E-1
module_697	4.60040928E-1	4.7558E-1
module_533	4.6092513E-1	4.7473E-1
module_711	4.62425293E-1	5.1518E-1
module_458	4.64268811E-1	5.3959E-1
module_528	4.66322265E-1	3.6418E-1
module_747	4.68467085E-1	5.3703E-1
module_593	4.72160236E-1	4.4476E-1
module_606	4.73473773E-1	4.9629E-1
module_469	4.77623821E-1	5.3276E-1
module_424	4.79756759E-1	6.1111E-1
module_581	4.89753388E-1	4.1511E-1
module_643	4.8985227E-1	4.424E-1
module_602	4.89952274E-1	4.5196E-1
module_529	4.90103634E-1	4.0912E-1
module_569	4.95802075E-1	4.5524E-1
module_510	5.0607044E-1	4.3607E-1
module_550	5.08726069E-1	5.4893E-1
module_479	5.09506898E-1	5.7958E-1
module_582	5.18594459E-1	3.7417E-1
module_427	5.20353018E-1	5.4583E-1
module_362	5.30176347E-1	4.7113E-1
module_605	5.37028368E-1	5.0533E-1
module_642	5.38592817E-1	5.8377E-1
module_433	5.41963327E-1	5.7153E-1
module_482	5.4843496E-1	5.8141E-1
module_478	5.49573773E-1	4.6006E-1
module_737	5.50200951E-1	5.8197E-1
module_357	5.50235517E-1	5.1243E-1
module_480	5.52693848E-1	5.9633E-1
module_530	5.55048785E-1	5.239E-1
module_634	5.57759337E-1	5.4727E-1
module_481	5.6569143E-1	5.7614E-1
module_782	5.71155206E-1	6.2642E-1
module_520	5.73282414E-1	5.6197E-1
module_613	5.7418017E-1	5.9608E-1
module_456	5.77161901E-1	6.0778E-1
module_493	5.86711698E-1	6.6264E-1
module_571	5.87061001E-1	4.6428E-1
module_578	5.88810225E-1	6.7944E-1
module_409	5.98339708E-1	6.1841E-1
module_465	5.98942009E-1	5.1114E-1
module_620	6.02040288E-1	6.0127E-1
module_545	6.04146911E-1	5.8781E-1
module_474	6.05770795E-1	4.3869E-1
module_649	6.08455916E-1	5.9707E-1
module_574	6.09498765E-1	6.2195E-1
module_536	6.09715561E-1	6.0276E-1
module_400	6.11347562E-1	6.2615E-1
module_525	6.13206038E-1	6.0725E-1
module_532	6.13293757E-1	4.193E-1
module_703	6.19535847E-1	6.4917E-1
module_586	6.28716958E-1	5.7305E-1
module_495	6.3038353E-1	7.3061E-1
module_509	6.33619201E-1	5.7923E-1
module_592	6.39809593E-1	6.2741E-1
module_513	6.40637556E-1	6.9951E-1
module_591	6.40800021E-1	6.1531E-1
module_625	6.43321783E-1	6.3396E-1
module_444	6.45499297E-1	6.6795E-1
module_515	6.53112529E-1	6.0081E-1
module_470	6.53446176E-1	7.0124E-1
module_622	6.58347763E-1	6.6647E-1
module_725	6.62800872E-1	7.4634E-1
module_522	6.64711009E-1	6.7792E-1
module_632	6.69421033E-1	5.2147E-1
module_635	6.75380329E-1	6.4979E-1
module_699	6.78709564E-1	6.4219E-1
module_535	6.80618886E-1	4.9602E-1
module_392	6.8674121E-1	6.0214E-1
module_466	6.88213251E-1	5.7827E-1
module_461	6.89532521E-1	5.5938E-1
module_692	6.92517397E-1	7.2031E-1
module_610	6.93569996E-1	5.2213E-1
module_668	6.97154272E-1	7.179E-1
module_460	7.10779202E-1	6.3387E-1
module_796	7.17365268E-1	7.7271E-1
module_511	7.18679664E-1	7.3824E-1
module_715	7.27384798E-1	7.9057E-1
module_585	7.40551193E-1	5.7353E-1
module_808	7.43880491E-1	7.8745E-1
module_624	7.48208673E-1	7.3124E-1
module_733	7.5247583E-1	7.7759E-1
module_508	7.69393354E-1	8.055E-1
module_472	7.71364703E-1	6.9855E-1
module_467	7.80058423E-1	6.7753E-1
module_475	7.82079295E-1	7.8055E-1
module_446	7.82811622E-1	6.539E-1
module_490	7.86407966E-1	8.2759E-1
module_441	8.02265278E-1	7.6722E-1
module_654	8.04516594E-1	8.6009E-1
module_473	8.07733131E-1	7.7732E-1
