Name	chi2Pvalue	empPvalue
module_551	1.53556018E-2	4.09E-3
module_640	1.88262147E-2	7.03E-3
module_621	2.38121087E-2	6.95E-3
module_552	4.46153679E-2	2.0505E-1
module_692	4.47744627E-2	1.942E-2
module_677	5.3857711E-2	6.07E-2
module_556	5.3897144E-2	2.855E-2
module_562	5.65051321E-2	2.493E-2
module_747	6.05681152E-2	1.079E-1
module_572	6.07768694E-2	1.284E-2
module_512	6.57016317E-2	8.599E-2
module_589	7.15516236E-2	6.799E-2
module_499	7.51435073E-2	3.9147E-1
module_567	7.68693166E-2	1.2216E-1
module_588	8.30169325E-2	3.7239E-1
module_637	8.79189393E-2	2.1347E-1
module_539	9.30668487E-2	1.2877E-1
module_701	9.53689792E-2	1.1884E-1
module_725	9.77003558E-2	1.7168E-1
module_596	1.00457624E-1	8.406E-2
module_582	1.00904208E-1	1.7087E-1
module_568	1.05192694E-1	4.091E-2
module_587	1.11119559E-1	3.75E-2
module_591	1.17504285E-1	1.0098E-1
module_533	1.29584487E-1	7.105E-2
module_697	1.3187843E-1	3.202E-2
module_513	1.51002932E-1	1.401E-1
module_796	1.54167011E-1	2.2513E-1
module_525	1.63077764E-1	9.062E-2
module_522	1.67816656E-1	8.326E-2
module_529	1.67908652E-1	2.302E-1
module_530	2.13502733E-1	2.5703E-1
module_782	2.1479098E-1	3.3454E-1
module_638	2.20198694E-1	2.8567E-1
module_569	2.34362444E-1	3.985E-1
module_586	2.37959631E-1	4.3394E-1
module_554	2.41707536E-1	4.5191E-1
module_592	2.46529614E-1	2.0024E-1
module_622	2.54611653E-1	9.626E-2
module_560	2.58464934E-1	8.813E-2
module_540	2.81888671E-1	2.0843E-1
module_528	2.83341423E-1	3.2525E-1
module_808	3.0649031E-1	4.0216E-1
module_644	3.13587061E-1	5.2899E-1
module_659	3.25515641E-1	1.3597E-1
module_698	3.44734849E-1	5.5377E-1
module_519	3.60906846E-1	4.0385E-1
module_736	3.74509669E-1	4.9407E-1
module_636	4.45542617E-1	6.6413E-1
module_583	4.75951465E-1	7.0864E-1
module_571	5.11071975E-1	5.7605E-1
module_618	5.14639786E-1	7.5835E-1
module_658	5.67740713E-1	7.02E-1
module_682	6.21823641E-1	7.3502E-1
module_643	6.24402632E-1	6.1807E-1
module_605	6.62779178E-1	8.0218E-1
module_642	6.9756951E-1	6.8682E-1
module_585	6.97978348E-1	7.7821E-1
module_593	8.11197254E-1	8.8747E-1
module_617	9.41789506E-1	8.6324E-1
module_538	9.55612091E-1	9.5899E-1
