Name	chi2Pvalue	empPvalue
module_431	8.53724366E-4	1.882E-2
module_433	1.32469602E-3	4.04E-3
module_574	8.48047974E-3	5.25E-3
module_437	9.12163516E-3	5.823E-2
module_436	1.30624889E-2	4.243E-2
module_384	1.47854275E-2	1.7985E-1
module_551	1.53556018E-2	3.84E-3
module_424	1.62759768E-2	1.0418E-1
module_640	1.88262147E-2	7.21E-3
module_459	2.09341801E-2	1.0878E-1
module_621	2.38121087E-2	7.12E-3
module_580	2.75527131E-2	7.175E-2
module_409	2.96646338E-2	1.895E-2
module_400	3.07878626E-2	6.813E-2
module_426	4.12248129E-2	3.15E-2
module_561	4.19736658E-2	5.269E-2
module_552	4.46153679E-2	2.0478E-1
module_692	4.47744627E-2	1.952E-2
module_427	4.51351513E-2	1.3144E-1
module_389	4.66682015E-2	9.694E-2
module_715	4.89730361E-2	6.502E-2
module_654	4.98901488E-2	5.524E-2
module_677	5.3857711E-2	5.983E-2
module_556	5.3897144E-2	2.791E-2
module_666	5.45561832E-2	7.24E-3
module_562	5.65051321E-2	2.618E-2
module_504	5.78439524E-2	3.306E-2
module_500	5.81706847E-2	2.072E-2
module_476	5.88829118E-2	1.8448E-1
module_747	6.05681152E-2	1.0857E-1
module_572	6.07768694E-2	1.356E-2
module_512	6.57016317E-2	8.561E-2
module_579	6.60054702E-2	1.2739E-1
module_362	6.76213995E-2	4.1917E-1
module_443	6.86624399E-2	3.782E-2
module_610	6.91298538E-2	2.101E-2
module_360	7.02409499E-2	1.6921E-1
module_589	7.15516236E-2	6.827E-2
module_499	7.51435073E-2	3.9456E-1
module_357	7.56483217E-2	5.074E-2
module_567	7.68693166E-2	1.2248E-1
module_392	8.28095765E-2	8.67E-2
module_588	8.30169325E-2	3.7304E-1
module_637	8.79189393E-2	2.1323E-1
module_518	9.23829924E-2	3.906E-2
module_539	9.30668487E-2	1.2915E-1
module_686	9.40560031E-2	1.1942E-1
module_701	9.53689792E-2	1.2027E-1
module_534	9.59726775E-2	4.195E-2
module_725	9.77003558E-2	1.713E-1
module_596	1.00457624E-1	8.224E-2
module_582	1.00904208E-1	1.7146E-1
module_550	1.03534368E-1	1.486E-2
module_568	1.05192694E-1	4.136E-2
module_668	1.05548701E-1	2.669E-2
module_587	1.11119559E-1	3.881E-2
module_591	1.17504285E-1	1.0159E-1
module_390	1.21721786E-1	3.0041E-1
module_491	1.21821155E-1	4.291E-2
module_345	1.26515388E-1	1.2535E-1
module_533	1.29584487E-1	7.031E-2
module_462	1.31193287E-1	8.884E-2
module_697	1.3187843E-1	3.163E-2
module_576	1.34335663E-1	1.4022E-1
module_650	1.34804561E-1	7.79E-2
module_594	1.35034439E-1	1.0556E-1
module_366	1.36062621E-1	6.031E-2
module_434	1.37132459E-1	3.725E-1
module_702	1.44190704E-1	1.3386E-1
module_620	1.48915026E-1	3.3575E-1
module_513	1.51002932E-1	1.4167E-1
module_796	1.54167011E-1	2.2412E-1
module_635	1.566228E-1	3.3806E-1
module_508	1.61141213E-1	9.288E-2
module_525	1.63077764E-1	9.022E-2
module_482	1.63831873E-1	7.182E-2
module_522	1.67816656E-1	8.505E-2
module_529	1.67908652E-1	2.2709E-1
module_520	1.70247421E-1	4.4954E-1
module_465	1.71558747E-1	1.2844E-1
module_613	1.72486891E-1	7.939E-2
module_440	1.7819276E-1	9.954E-2
module_417	1.81405591E-1	2.6455E-1
module_693	1.82457451E-1	2.2104E-1
module_354	1.85096892E-1	2.0576E-1
module_458	1.87430201E-1	2.5493E-1
module_369	1.91632419E-1	2.6145E-1
module_471	1.92166222E-1	1.8535E-1
module_470	1.92631805E-1	2.1269E-1
module_428	1.93662508E-1	2.3372E-1
module_711	1.94363569E-1	6.202E-2
module_469	1.94943044E-1	1.8324E-1
module_575	1.9665935E-1	3.6582E-1
module_420	2.009867E-1	2.3296E-1
module_577	2.0481313E-1	2.124E-1
module_365	2.07032089E-1	3.0623E-1
module_530	2.13502733E-1	2.5726E-1
module_782	2.1479098E-1	3.3421E-1
module_521	2.16203648E-1	6.569E-2
module_611	2.16760167E-1	6.836E-2
module_537	2.17240476E-1	8.825E-2
module_490	2.18483596E-1	4.3735E-1
module_638	2.20198694E-1	2.8172E-1
module_391	2.22697349E-1	1.7328E-1
module_510	2.23391642E-1	3.4114E-1
module_370	2.23425627E-1	2.2171E-1
module_569	2.34362444E-1	3.953E-1
module_586	2.37959631E-1	4.3146E-1
module_554	2.41707536E-1	4.5605E-1
module_592	2.46529614E-1	1.9733E-1
module_371	2.47186951E-1	2.6112E-1
module_477	2.47271207E-1	1.3266E-1
module_496	2.4791658E-1	4.5193E-1
module_439	2.48471285E-1	1.5071E-1
module_378	2.53675999E-1	2.7849E-1
module_622	2.54611653E-1	9.496E-2
module_606	2.58015859E-1	5.174E-2
module_560	2.58464934E-1	8.827E-2
module_452	2.61388139E-1	3.4574E-1
module_432	2.6697255E-1	3.2737E-1
module_540	2.81888671E-1	2.0823E-1
module_528	2.83341423E-1	3.2626E-1
module_517	2.85911866E-1	3.4182E-1
module_359	2.9240691E-1	1.4847E-1
module_808	3.0649031E-1	4.028E-1
module_457	3.0692632E-1	3.3648E-1
module_644	3.13587061E-1	5.2577E-1
module_536	3.17126341E-1	5.6149E-1
module_451	3.22968369E-1	2.171E-1
module_659	3.25515641E-1	1.3632E-1
module_467	3.28231155E-1	2.9027E-1
module_625	3.37847836E-1	5.1303E-1
module_449	3.41528677E-1	4.6257E-1
module_698	3.44734849E-1	5.5045E-1
module_368	3.59909786E-1	2.7909E-1
module_519	3.60906846E-1	4.035E-1
module_442	3.62612374E-1	2.3072E-1
module_736	3.74509669E-1	4.9862E-1
module_448	3.77929477E-1	2.2403E-1
module_493	3.84808875E-1	5.04E-1
module_393	3.89047751E-1	1.5597E-1
module_728	3.89348767E-1	1.7251E-1
module_703	3.97607746E-1	5.2293E-1
module_619	3.99809298E-1	4.3886E-1
module_531	4.016106E-1	5.094E-1
module_444	4.05433707E-1	2.6674E-1
module_480	4.09477942E-1	4.4276E-1
module_481	4.17377005E-1	3.6147E-1
module_438	4.19728887E-1	3.8037E-1
module_535	4.2227252E-1	2.991E-1
module_453	4.34939331E-1	2.4352E-1
module_460	4.41791307E-1	3.8284E-1
module_478	4.44387888E-1	3.3281E-1
module_636	4.45542617E-1	6.6464E-1
module_495	4.52346361E-1	2.9489E-1
module_509	4.60524658E-1	6.8415E-1
module_468	4.60599205E-1	3.4552E-1
module_583	4.75951465E-1	7.0703E-1
module_463	4.89102134E-1	4.7674E-1
module_385	4.95055093E-1	5.4297E-1
module_503	5.05238691E-1	1.8121E-1
module_616	5.0545238E-1	6.4977E-1
module_695	5.08648537E-1	3.8019E-1
module_571	5.11071975E-1	5.803E-1
module_618	5.14639786E-1	7.6016E-1
module_474	5.18105988E-1	4.0663E-1
module_456	5.19244538E-1	3.2766E-1
module_461	5.24328661E-1	3.3329E-1
module_374	5.35698218E-1	2.8787E-1
module_634	5.36323076E-1	6.2469E-1
module_454	5.52165341E-1	3.8645E-1
module_524	5.55535182E-1	4.2734E-1
module_658	5.67740713E-1	7.032E-1
module_516	5.78185794E-1	5.3836E-1
module_523	5.78646701E-1	5.8955E-1
module_501	5.84008069E-1	6.8964E-1
module_581	5.92464949E-1	4.7964E-1
module_689	6.14877653E-1	2.9815E-1
module_682	6.21823641E-1	7.3415E-1
module_466	6.2242345E-1	5.1797E-1
module_629	6.24065549E-1	5.2214E-1
module_643	6.24402632E-1	6.2031E-1
module_515	6.28154439E-1	7.8965E-1
module_720	6.33289608E-1	6.3679E-1
module_472	6.36076272E-1	6.112E-1
module_733	6.47790639E-1	7.1347E-1
module_475	6.53849061E-1	5.8141E-1
module_605	6.62779178E-1	8.0265E-1
module_473	6.65635306E-1	6.6424E-1
module_737	6.7270638E-1	7.3971E-1
module_684	6.78052798E-1	3.9527E-1
module_545	6.9425318E-1	7.1932E-1
module_642	6.9756951E-1	6.851E-1
module_585	6.97978348E-1	7.7874E-1
module_548	7.06128227E-1	7.2932E-1
module_532	7.25111974E-1	6.0718E-1
module_526	7.27168567E-1	6.2989E-1
module_623	7.32393598E-1	6.2826E-1
module_573	7.32575867E-1	5.1496E-1
module_464	7.75002602E-1	8.838E-1
module_441	7.92807213E-1	8.2003E-1
module_593	8.11197254E-1	8.8517E-1
module_615	8.15091811E-1	9.2085E-1
module_511	8.19513977E-1	8.68E-1
module_601	8.29797758E-1	9.0823E-1
module_602	8.51957095E-1	8.9569E-1
module_479	8.72213364E-1	8.9192E-1
module_649	8.77574504E-1	8.4324E-1
