Name	chi2Pvalue	empPvalue
module_596	5.68758394E-3	5.561E-2
module_567	3.40456289E-2	1.3528E-1
module_725	3.72379452E-2	7.011E-2
module_513	4.63002612E-2	1.87E-1
module_659	5.06300895E-2	1.8348E-1
module_589	5.66392944E-2	1.0905E-1
module_677	7.08500209E-2	1.1677E-1
module_512	1.05931331E-1	2.531E-1
module_551	1.4647612E-1	4.223E-2
module_701	1.47612375E-1	1.5617E-1
module_560	1.63347584E-1	1.1017E-1
module_587	2.0376262E-1	6.33E-2
module_796	2.19668645E-1	1.9603E-1
module_747	2.27947152E-1	3.4701E-1
module_568	2.44164134E-1	1.3067E-1
module_556	3.21314653E-1	1.0219E-1
module_692	3.28007157E-1	1.0994E-1
module_562	3.30265523E-1	1.554E-1
module_572	3.30782354E-1	9.088E-2
module_698	3.32551541E-1	3.2426E-1
module_782	3.52507819E-1	4.2447E-1
module_621	3.89771058E-1	1.413E-1
module_622	3.98455774E-1	1.4314E-1
module_697	4.05028719E-1	1.2383E-1
module_640	4.22626025E-1	1.4631E-1
module_808	4.87854479E-1	6.027E-1
module_522	5.51804267E-1	5.8808E-1
module_529	5.7725952E-1	6.4858E-1
module_582	5.98478748E-1	3.9007E-1
module_593	6.52891661E-1	6.0984E-1
module_644	6.53885988E-1	5.6597E-1
module_528	6.61053825E-1	4.9378E-1
module_643	7.21188114E-1	7.7058E-1
module_642	7.22500802E-1	7.6191E-1
module_588	7.39157208E-1	6.8738E-1
module_586	7.51928363E-1	9.2143E-1
module_540	7.78114987E-1	6.7164E-1
module_569	7.8833942E-1	8.1964E-1
module_637	7.95395346E-1	8.313E-1
module_736	8.11802358E-1	8.4638E-1
module_499	8.17763428E-1	7.7589E-1
module_617	8.27145747E-1	8.8536E-1
module_618	8.56714044E-1	9.3651E-1
module_636	8.7898452E-1	9.4294E-1
module_658	8.81658603E-1	9.3279E-1
module_552	8.94769705E-1	9.7037E-1
module_605	9.01151369E-1	9.3779E-1
module_554	9.01198109E-1	9.6967E-1
module_591	9.37767143E-1	9.4282E-1
module_592	9.38811106E-1	9.4648E-1
module_530	9.48970952E-1	9.7779E-1
module_539	9.51519401E-1	9.206E-1
module_585	9.52392453E-1	9.2831E-1
module_682	9.58883931E-1	9.6698E-1
module_538	9.63646936E-1	9.7415E-1
module_525	9.67808318E-1	9.6395E-1
module_571	9.72384838E-1	8.9459E-1
module_583	9.80567552E-1	8.9639E-1
module_519	9.8511549E-1	9.3693E-1
module_533	9.98201903E-1	9.9763E-1
module_638	9.99034633E-1	9.9714E-1
