Name	chi2Pvalue	empPvalue
module_596	5.68758394E-3	5.449E-2
module_650	6.02912103E-3	4.048E-2
module_594	7.303916E-3	6.239E-2
module_668	2.19916705E-2	2.206E-2
module_567	3.40456289E-2	1.3785E-1
module_725	3.72379452E-2	6.982E-2
module_666	3.75903977E-2	3.573E-2
module_369	4.55786644E-2	7.154E-2
module_513	4.63002612E-2	1.8663E-1
module_659	5.06300895E-2	1.8352E-1
module_500	5.08949198E-2	1.26E-2
module_366	5.27691961E-2	1.0126E-1
module_390	5.47790748E-2	3.298E-2
module_589	5.66392944E-2	1.1118E-1
module_531	5.69958182E-2	3.953E-2
module_517	6.72469637E-2	1.177E-1
module_443	6.96424461E-2	1.217E-2
module_677	7.08500209E-2	1.1492E-1
module_561	7.31259215E-2	1.8627E-1
module_385	8.29404505E-2	3.681E-2
module_504	9.86720891E-2	4.646E-2
module_512	1.05931331E-1	2.4797E-1
module_354	1.17878298E-1	1.4268E-1
module_365	1.42701039E-1	1.522E-1
module_432	1.43017998E-1	1.9086E-1
module_733	1.43749456E-1	9.945E-2
module_551	1.4647612E-1	4.116E-2
module_701	1.47612375E-1	1.5239E-1
module_491	1.50725816E-1	3.822E-2
module_426	1.52374049E-1	5.026E-2
module_462	1.53266318E-1	2.906E-2
module_560	1.63347584E-1	1.0881E-1
module_357	1.75445532E-1	3.3917E-1
module_728	1.7955153E-1	2.4162E-1
module_518	1.91055585E-1	3.943E-2
module_711	1.97889464E-1	2.9298E-1
module_611	1.981823E-1	1.2732E-1
module_477	2.02360905E-1	4.852E-2
module_587	2.0376262E-1	6.632E-2
module_654	2.06235607E-1	1.9992E-1
module_737	2.14082213E-1	1.3648E-1
module_521	2.1603088E-1	4.215E-2
module_796	2.19668645E-1	1.9641E-1
module_747	2.27947152E-1	3.4828E-1
module_534	2.28589226E-1	1.0248E-1
module_392	2.36917049E-1	1.7794E-1
module_417	2.38854487E-1	9.159E-2
module_568	2.44164134E-1	1.3236E-1
module_537	2.61355708E-1	9.551E-2
module_577	2.63092744E-1	2.8232E-1
module_464	2.93123373E-1	2.461E-1
module_378	2.93655423E-1	3.1575E-1
module_420	2.96320891E-1	1.0697E-1
module_368	3.03619666E-1	1.8074E-1
module_556	3.21314653E-1	1.0181E-1
module_692	3.28007157E-1	1.0813E-1
module_562	3.30265523E-1	1.549E-1
module_572	3.30782354E-1	9.166E-2
module_698	3.32551541E-1	3.2805E-1
module_345	3.33263384E-1	1.3784E-1
module_610	3.40196245E-1	1.8935E-1
module_782	3.52507819E-1	4.2835E-1
module_370	3.61749132E-1	2.5108E-1
module_495	3.66300398E-1	2.2426E-1
module_424	3.87534532E-1	3.0744E-1
module_621	3.89771058E-1	1.4414E-1
module_715	3.93500049E-1	5.6508E-1
module_622	3.98455774E-1	1.4298E-1
module_697	4.05028719E-1	1.2608E-1
module_640	4.22626025E-1	1.4647E-1
module_615	4.23947045E-1	3.4345E-1
module_606	4.33313387E-1	2.3891E-1
module_527	4.42685707E-1	2.9672E-1
module_613	4.6068724E-1	2.432E-1
module_490	4.83788482E-1	5.0537E-1
module_460	4.87364823E-1	3.9732E-1
module_808	4.87854479E-1	6.0528E-1
module_427	4.89587523E-1	3.2946E-1
module_371	5.06853514E-1	6.087E-1
module_616	5.10007465E-1	3.9464E-1
module_574	5.10799697E-1	6.315E-1
module_465	5.16971481E-1	2.3143E-1
module_457	5.1948391E-1	5.1165E-1
module_580	5.28560349E-1	6.3671E-1
module_436	5.3491901E-1	4.4194E-1
module_522	5.51804267E-1	5.868E-1
module_550	5.55906095E-1	1.7463E-1
module_695	5.64960239E-1	6.5871E-1
module_529	5.7725952E-1	6.5158E-1
module_433	5.81822539E-1	3.6562E-1
module_389	5.85595221E-1	5.802E-1
module_359	5.88939586E-1	6.626E-1
module_582	5.98478748E-1	3.9062E-1
module_579	6.10195651E-1	4.5021E-1
module_683	6.11307791E-1	7.0387E-1
module_629	6.1297698E-1	7.3156E-1
module_440	6.22970677E-1	5.0483E-1
module_493	6.28576395E-1	4.1655E-1
module_619	6.44586323E-1	5.0933E-1
module_523	6.52498377E-1	3.6547E-1
module_593	6.52891661E-1	6.0967E-1
module_644	6.53885988E-1	5.671E-1
module_528	6.61053825E-1	4.9535E-1
module_400	6.65572881E-1	8.6996E-1
module_467	6.65697734E-1	4.5987E-1
module_482	6.78338396E-1	7.6429E-1
module_428	6.85883386E-1	3.3913E-1
module_468	6.90672927E-1	5.5111E-1
module_451	6.92377749E-1	5.7012E-1
module_431	6.96352944E-1	5.2552E-1
module_496	7.11607673E-1	7.4018E-1
module_473	7.2084954E-1	4.6403E-1
module_536	7.20965174E-1	8.5215E-1
module_643	7.21188114E-1	7.7098E-1
module_642	7.22500802E-1	7.6326E-1
module_360	7.34552236E-1	5.4227E-1
module_409	7.37396915E-1	7.6502E-1
module_588	7.39157208E-1	6.909E-1
module_586	7.51928363E-1	9.1947E-1
module_575	7.53254525E-1	6.5959E-1
module_384	7.77899143E-1	5.4521E-1
module_540	7.78114987E-1	6.689E-1
module_438	7.78464798E-1	7.6795E-1
module_442	7.79590779E-1	5.062E-1
module_437	7.85993061E-1	6.4749E-1
module_503	7.86551492E-1	7.4568E-1
module_459	7.87225406E-1	8.66E-1
module_569	7.8833942E-1	8.1993E-1
module_720	7.89809225E-1	8.1791E-1
module_476	7.92824805E-1	7.859E-1
module_637	7.95395346E-1	8.3337E-1
module_623	7.96459357E-1	6.4489E-1
module_461	8.06080884E-1	4.5684E-1
module_478	8.0632136E-1	7.1315E-1
module_474	8.09393904E-1	5.8017E-1
module_736	8.11802358E-1	8.5074E-1
module_520	8.14055432E-1	8.0535E-1
module_684	8.1548587E-1	8.4394E-1
module_499	8.17763428E-1	7.7501E-1
module_448	8.23690376E-1	8.2468E-1
module_617	8.27145747E-1	8.8817E-1
module_634	8.2982393E-1	8.7593E-1
module_434	8.31826479E-1	6.1272E-1
module_393	8.31952228E-1	8.9937E-1
module_454	8.3320275E-1	8.89E-1
module_439	8.35103086E-1	7.7358E-1
module_391	8.39446956E-1	8.9208E-1
module_689	8.4130204E-1	8.2895E-1
module_452	8.41757111E-1	8.7306E-1
module_548	8.44130308E-1	7.0719E-1
module_532	8.52692953E-1	6.025E-1
module_601	8.5457489E-1	8.0662E-1
module_618	8.56714044E-1	9.3744E-1
module_374	8.57112982E-1	9.017E-1
module_676	8.66027722E-1	8.9311E-1
module_578	8.68261708E-1	6.7833E-1
module_362	8.74394745E-1	9.2263E-1
module_636	8.7898452E-1	9.4085E-1
module_658	8.81658603E-1	9.3284E-1
module_453	8.83809977E-1	8.7227E-1
module_481	8.84309124E-1	8.9528E-1
module_470	8.86897327E-1	9.4139E-1
module_576	8.88757436E-1	9.4263E-1
module_552	8.94769705E-1	9.7068E-1
module_466	8.95230582E-1	8.0673E-1
module_458	8.99481215E-1	8.9867E-1
module_605	9.01151369E-1	9.3849E-1
module_554	9.01198109E-1	9.7012E-1
module_573	9.02815592E-1	7.4987E-1
module_703	9.04189945E-1	8.945E-1
module_472	9.15528074E-1	8.6574E-1
module_444	9.16727254E-1	9.446E-1
module_475	9.20699046E-1	9.1045E-1
module_480	9.20774879E-1	9.4329E-1
module_509	9.22374457E-1	7.7525E-1
module_699	9.31223231E-1	9.3851E-1
module_602	9.31912651E-1	9.6447E-1
module_591	9.37767143E-1	9.4279E-1
module_469	9.38261174E-1	9.4002E-1
module_592	9.38811106E-1	9.4757E-1
module_526	9.40004593E-1	7.9956E-1
module_501	9.41126984E-1	8.7086E-1
module_649	9.42682055E-1	9.5214E-1
module_530	9.48970952E-1	9.7734E-1
module_479	9.49131123E-1	9.3549E-1
module_539	9.51519401E-1	9.2009E-1
module_510	9.52378032E-1	8.8886E-1
module_585	9.52392453E-1	9.2742E-1
module_508	9.53696615E-1	9.4363E-1
module_682	9.58883931E-1	9.6724E-1
module_535	9.59198996E-1	9.4121E-1
module_441	9.60297064E-1	8.9599E-1
module_463	9.6245787E-1	8.8547E-1
module_538	9.63646936E-1	9.7415E-1
module_449	9.67036633E-1	9.5701E-1
module_525	9.67808318E-1	9.6565E-1
module_635	9.68892034E-1	9.5508E-1
module_446	9.69066863E-1	9.5712E-1
module_571	9.72384838E-1	8.9472E-1
module_456	9.73196729E-1	9.4743E-1
module_511	9.76337852E-1	9.1422E-1
module_632	9.77636759E-1	9.1672E-1
module_583	9.80567552E-1	8.9593E-1
module_545	9.80754731E-1	9.9078E-1
module_581	9.83224281E-1	8.7075E-1
module_519	9.8511549E-1	9.3783E-1
module_524	9.87156536E-1	8.5546E-1
module_624	9.89970525E-1	9.0923E-1
module_620	9.90495569E-1	9.7817E-1
module_471	9.92806111E-1	9.9302E-1
module_515	9.93476189E-1	9.6269E-1
module_516	9.94290629E-1	9.7571E-1
module_625	9.97551424E-1	9.9294E-1
module_533	9.98201903E-1	9.9783E-1
module_693	9.98314035E-1	9.9781E-1
module_638	9.99034633E-1	9.9683E-1
module_686	9.9942611E-1	9.9117E-1
module_702	9.99790376E-1	9.9983E-1
module_584	NA	1E0
module_771	NA	1E0
module_774	NA	1E0
module_778	NA	1E0
module_785	NA	1E0
