Name	chi2Pvalue	empPvalue
module_677	6.69713107E-3	1.477E-2
module_568	3.94182905E-2	1.327E-2
module_551	5.06204911E-2	6.36E-3
module_725	5.77580217E-2	7.475E-2
module_596	7.21462266E-2	5.686E-2
module_701	8.00110332E-2	5.764E-2
module_692	9.75071245E-2	1.933E-2
module_567	1.08216345E-1	1.3016E-1
module_562	1.08846612E-1	2.68E-2
module_589	1.24844424E-1	4.735E-2
module_512	1.35089406E-1	9.015E-2
module_621	1.37405652E-1	3.696E-2
module_796	1.53087498E-1	1.1096E-1
module_782	1.57310309E-1	2.6276E-1
module_556	1.58058328E-1	3.586E-2
module_560	1.5900188E-1	2.832E-2
module_513	1.72817074E-1	1.2281E-1
module_747	1.74680735E-1	1.4767E-1
module_587	1.80789117E-1	7.268E-2
module_582	1.81557232E-1	3.5273E-1
module_697	1.82580933E-1	2.735E-2
module_808	1.84313562E-1	2.814E-1
module_622	1.91837509E-1	3.543E-2
module_659	1.93089538E-1	1.6962E-1
module_540	2.29866465E-1	2.3957E-1
module_637	2.50232071E-1	4.947E-1
module_539	2.62832332E-1	3.5261E-1
module_640	2.85619814E-1	6.242E-2
module_572	2.9115404E-1	4.781E-2
module_522	3.13418749E-1	1.429E-1
module_525	3.55839945E-1	2.4974E-1
module_529	3.56303694E-1	4.7766E-1
module_638	3.70300669E-1	5.4868E-1
module_585	3.84098385E-1	7.5631E-1
module_736	3.91275964E-1	4.4133E-1
module_519	4.01115998E-1	4.3155E-1
module_528	4.18051015E-1	5.1594E-1
module_591	4.22212326E-1	2.6697E-1
module_571	4.47344799E-1	5.1073E-1
module_533	4.97831197E-1	3.0092E-1
module_588	5.17474733E-1	8.2021E-1
module_644	5.26994636E-1	7.6582E-1
module_698	5.3140138E-1	7.3329E-1
module_643	5.41024125E-1	4.3977E-1
module_583	5.63244112E-1	8.8324E-1
module_593	6.33031226E-1	7.9049E-1
module_592	6.37913341E-1	3.7992E-1
module_530	6.9811999E-1	6.7694E-1
module_642	7.19829579E-1	5.645E-1
module_554	7.37752889E-1	6.1475E-1
module_658	7.63402439E-1	7.3819E-1
module_569	7.93934996E-1	7.814E-1
module_552	7.95497566E-1	6.4575E-1
module_499	8.14582209E-1	8.0167E-1
module_682	8.22677479E-1	7.7897E-1
module_617	8.50620467E-1	7.4339E-1
module_618	9.21067942E-1	9.0699E-1
module_586	9.31270101E-1	8.9975E-1
module_636	9.48619027E-1	9.213E-1
module_605	9.56483028E-1	9.3148E-1
module_538	9.74925844E-1	9.5462E-1
