Name	chi2Pvalue	empPvalue
module_677	6.69713107E-3	1.456E-2
module_666	1.64677026E-2	1.61E-3
module_594	1.66584719E-2	3.548E-2
module_668	2.91916545E-2	6.25E-3
module_568	3.94182905E-2	1.321E-2
module_500	3.99602615E-2	8.92E-3
module_503	4.47686198E-2	9.345E-2
module_654	4.48521736E-2	2.675E-2
module_370	4.81279752E-2	6.369E-2
module_551	5.06204911E-2	6.28E-3
module_465	5.38649724E-2	1.0464E-1
module_725	5.77580217E-2	7.573E-2
module_491	6.19322379E-2	2.617E-2
module_561	6.23130271E-2	3.197E-2
module_574	7.21138672E-2	2.761E-2
module_596	7.21462266E-2	5.69E-2
module_580	7.99343527E-2	2.3025E-1
module_701	8.00110332E-2	5.906E-2
module_550	8.67138901E-2	1.501E-2
module_504	9.01570395E-2	1.884E-2
module_650	9.54014899E-2	1.075E-1
module_692	9.75071245E-2	1.883E-2
module_728	1.04984747E-1	8.84E-2
module_567	1.08216345E-1	1.3098E-1
module_562	1.08846612E-1	2.613E-2
module_606	1.14730893E-1	2.171E-2
module_589	1.24844424E-1	4.733E-2
module_443	1.31492467E-1	5.862E-2
module_371	1.3238942E-1	1.989E-1
module_512	1.35089406E-1	9.024E-2
module_482	1.36468803E-1	1.0993E-1
module_621	1.37405652E-1	3.633E-2
module_345	1.37779356E-1	1.3048E-1
module_392	1.45658702E-1	1.2299E-1
module_796	1.53087498E-1	1.1094E-1
module_354	1.54725403E-1	1.8554E-1
module_782	1.57310309E-1	2.6446E-1
module_556	1.58058328E-1	3.673E-2
module_560	1.5900188E-1	2.795E-2
module_440	1.62385744E-1	1.6243E-1
module_389	1.67122698E-1	2.2184E-1
module_438	1.67498148E-1	3.6646E-1
module_715	1.67826455E-1	1.0827E-1
module_711	1.69853872E-1	1.1125E-1
module_513	1.72817074E-1	1.2304E-1
module_747	1.74680735E-1	1.4823E-1
module_510	1.79372961E-1	3.3086E-1
module_365	1.80384981E-1	4.319E-1
module_587	1.80789117E-1	7.175E-2
module_582	1.81557232E-1	3.5356E-1
module_697	1.82580933E-1	2.784E-2
module_490	1.82884682E-1	3.586E-1
module_808	1.84313562E-1	2.7989E-1
module_629	1.86668194E-1	1.9767E-1
module_733	1.88707538E-1	3.358E-1
module_579	1.90167522E-1	3.6805E-1
module_622	1.91837509E-1	3.729E-2
module_659	1.93089538E-1	1.6822E-1
module_577	1.97720861E-1	3.318E-1
module_391	1.98784358E-1	3.1282E-1
module_521	2.03021564E-1	5.589E-2
module_686	2.04162519E-1	2.8253E-1
module_576	2.10452961E-1	1.8977E-1
module_702	2.1107709E-1	2.712E-1
module_366	2.12851468E-1	9.951E-2
module_409	2.26760489E-1	1.4982E-1
module_540	2.29866465E-1	2.397E-1
module_390	2.30462353E-1	3.2119E-1
module_400	2.48799156E-1	2.2468E-1
module_637	2.50232071E-1	4.964E-1
module_426	2.50991418E-1	8.999E-2
module_524	2.52450824E-1	4.822E-1
module_534	2.54175508E-1	1.0097E-1
module_693	2.54451201E-1	3.2948E-1
module_359	2.58918889E-1	2.2277E-1
module_539	2.62832332E-1	3.5384E-1
module_469	2.705532E-1	3.1365E-1
module_432	2.73655446E-1	2.6821E-1
module_460	2.74704982E-1	4.0073E-1
module_481	2.80984621E-1	3.0261E-1
module_640	2.85619814E-1	6.274E-2
module_572	2.9115404E-1	4.837E-2
module_473	2.9754666E-1	5.4664E-1
module_573	2.99200282E-1	4.5576E-1
module_360	3.01477645E-1	2.4353E-1
module_610	3.02258191E-1	1.085E-1
module_424	3.03869832E-1	3.2226E-1
module_508	3.0703215E-1	1.4218E-1
module_509	3.07044308E-1	7.4372E-1
module_467	3.0904567E-1	4.8421E-1
module_439	3.11896861E-1	3.4731E-1
module_522	3.13418749E-1	1.4244E-1
module_613	3.15934479E-1	1.1617E-1
module_620	3.20919034E-1	6.1628E-1
module_470	3.22846917E-1	3.806E-1
module_517	3.25835355E-1	3.5099E-1
module_478	3.3377856E-1	3.4209E-1
module_431	3.45961932E-1	2.3244E-1
module_625	3.49544923E-1	6.7584E-1
module_525	3.55839945E-1	2.5013E-1
module_529	3.56303694E-1	4.8052E-1
module_575	3.60516502E-1	5.858E-1
module_638	3.70300669E-1	5.4703E-1
module_433	3.7698629E-1	1.9699E-1
module_518	3.80141435E-1	1.3091E-1
module_374	3.83690596E-1	4.6195E-1
module_523	3.83892487E-1	5.9172E-1
module_585	3.84098385E-1	7.5343E-1
module_457	3.85403963E-1	4.3672E-1
module_736	3.91275964E-1	4.4223E-1
module_384	3.97676353E-1	6.1184E-1
module_611	3.98337792E-1	4.892E-2
module_474	3.98349829E-1	4.2874E-1
module_519	4.01115998E-1	4.3096E-1
module_624	4.06720052E-1	7.3175E-1
module_369	4.07953314E-1	2.308E-1
module_434	4.09973223E-1	5.2151E-1
module_462	4.11763305E-1	1.5023E-1
module_635	4.13790363E-1	6.7027E-1
module_528	4.18051015E-1	5.1665E-1
module_451	4.21059407E-1	4.8388E-1
module_442	4.21633022E-1	3.142E-1
module_591	4.22212326E-1	2.6788E-1
module_526	4.2248058E-1	6.5341E-1
module_357	4.24156044E-1	1.6733E-1
module_463	4.28542806E-1	4.3794E-1
module_453	4.29537067E-1	3.8278E-1
module_511	4.33437589E-1	6.6083E-1
module_448	4.43530825E-1	4.7905E-1
module_571	4.47344799E-1	5.08E-1
module_472	4.48240354E-1	5.8623E-1
module_493	4.49832065E-1	5.4007E-1
module_449	4.52316684E-1	6.7212E-1
module_537	4.54045056E-1	1.6688E-1
module_444	4.56690756E-1	3.2585E-1
module_436	4.60515867E-1	4.0727E-1
module_393	4.61035654E-1	2.9353E-1
module_695	4.64750455E-1	2.5148E-1
module_634	4.72561506E-1	7.0748E-1
module_477	4.8304957E-1	1.5731E-1
module_703	4.87110461E-1	6.894E-1
module_454	4.95452623E-1	4.2604E-1
module_437	4.97249833E-1	4.2541E-1
module_533	4.97831197E-1	3.0034E-1
module_496	4.99840384E-1	6.2233E-1
module_378	5.050494E-1	5.3159E-1
module_737	5.11462912E-1	5.0137E-1
module_535	5.13528977E-1	4.7067E-1
module_516	5.15549627E-1	7.1784E-1
module_427	5.16923397E-1	3.5633E-1
module_588	5.17474733E-1	8.2112E-1
module_362	5.2100914E-1	8.3169E-1
module_644	5.26994636E-1	7.6729E-1
module_698	5.3140138E-1	7.3124E-1
module_461	5.38932926E-1	5.0254E-1
module_532	5.40196893E-1	7.0233E-1
module_720	5.40277292E-1	5.3536E-1
module_643	5.41024125E-1	4.4099E-1
module_501	5.44952193E-1	6.6361E-1
module_583	5.63244112E-1	8.8261E-1
module_468	5.65576748E-1	5.6464E-1
module_581	5.84219102E-1	6.6372E-1
module_459	5.86246312E-1	4.2564E-1
module_471	5.98447205E-1	5.2168E-1
module_683	6.05910701E-1	4.939E-1
module_515	6.0645218E-1	8.1155E-1
module_458	6.17074036E-1	5.8921E-1
module_632	6.19544809E-1	7.0957E-1
module_593	6.33031226E-1	7.9014E-1
module_592	6.37913341E-1	3.8112E-1
module_616	6.3933693E-1	7.2567E-1
module_456	6.5347216E-1	4.5544E-1
module_479	6.68787425E-1	8.0467E-1
module_452	6.69124773E-1	6.4617E-1
module_446	6.72549764E-1	8.758E-1
module_689	6.86010824E-1	4.1951E-1
module_623	6.90961221E-1	6.9715E-1
module_476	6.93282075E-1	5.8713E-1
module_475	6.97880343E-1	6.1861E-1
module_530	6.9811999E-1	6.8035E-1
module_480	7.11875455E-1	6.177E-1
module_601	7.12360586E-1	8.6347E-1
module_642	7.19829579E-1	5.6259E-1
module_619	7.34290882E-1	7.084E-1
module_441	7.35682743E-1	9.2605E-1
module_554	7.37752889E-1	6.1526E-1
module_428	7.55785553E-1	3.9071E-1
module_466	7.59783492E-1	6.5895E-1
module_658	7.63402439E-1	7.4018E-1
module_520	7.89003811E-1	7.7611E-1
module_495	7.90949178E-1	3.5906E-1
module_569	7.93934996E-1	7.8172E-1
module_552	7.95497566E-1	6.4347E-1
module_578	8.10586472E-1	8.5736E-1
module_615	8.14083784E-1	9.0913E-1
module_499	8.14582209E-1	7.9906E-1
module_684	8.19600343E-1	5.5329E-1
module_682	8.22677479E-1	7.7895E-1
module_368	8.26180518E-1	6.5199E-1
module_417	8.3217772E-1	6.107E-1
module_464	8.32340323E-1	8.952E-1
module_548	8.32753109E-1	7.0363E-1
module_531	8.45996996E-1	7.0936E-1
module_420	8.48646011E-1	4.5013E-1
module_617	8.50620467E-1	7.4011E-1
module_649	9.04562697E-1	8.4336E-1
module_618	9.21067942E-1	9.0877E-1
module_545	9.22834598E-1	8.1354E-1
module_586	9.31270101E-1	9.0071E-1
module_602	9.46077701E-1	9.1087E-1
module_636	9.48619027E-1	9.2047E-1
module_536	9.52379358E-1	9.0725E-1
module_605	9.56483028E-1	9.3123E-1
module_527	9.63739651E-1	9.855E-1
module_538	9.74925844E-1	9.5591E-1
module_676	9.76919918E-1	6.875E-1
module_699	9.79839577E-1	9.8024E-1
module_385	9.90644915E-1	9.1566E-1
module_584	NA	1E0
module_771	NA	1E0
module_774	NA	1E0
module_778	NA	1E0
module_785	NA	1E0
