Name	chi2Pvalue	empPvalue
module_596	4.24273314E-3	5.01E-3
module_659	8.74495312E-3	1.008E-2
module_567	1.72288229E-2	1.436E-2
module_701	4.95621162E-2	1.2554E-1
module_589	5.46259169E-2	1.9055E-1
module_513	5.54376238E-2	1.8886E-1
module_698	7.53323981E-2	1.4523E-1
module_725	9.37134372E-2	1.2578E-1
module_796	1.03701918E-1	1.4589E-1
module_677	1.1108615E-1	1.6374E-1
module_512	1.17622998E-1	2.5331E-1
module_644	1.40908238E-1	2.4515E-1
module_808	1.6100812E-1	3.9248E-1
module_747	1.77633807E-1	3.8045E-1
module_782	2.06285442E-1	3.7805E-1
module_522	3.14629229E-1	5.4027E-1
module_591	3.65453179E-1	6.238E-1
module_538	3.80419393E-1	7.5195E-1
module_569	3.89258195E-1	5.9097E-1
module_588	4.18953684E-1	4.9845E-1
module_642	4.32753324E-1	5.4201E-1
module_530	4.78083002E-1	7.1548E-1
module_736	4.8169264E-1	6.7776E-1
module_593	4.86664031E-1	4.4345E-1
module_697	4.91046972E-1	1.5018E-1
module_643	5.0935335E-1	5.4256E-1
module_592	5.26195589E-1	6.943E-1
module_499	5.38437917E-1	5.7324E-1
module_525	5.45761232E-1	7.5592E-1
module_586	5.56813251E-1	8.3327E-1
module_571	5.63290939E-1	6.5844E-1
module_692	5.67237555E-1	1.5794E-1
module_605	5.68860416E-1	8.0209E-1
module_560	6.02123568E-1	4.1665E-1
module_540	6.05971279E-1	6.4312E-1
module_582	6.11685918E-1	5.5657E-1
module_587	6.17479608E-1	2.1485E-1
module_533	6.20965809E-1	7.8739E-1
module_528	6.21674695E-1	4.7409E-1
module_552	6.24071133E-1	8.9574E-1
module_583	6.28651353E-1	6.5926E-1
module_539	6.36199217E-1	6.6308E-1
module_529	6.42767718E-1	6.8717E-1
module_554	6.45590268E-1	8.7524E-1
module_556	6.67168812E-1	3.4696E-1
module_658	6.79812586E-1	7.935E-1
module_568	6.80710534E-1	4.0374E-1
module_572	6.94854384E-1	2.4135E-1
module_682	7.2181163E-1	8.1743E-1
module_617	7.31101675E-1	8.6858E-1
module_551	7.42117616E-1	3.2339E-1
module_519	7.46415945E-1	7.9274E-1
module_636	7.98564121E-1	9.1142E-1
module_622	8.00281904E-1	4.1025E-1
module_640	8.31827126E-1	3.6022E-1
module_618	8.69792686E-1	9.4304E-1
module_562	8.79899114E-1	5.9855E-1
module_621	8.81095065E-1	4.3241E-1
module_637	8.85118437E-1	8.9901E-1
module_585	9.18741766E-1	9.3684E-1
module_638	9.69032337E-1	9.7078E-1
