Name	chi2Pvalue	empPvalue
module_650	1.95462561E-3	2.61E-3
module_594	2.69741017E-3	5.06E-3
module_596	4.24273314E-3	4.75E-3
module_659	8.74495312E-3	1.018E-2
module_517	1.08738031E-2	9.82E-3
module_432	1.40278285E-2	1.685E-2
module_370	1.55007151E-2	3.177E-2
module_567	1.72288229E-2	1.514E-2
module_368	1.76528266E-2	1.669E-2
module_378	3.84635179E-2	5.031E-2
module_701	4.95621162E-2	1.246E-1
module_392	5.05893383E-2	6.635E-2
module_589	5.46259169E-2	1.9045E-1
module_513	5.54376238E-2	1.8696E-1
module_366	5.55484798E-2	1.4101E-1
module_357	6.39769965E-2	3.5434E-1
module_733	7.15050143E-2	7.952E-2
module_711	7.23503124E-2	6.227E-2
module_698	7.53323981E-2	1.4577E-1
module_371	8.80343245E-2	1.9482E-1
module_354	8.83470117E-2	1.2762E-1
module_725	9.37134372E-2	1.2741E-1
module_384	9.65608663E-2	1.8633E-1
module_369	1.00070226E-1	1.0379E-1
module_796	1.03701918E-1	1.4562E-1
module_737	1.04291594E-1	9.828E-2
module_390	1.06568885E-1	2.828E-2
module_668	1.07744138E-1	4.523E-2
module_677	1.1108615E-1	1.6564E-1
module_512	1.17622998E-1	2.5628E-1
module_531	1.30738893E-1	6.925E-2
module_460	1.35956488E-1	1.6927E-1
module_644	1.40908238E-1	2.4317E-1
module_345	1.47096525E-1	4.343E-2
module_728	1.49355059E-1	6.796E-2
module_431	1.52452086E-1	2.8217E-1
module_420	1.60253347E-1	7.263E-2
module_808	1.6100812E-1	3.9272E-1
module_561	1.61800828E-1	2.6951E-1
module_365	1.62587489E-1	1.1942E-1
module_747	1.77633807E-1	3.8313E-1
module_666	1.83651669E-1	7.046E-2
module_654	1.87354893E-1	2.2154E-1
module_715	1.97652958E-1	4.1929E-1
module_782	2.06285442E-1	3.8133E-1
module_457	2.07833737E-1	3.9448E-1
module_437	2.10337415E-1	3.6518E-1
module_409	2.15107391E-1	4.4008E-1
module_468	2.30841408E-1	2.2207E-1
module_635	2.32606122E-1	5.6797E-1
module_467	2.34036837E-1	1.9713E-1
module_580	2.55246134E-1	4.9758E-1
module_620	2.79705287E-1	5.5478E-1
module_433	2.95508032E-1	1.9306E-1
module_464	3.05141842E-1	3.3939E-1
module_522	3.14629229E-1	5.4133E-1
module_579	3.28319933E-1	4.3259E-1
module_461	3.32540631E-1	2.0122E-1
module_462	3.36977067E-1	1.5297E-1
module_427	3.40919512E-1	1.9559E-1
module_469	3.45152997E-1	7.0619E-1
module_574	3.46117639E-1	2.9958E-1
module_478	3.46562055E-1	4.2325E-1
module_452	3.48287502E-1	5.1499E-1
module_477	3.49536764E-1	1.4138E-1
module_436	3.50117351E-1	2.3553E-1
module_510	3.51711735E-1	5.5553E-1
module_426	3.53051744E-1	1.8976E-1
module_480	3.53909431E-1	6.9666E-1
module_428	3.56058758E-1	1.4433E-1
module_591	3.65453179E-1	6.2279E-1
module_442	3.75448033E-1	3.4543E-1
module_538	3.80419393E-1	7.5142E-1
module_523	3.82026876E-1	2.8365E-1
module_389	3.83003065E-1	4.8604E-1
module_504	3.83460484E-1	1.6784E-1
module_569	3.89258195E-1	5.8948E-1
module_689	3.98975091E-1	3.6534E-1
module_496	4.0279782E-1	3.9348E-1
