Name	chi2Pvalue	empPvalue
module_554	5.07129087E-3	3.368E-2
module_552	1.60800507E-2	6.422E-2
module_736	5.45554519E-2	9.947E-2
module_617	7.24803403E-2	1.557E-1
module_569	8.06691092E-2	1.6704E-1
module_499	8.3368476E-2	1.8229E-1
module_519	1.1913499E-1	8.191E-2
module_636	1.36644547E-1	2.2074E-1
module_586	1.55049417E-1	2.6129E-1
module_701	2.08876362E-1	8.547E-2
module_529	2.24404758E-1	1.1995E-1
module_589	2.30091009E-1	1.172E-1
module_605	2.32636696E-1	3.0501E-1
module_512	2.61447084E-1	1.5462E-1
module_583	2.62070503E-1	3.9099E-1
module_571	2.77781308E-1	1.2891E-1
module_692	2.92204168E-1	1.6381E-1
module_698	3.09094187E-1	4.0197E-1
module_677	3.4930123E-1	1.3582E-1
module_622	3.52337433E-1	2.9587E-1
module_682	3.71390394E-1	3.9193E-1
module_642	3.81128173E-1	4.4184E-1
module_551	4.19292471E-1	1.2642E-1
module_658	4.28618648E-1	4.4199E-1
module_618	4.39069185E-1	4.7942E-1
module_747	4.43719015E-1	3.5554E-1
module_525	4.61094652E-1	4.8764E-1
module_588	4.6352983E-1	5.5397E-1
module_560	4.66735594E-1	5.2791E-1
module_592	4.77745871E-1	4.7724E-1
module_591	4.79080492E-1	4.6902E-1
module_643	4.9472662E-1	5.3139E-1
module_522	4.96120933E-1	4.9681E-1
module_513	5.3588447E-1	3.4053E-1
module_528	5.58056786E-1	3.7862E-1
module_637	5.75360949E-1	5.978E-1
module_562	5.8799283E-1	5.6883E-1
module_567	5.92008811E-1	6.5115E-1
module_572	6.27336052E-1	4.3907E-1
module_621	6.31075309E-1	4.815E-1
module_725	6.40688951E-1	3.4657E-1
module_796	6.41709039E-1	3.2951E-1
module_587	6.87070246E-1	4.7108E-1
module_568	6.95576691E-1	5.955E-1
module_596	7.00676922E-1	7.083E-1
module_640	7.38644352E-1	5.8586E-1
module_644	7.67649232E-1	8.0672E-1
module_556	7.81772829E-1	7.3635E-1
module_697	7.87309404E-1	6.5359E-1
module_530	7.89206588E-1	8.4145E-1
module_582	8.00155976E-1	8.4052E-1
module_808	8.09723358E-1	8.2784E-1
module_533	8.52153781E-1	8.4764E-1
module_782	8.62198609E-1	8.7679E-1
module_538	8.64677799E-1	8.8607E-1
module_585	8.77512252E-1	9.0217E-1
module_540	8.783827E-1	9.1213E-1
module_539	9.08900608E-1	9.1838E-1
module_593	9.40378538E-1	9.4951E-1
module_659	9.45866134E-1	9.503E-1
module_638	9.63980936E-1	9.5888E-1
