Name	chi2Pvalue	empPvalue
module_554	5.07129087E-3	3.435E-2
module_552	1.60800507E-2	6.417E-2
module_431	3.12433063E-2	9.221E-2
module_503	4.93154375E-2	8.604E-2
module_736	5.45554519E-2	1.0077E-1
module_437	6.9460455E-2	1.5519E-1
module_617	7.24803403E-2	1.5681E-1
module_520	7.29143728E-2	1.7289E-1
module_561	7.5362281E-2	4.382E-2
module_510	7.81887598E-2	5.73E-2
module_459	7.8737821E-2	1.4803E-1
module_420	7.87745638E-2	1.5333E-1
module_569	8.06691092E-2	1.6558E-1
module_433	8.08864413E-2	1.1985E-1
module_499	8.3368476E-2	1.8105E-1
module_666	8.66984602E-2	9.932E-2
module_436	1.07109338E-1	2.0108E-1
module_438	1.09429611E-1	1.2352E-1
module_444	1.18354188E-1	1.4672E-1
module_519	1.1913499E-1	8.31E-2
module_495	1.23967339E-1	2.127E-1
module_467	1.2711397E-1	2.0963E-1
module_619	1.33951166E-1	4.44E-2
module_636	1.36644547E-1	2.2144E-1
module_511	1.39051748E-1	2.8716E-1
module_586	1.55049417E-1	2.552E-1
module_472	1.57385178E-1	2.1224E-1
module_623	1.63871991E-1	5.448E-2
module_476	1.64839199E-1	2.9816E-1
module_576	1.67700129E-1	2.5994E-1
module_574	1.71636813E-1	1.8291E-1
module_428	1.82846621E-1	2.5851E-1
module_449	1.86378431E-1	1.5048E-1
module_427	1.8965949E-1	2.7788E-1
module_606	1.91142351E-1	2.1028E-1
module_357	1.97170747E-1	1.5904E-1
module_676	2.02450091E-1	2.6528E-1
module_701	2.08876362E-1	8.725E-2
module_616	2.16327412E-1	2.7003E-1
module_602	2.16989821E-1	2.9535E-1
module_451	2.22961784E-1	1.3997E-1
module_529	2.24404758E-1	1.2187E-1
module_629	2.25286541E-1	2.7921E-1
module_461	2.28907732E-1	3.3535E-1
module_589	2.30091009E-1	1.1534E-1
module_605	2.32636696E-1	3.0379E-1
module_536	2.32845399E-1	3.4383E-1
module_693	2.36079091E-1	2.6324E-1
module_668	2.55459161E-1	1.9111E-1
module_434	2.57883553E-1	3.5771E-1
module_548	2.59305102E-1	3.426E-1
module_512	2.61447084E-1	1.5369E-1
module_473	2.61952102E-1	3.2415E-1
module_583	2.62070503E-1	3.979E-1
module_454	2.70188165E-1	1.7095E-1
module_571	2.77781308E-1	1.2755E-1
module_478	2.79751965E-1	3.5849E-1
module_692	2.92204168E-1	1.6535E-1
module_720	3.00463024E-1	2.9466E-1
module_439	3.02126281E-1	4.002E-1
module_698	3.09094187E-1	3.9846E-1
module_474	3.14519756E-1	3.4724E-1
module_463	3.15365409E-1	1.8444E-1
module_345	3.21822729E-1	1.3317E-1
module_359	3.3939566E-1	4.0631E-1
module_611	3.3981851E-1	2.6886E-1
module_465	3.41171624E-1	3.7125E-1
module_490	3.41249226E-1	4.2236E-1
module_501	3.43993471E-1	1.84E-1
module_677	3.4930123E-1	1.3544E-1
module_622	3.52337433E-1	2.9347E-1
module_516	3.52683247E-1	5.0522E-1
module_615	3.67556139E-1	4.459E-1
module_682	3.71390394E-1	3.949E-1
module_625	3.72786237E-1	4.6038E-1
module_424	3.79072128E-1	4.4066E-1
module_642	3.81128173E-1	4.3928E-1
module_446	3.84852654E-1	5.543E-1
module_374	3.85804185E-1	4.1356E-1
module_456	3.88333165E-1	4.3735E-1
module_392	3.94777221E-1	3.5089E-1
module_442	3.96233979E-1	4.4426E-1
module_354	3.97509754E-1	3.9397E-1
module_635	4.14240595E-1	4.8424E-1
module_551	4.19292471E-1	1.299E-1
module_699	4.27468706E-1	4.6828E-1
module_658	4.28618648E-1	4.4649E-1
module_618	4.39069185E-1	4.8047E-1
module_448	4.42746332E-1	2.9187E-1
module_747	4.43719015E-1	3.5632E-1
module_509	4.45641277E-1	5.772E-1
module_370	4.48706074E-1	4.0836E-1
module_515	4.50464332E-1	5.8798E-1
module_479	4.52795475E-1	5.7373E-1
module_417	4.54595755E-1	4.419E-1
module_550	4.56004769E-1	1.0387E-1
module_525	4.61094652E-1	4.8957E-1
module_588	4.6352983E-1	5.5756E-1
module_573	4.64308477E-1	5.3884E-1
module_560	4.66735594E-1	5.2767E-1
module_389	4.69844569E-1	5.6265E-1
module_545	4.7103917E-1	5.1105E-1
module_649	4.71933532E-1	4.6285E-1
module_493	4.77551516E-1	5.5733E-1
module_592	4.77745871E-1	4.7696E-1
module_591	4.79080492E-1	4.6845E-1
module_686	4.79236623E-1	4.8994E-1
module_475	4.83342995E-1	5.0931E-1
module_634	4.8729886E-1	5.5114E-1
module_613	4.92266588E-1	4.3704E-1
module_643	4.9472662E-1	5.3099E-1
module_522	4.96120933E-1	4.9842E-1
module_601	5.01618783E-1	5.5618E-1
module_371	5.02807212E-1	6.0342E-1
module_391	5.10956204E-1	5.2846E-1
module_620	5.248714E-1	5.8139E-1
module_409	5.33765216E-1	5.1714E-1
module_466	5.34892747E-1	6.8031E-1
module_513	5.3588447E-1	3.4365E-1
module_654	5.36401349E-1	1.8778E-1
module_695	5.36466533E-1	5.8135E-1
module_524	5.37815312E-1	6.4537E-1
module_460	5.44699179E-1	5.9711E-1
module_702	5.45650232E-1	5.443E-1
module_581	5.48167592E-1	6.1381E-1
module_468	5.48306714E-1	6.4433E-1
module_528	5.58056786E-1	3.7845E-1
module_453	5.62563169E-1	6.4396E-1
module_385	5.63743771E-1	5.4108E-1
module_393	5.67211025E-1	5.6344E-1
module_469	5.69654397E-1	6.0097E-1
module_535	5.75207343E-1	6.1478E-1
module_637	5.75360949E-1	5.9838E-1
module_500	5.7913654E-1	2.4672E-1
module_562	5.8799283E-1	5.6804E-1
module_517	5.91797154E-1	6.798E-1
module_567	5.92008811E-1	6.4981E-1
module_482	5.92481509E-1	5.1995E-1
module_534	5.96976212E-1	5.0207E-1
module_504	6.08299023E-1	2.4934E-1
module_360	6.15681937E-1	5.4627E-1
module_572	6.27336052E-1	4.3985E-1
module_621	6.31075309E-1	4.7849E-1
module_458	6.36350812E-1	6.8096E-1
module_725	6.40688951E-1	3.4791E-1
module_496	6.41440512E-1	6.6539E-1
module_796	6.41709039E-1	3.2843E-1
module_521	6.43189129E-1	2.4413E-1
module_537	6.54609449E-1	5.6883E-1
module_683	6.76707886E-1	7.0068E-1
module_587	6.87070246E-1	4.6837E-1
module_568	6.95576691E-1	5.9725E-1
module_728	6.98852216E-1	7.2673E-1
module_596	7.00676922E-1	7.0861E-1
module_366	7.05338543E-1	5.8468E-1
module_443	7.07186769E-1	2.9527E-1
module_737	7.07628468E-1	7.237E-1
module_432	7.14096899E-1	7.9309E-1
module_481	7.17107113E-1	7.1891E-1
module_594	7.26266368E-1	7.3487E-1
module_400	7.32008696E-1	8.0094E-1
module_640	7.38644352E-1	5.8514E-1
module_378	7.61481084E-1	8.2776E-1
module_441	7.62680792E-1	7.9231E-1
module_644	7.67649232E-1	8.0562E-1
module_703	7.69708357E-1	7.9647E-1
module_526	7.72942336E-1	8.1912E-1
module_518	7.74725208E-1	6.6039E-1
module_390	7.77387749E-1	3.907E-1
module_579	7.79378938E-1	8.0224E-1
module_556	7.81772829E-1	7.3671E-1
module_697	7.87309404E-1	6.5332E-1
module_530	7.89206588E-1	8.3869E-1
module_610	7.89609862E-1	7.1875E-1
module_452	8.00114938E-1	8.236E-1
module_582	8.00155976E-1	8.433E-1
module_578	8.0390178E-1	8.4135E-1
module_523	8.05324148E-1	8.4475E-1
module_808	8.09723358E-1	8.2569E-1
module_532	8.12872728E-1	8.5971E-1
module_470	8.14185356E-1	8.0121E-1
module_580	8.20455552E-1	8.3134E-1
module_440	8.21874479E-1	8.0938E-1
module_508	8.2235377E-1	7.7655E-1
module_477	8.28800575E-1	4.5103E-1
module_711	8.32859686E-1	8.4927E-1
module_457	8.32950446E-1	8.2064E-1
module_491	8.34622535E-1	5.4059E-1
module_632	8.3612077E-1	8.4521E-1
module_462	8.36844079E-1	4.7535E-1
module_733	8.38378982E-1	8.4406E-1
module_480	8.4446705E-1	8.48E-1
module_471	8.45066684E-1	8.7221E-1
module_464	8.4694775E-1	8.9209E-1
module_533	8.52153781E-1	8.4718E-1
module_715	8.56188984E-1	7.3312E-1
module_575	8.58271839E-1	8.647E-1
module_362	8.60506584E-1	9.1507E-1
module_782	8.62198609E-1	8.7593E-1
module_538	8.64677799E-1	8.8418E-1
module_624	8.68326195E-1	8.7562E-1
module_585	8.77512252E-1	9.0373E-1
module_540	8.783827E-1	9.1153E-1
module_365	8.81957271E-1	9.1428E-1
module_426	8.81977478E-1	5.0485E-1
module_531	8.85547983E-1	8.3837E-1
module_577	8.87626527E-1	8.9384E-1
module_650	8.90137051E-1	9.0757E-1
module_689	8.91937924E-1	8.921E-1
module_684	9.04679554E-1	9.0626E-1
module_539	9.08900608E-1	9.1872E-1
module_368	9.18251129E-1	7.7167E-1
module_593	9.40378538E-1	9.4927E-1
