Name	chi2Pvalue	empPvalue
module_556	4.65587969E-2	5.535E-2
module_621	5.01224398E-2	3.708E-2
module_587	5.70025831E-2	9.149E-2
module_560	7.00254577E-2	6.271E-2
module_551	7.47639301E-2	6.747E-2
module_622	7.83873717E-2	3.812E-2
module_692	8.04863494E-2	3.47E-2
module_572	9.92966807E-2	7.882E-2
module_568	1.16384641E-1	9.504E-2
module_562	1.37074648E-1	1.006E-1
module_640	1.45853171E-1	7.145E-2
module_596	1.67006288E-1	5.107E-2
module_659	2.10724192E-1	1.0645E-1
module_698	2.48761751E-1	2.3142E-1
module_697	2.6722319E-1	9.99E-2
module_567	4.32358802E-1	1.617E-1
module_529	4.67673867E-1	5.2945E-1
module_644	4.73534606E-1	4.3107E-1
module_512	5.12157199E-1	5.0245E-1
module_539	5.60406589E-1	5.7998E-1
module_513	5.71979307E-1	5.7818E-1
module_736	6.03366982E-1	5.7681E-1
module_796	6.397892E-1	6.4475E-1
module_589	6.41977076E-1	5.9509E-1
module_725	6.85480684E-1	6.9447E-1
module_522	6.90860818E-1	7.3848E-1
module_582	7.08649584E-1	7.1303E-1
module_528	7.15425428E-1	7.2946E-1
module_540	7.47235346E-1	8.1926E-1
module_588	7.53281166E-1	7.0733E-1
module_808	7.62036108E-1	7.7357E-1
module_782	7.77668372E-1	7.9223E-1
module_583	7.80783328E-1	8.1462E-1
module_701	7.83979986E-1	7.9587E-1
module_677	7.84754421E-1	7.9692E-1
module_638	7.87990594E-1	8.2438E-1
module_593	8.35316103E-1	8.1634E-1
module_747	8.38002737E-1	8.5409E-1
module_585	8.40642511E-1	8.7261E-1
module_499	8.53079354E-1	8.3888E-1
module_605	8.62111813E-1	8.6541E-1
module_571	8.64403102E-1	8.8818E-1
module_586	8.65730138E-1	8.639E-1
module_658	8.65792821E-1	8.5582E-1
module_682	8.70168097E-1	8.5632E-1
module_636	8.75474621E-1	8.7801E-1
module_538	8.89780436E-1	9.2101E-1
module_642	9.0149662E-1	9.2488E-1
module_617	9.29971615E-1	9.1146E-1
module_525	9.30872548E-1	9.5155E-1
module_569	9.32392499E-1	9.3763E-1
module_618	9.32882201E-1	9.2841E-1
module_643	9.33459831E-1	9.4854E-1
module_533	9.34638723E-1	9.5188E-1
module_530	9.36989082E-1	9.5619E-1
module_554	9.50793979E-1	9.5424E-1
module_519	9.58228528E-1	9.6793E-1
module_591	9.69402605E-1	9.7603E-1
module_637	9.80990046E-1	9.852E-1
module_592	9.83202058E-1	9.8808E-1
module_552	9.92278521E-1	9.9197E-1
