Name	chi2Pvalue	empPvalue
module_668	3.49322884E-3	2.01E-3
module_666	1.86753226E-2	4.69E-3
module_613	1.94898861E-2	8.62E-3
module_610	2.56556137E-2	2.153E-2
module_500	3.28616056E-2	1.014E-2
module_504	3.4657247E-2	5.688E-2
module_443	3.63428205E-2	2.133E-2
module_556	4.65587969E-2	5.72E-2
module_616	5.00063199E-2	1.3053E-1
module_621	5.01224398E-2	3.698E-2
module_594	5.10913284E-2	2.386E-2
module_587	5.70025831E-2	9.166E-2
module_518	5.89874722E-2	9.925E-2
module_462	5.91822638E-2	1.0155E-1
module_390	6.9798238E-2	1.1015E-1
module_560	7.00254577E-2	6.285E-2
module_551	7.47639301E-2	6.935E-2
module_615	7.56418748E-2	1.5422E-1
module_622	7.83873717E-2	3.908E-2
module_606	7.92195327E-2	1.964E-2
module_692	8.04863494E-2	3.52E-2
module_611	8.74865557E-2	4.327E-2
module_521	8.98726714E-2	1.5706E-1
module_572	9.92966807E-2	7.829E-2
module_493	1.06405541E-1	2.4268E-1
module_728	1.07353003E-1	7.924E-2
module_650	1.11988851E-1	2.838E-2
module_550	1.12886257E-1	4.341E-2
module_568	1.16384641E-1	9.449E-2
module_491	1.26685631E-1	1.8184E-1
module_426	1.30594807E-1	2.1016E-1
module_711	1.3532307E-1	1.0362E-1
module_562	1.37074648E-1	1.04E-1
module_477	1.40492522E-1	2.0343E-1
module_640	1.45853171E-1	7.152E-2
module_537	1.58310617E-1	2.1912E-1
module_596	1.67006288E-1	5.069E-2
module_523	1.73955189E-1	2.8763E-1
module_534	1.94096034E-1	2.4316E-1
module_659	2.10724192E-1	1.0723E-1
module_517	2.15029209E-1	1.1802E-1
module_360	2.31281044E-1	4.2686E-1
module_490	2.31439533E-1	3.9807E-1
module_526	2.48489042E-1	3.6012E-1
module_698	2.48761751E-1	2.3319E-1
module_369	2.66079271E-1	2.3395E-1
module_697	2.6722319E-1	9.898E-2
module_365	2.92481559E-1	2.5276E-1
module_433	3.07775099E-1	3.7881E-1
module_460	3.25037921E-1	4.4216E-1
module_436	3.4794927E-1	4.0845E-1
module_370	3.49288616E-1	3.3212E-1
module_345	3.80361109E-1	5.6657E-1
module_420	3.82359687E-1	4.2204E-1
module_385	3.95500026E-1	2.0908E-1
module_434	3.99546905E-1	5.7913E-1
module_357	4.16982793E-1	4.9259E-1
module_368	4.27784593E-1	4.5093E-1
module_468	4.28132585E-1	4.8878E-1
module_567	4.32358802E-1	1.6079E-1
module_601	4.49378871E-1	5.0205E-1
module_424	4.53182078E-1	5.8622E-1
module_464	4.64427179E-1	4.0803E-1
module_431	4.65553822E-1	5.3326E-1
module_529	4.67673867E-1	5.3021E-1
module_733	4.71618433E-1	4.8987E-1
module_644	4.73534606E-1	4.3225E-1
module_437	4.88395303E-1	5.3838E-1
module_573	4.94416292E-1	5.5236E-1
module_466	4.95088854E-1	5.4096E-1
module_531	5.00034896E-1	4.5074E-1
module_512	5.12157199E-1	5.0187E-1
module_427	5.12666742E-1	5.4839E-1
module_467	5.28756931E-1	5.7385E-1
module_465	5.34953519E-1	6.397E-1
module_432	5.39537147E-1	3.3472E-1
module_354	5.43140828E-1	3.089E-1
module_428	5.43970677E-1	5.4343E-1
module_417	5.44021277E-1	3.7088E-1
module_737	5.51816813E-1	5.6109E-1
module_496	5.52125991E-1	6.5397E-1
module_539	5.60406589E-1	5.8217E-1
module_561	5.61077815E-1	5.9078E-1
module_453	5.64304265E-1	6.9599E-1
module_527	5.68910552E-1	5.3109E-1
module_513	5.71979307E-1	5.7717E-1
module_366	5.72156646E-1	5.6359E-1
module_392	5.73168307E-1	5.6114E-1
module_575	5.81953916E-1	6.2148E-1
module_574	5.99329566E-1	6.6441E-1
module_473	6.02122529E-1	6.5012E-1
module_736	6.03366982E-1	5.7381E-1
module_378	6.11966963E-1	4.5208E-1
module_796	6.397892E-1	6.492E-1
module_409	6.40838158E-1	7.2331E-1
module_469	6.40867979E-1	7.5542E-1
module_589	6.41977076E-1	5.9241E-1
module_441	6.56093086E-1	7.357E-1
module_457	6.59512912E-1	5.0326E-1
module_581	6.61933792E-1	6.8535E-1
module_478	6.80097635E-1	6.9853E-1
module_384	6.80900059E-1	6.9979E-1
module_359	6.8447569E-1	7.4586E-1
module_461	6.8486058E-1	7.4131E-1
module_725	6.85480684E-1	6.9299E-1
module_524	6.86144303E-1	7.3716E-1
module_522	6.90860818E-1	7.3929E-1
module_576	6.91725014E-1	7.6135E-1
module_532	7.03119925E-1	7.4103E-1
module_582	7.08649584E-1	7.1349E-1
module_479	7.10153945E-1	7.946E-1
module_440	7.12787589E-1	5.4236E-1
module_528	7.15425428E-1	7.3056E-1
module_689	7.18198858E-1	7.3698E-1
module_362	7.2726174E-1	7.61E-1
module_516	7.29484882E-1	8.0912E-1
module_474	7.37461454E-1	7.9625E-1
module_540	7.47235346E-1	8.2226E-1
module_588	7.53281166E-1	7.0974E-1
module_495	7.54667024E-1	7.7808E-1
module_808	7.62036108E-1	7.7392E-1
module_632	7.66483579E-1	8.1155E-1
module_702	7.68740252E-1	7.8762E-1
module_371	7.69559522E-1	6.7973E-1
module_389	7.72808539E-1	6.9082E-1
module_782	7.77668372E-1	7.937E-1
module_583	7.80783328E-1	8.1212E-1
module_701	7.83979986E-1	7.9567E-1
module_677	7.84754421E-1	7.9708E-1
module_638	7.87990594E-1	8.2671E-1
module_649	7.91576974E-1	7.7941E-1
module_459	7.94758906E-1	8.2728E-1
module_374	8.00704454E-1	8.7964E-1
module_548	8.00750923E-1	8.2078E-1
module_695	8.10132331E-1	8.3284E-1
module_458	8.10214481E-1	8.6855E-1
module_654	8.15381937E-1	8.1025E-1
module_463	8.17695698E-1	8.6381E-1
module_400	8.21626841E-1	8.7623E-1
module_444	8.27805942E-1	8.6444E-1
module_442	8.3150382E-1	8.7385E-1
module_577	8.34288096E-1	8.2882E-1
module_593	8.35316103E-1	8.1446E-1
module_439	8.3595151E-1	8.7038E-1
module_747	8.38002737E-1	8.5536E-1
module_481	8.38530638E-1	8.9925E-1
module_686	8.38847007E-1	8.5423E-1
module_585	8.40642511E-1	8.7173E-1
module_482	8.48764451E-1	8.9898E-1
module_391	8.50334893E-1	8.767E-1
module_480	8.52782648E-1	9.0902E-1
module_499	8.53079354E-1	8.3815E-1
module_451	8.53424214E-1	8.6836E-1
module_580	8.54089402E-1	8.5459E-1
module_625	8.54090629E-1	8.85E-1
module_684	8.55333816E-1	8.6758E-1
module_624	8.55689291E-1	8.8108E-1
module_456	8.61380532E-1	8.9733E-1
module_720	8.61380635E-1	8.3263E-1
module_605	8.62111813E-1	8.6605E-1
module_520	8.62937497E-1	8.6031E-1
module_571	8.64403102E-1	8.8575E-1
module_586	8.65730138E-1	8.6298E-1
module_658	8.65792821E-1	8.547E-1
module_682	8.70168097E-1	8.5481E-1
module_636	8.75474621E-1	8.7732E-1
module_602	8.79677585E-1	8.784E-1
module_715	8.80029542E-1	8.8037E-1
module_454	8.85061408E-1	9.109E-1
module_393	8.8626116E-1	9.3496E-1
module_538	8.89780436E-1	9.2227E-1
module_642	9.0149662E-1	9.2558E-1
module_579	9.04131162E-1	8.8611E-1
module_503	9.06563342E-1	9.1799E-1
module_470	9.08666414E-1	9.427E-1
module_471	9.10512039E-1	9.4466E-1
module_693	9.23539048E-1	9.2882E-1
module_545	9.24867036E-1	9.2774E-1
module_535	9.26790536E-1	9.469E-1
module_617	9.29971615E-1	9.1352E-1
module_452	9.30063489E-1	9.5213E-1
module_525	9.30872548E-1	9.514E-1
module_515	9.3162176E-1	9.4641E-1
module_569	9.32392499E-1	9.3777E-1
module_618	9.32882201E-1	9.2995E-1
module_643	9.33459831E-1	9.4747E-1
module_533	9.34638723E-1	9.5273E-1
module_530	9.36989082E-1	9.5516E-1
module_438	9.3868107E-1	9.5667E-1
module_446	9.48064085E-1	9.6386E-1
module_448	9.49841583E-1	9.5067E-1
module_554	9.50793979E-1	9.5286E-1
module_620	9.56191826E-1	9.5613E-1
module_536	9.58196515E-1	9.5295E-1
