Name	chi2Pvalue	empPvalue
module_617	4.89809376E-3	2.279E-2
module_701	1.28872231E-2	1.898E-2
module_552	3.21718073E-2	6.428E-2
module_554	3.53183653E-2	7.311E-2
module_512	6.83807772E-2	8.416E-2
module_677	6.98697265E-2	7.115E-2
module_589	7.29913975E-2	7.999E-2
module_513	8.46487667E-2	8.046E-2
module_736	9.79138793E-2	1.1827E-1
module_692	1.0133307E-1	1.0239E-1
module_596	1.05473875E-1	1.3928E-1
module_569	1.12840367E-1	1.7416E-1
module_747	1.24902701E-1	1.3507E-1
module_682	1.45309867E-1	1.7899E-1
module_658	1.49573876E-1	1.8796E-1
module_636	1.62219535E-1	2.1388E-1
module_519	1.62289818E-1	1.9729E-1
module_796	1.78947971E-1	1.6129E-1
module_605	1.8657504E-1	2.3535E-1
module_697	1.89876774E-1	2.0533E-1
module_725	2.24022829E-1	2.0925E-1
module_567	2.45677029E-1	2.7309E-1
module_499	2.77945731E-1	3.3982E-1
module_529	2.84956663E-1	2.6325E-1
module_622	2.88174519E-1	3.0563E-1
module_618	3.08435617E-1	3.5394E-1
module_586	3.33058504E-1	4.016E-1
module_808	3.43516295E-1	3.676E-1
module_698	3.47990588E-1	4.0395E-1
module_528	3.70195828E-1	3.4336E-1
module_568	3.96322676E-1	3.936E-1
module_560	3.98261821E-1	4.3089E-1
module_525	4.05214914E-1	4.0579E-1
module_551	4.23472924E-1	2.5094E-1
module_782	4.64412756E-1	4.8093E-1
module_659	4.77197202E-1	5.1251E-1
module_583	5.49669251E-1	5.8674E-1
module_571	5.72251711E-1	5.6799E-1
module_621	5.86824928E-1	5.2683E-1
module_592	6.13671378E-1	5.7808E-1
module_640	6.25634494E-1	6.0306E-1
module_533	6.32378161E-1	6.3252E-1
module_556	6.59080337E-1	6.4519E-1
module_562	6.71311649E-1	6.5212E-1
module_593	6.84339663E-1	7.1025E-1
module_530	6.98903395E-1	7.2022E-1
module_644	7.00385337E-1	7.3672E-1
module_587	7.30555158E-1	7.3409E-1
module_642	7.39438434E-1	7.6063E-1
module_637	7.46872923E-1	7.5998E-1
module_585	7.4973434E-1	7.8303E-1
module_591	7.58974338E-1	7.4356E-1
module_588	7.91931885E-1	8.1675E-1
module_522	8.09474749E-1	8.0106E-1
module_572	8.15021041E-1	8.2322E-1
module_643	8.34110788E-1	8.4827E-1
module_539	8.69580561E-1	8.6719E-1
module_540	9.03305487E-1	9.0235E-1
module_538	9.27856013E-1	9.287E-1
module_582	9.59335793E-1	9.6852E-1
module_638	9.67467485E-1	9.7346E-1
