Name	chi2Pvalue	empPvalue
module_617	4.89809376E-3	2.173E-2
module_495	6.12356149E-3	1.892E-2
module_701	1.28872231E-2	1.912E-2
module_676	1.56465156E-2	3.917E-2
module_552	3.21718073E-2	6.53E-2
module_554	3.53183653E-2	7.428E-2
module_420	4.16834502E-2	7.957E-2
module_434	4.34665535E-2	5.707E-2
module_699	4.69719105E-2	7.724E-2
module_428	4.74121714E-2	8.454E-2
module_436	4.74332364E-2	8.657E-2
module_359	4.844388E-2	7.712E-2
module_427	5.20733074E-2	8.798E-2
module_345	5.73097868E-2	2.523E-2
module_357	5.97139988E-2	7.004E-2
module_424	6.37076594E-2	9.214E-2
module_616	6.39846289E-2	9.275E-2
module_512	6.83807772E-2	8.264E-2
module_496	6.96140125E-2	7.757E-2
module_561	6.98665271E-2	7.625E-2
module_677	6.98697265E-2	7.18E-2
module_589	7.29913975E-2	8.119E-2
module_389	7.37588606E-2	1.06E-1
module_601	7.37684324E-2	1.2076E-1
module_513	8.46487667E-2	8.084E-2
module_493	8.51469012E-2	1.0943E-1
module_594	8.88059947E-2	1.2149E-1
module_711	9.14713054E-2	1.3171E-1
module_720	9.71932991E-2	1.1558E-1
module_736	9.79138793E-2	1.1981E-1
module_692	1.0133307E-1	1.0159E-1
module_596	1.05473875E-1	1.3845E-1
module_548	1.06873966E-1	1.5414E-1
module_474	1.08552382E-1	1.5811E-1
module_569	1.12840367E-1	1.7325E-1
module_602	1.15201945E-1	1.5854E-1
module_728	1.21600435E-1	1.5936E-1
module_747	1.24902701E-1	1.352E-1
module_650	1.27223079E-1	1.8065E-1
module_444	1.28872763E-1	1.3951E-1
module_737	1.29030874E-1	1.6557E-1
module_654	1.31813223E-1	1.0929E-1
module_467	1.35446206E-1	1.8662E-1
module_490	1.3749419E-1	1.6782E-1
module_682	1.45309867E-1	1.8017E-1
module_503	1.47523969E-1	1.3975E-1
module_658	1.49573876E-1	1.9123E-1
module_683	1.5449289E-1	1.8606E-1
module_439	1.54998926E-1	2.0554E-1
module_463	1.56102441E-1	1.8877E-1
module_466	1.6108278E-1	2.0934E-1
module_636	1.62219535E-1	2.1349E-1
module_519	1.62289818E-1	1.9708E-1
module_459	1.63142431E-1	2.3086E-1
module_454	1.65629109E-1	1.5602E-1
module_360	1.66730463E-1	1.7816E-1
module_449	1.72718301E-1	2.1749E-1
module_478	1.74852917E-1	2.0349E-1
module_511	1.76445559E-1	2.1617E-1
module_668	1.78391831E-1	1.6917E-1
module_796	1.78947971E-1	1.6215E-1
module_545	1.79717615E-1	2.3398E-1
module_649	1.83047348E-1	2.0592E-1
module_605	1.8657504E-1	2.3364E-1
module_697	1.89876774E-1	2.0341E-1
module_461	1.9148554E-1	2.5571E-1
module_433	2.04853633E-1	2.5078E-1
module_574	2.07101246E-1	2.0397E-1
module_666	2.10848868E-1	1.9971E-1
module_535	2.19549616E-1	2.5551E-1
module_733	2.21206415E-1	2.5944E-1
module_431	2.21471411E-1	2.8645E-1
module_725	2.24022829E-1	2.1048E-1
module_615	2.27615518E-1	2.6858E-1
module_613	2.32252925E-1	2.2104E-1
module_370	2.35194117E-1	2.4379E-1
module_606	2.43101907E-1	2.3083E-1
module_409	2.43703547E-1	2.742E-1
module_567	2.45677029E-1	2.7351E-1
module_501	2.46971964E-1	2.757E-1
module_451	2.50176611E-1	2.8532E-1
module_446	2.52355099E-1	3.1828E-1
module_417	2.55059135E-1	3.0054E-1
module_371	2.59560857E-1	3.0851E-1
module_684	2.61167168E-1	2.8776E-1
module_471	2.65920806E-1	3.0602E-1
module_465	2.66900688E-1	2.9191E-1
