Name	chi2Pvalue	empPvalue
module_692	1.49634245E-2	1.174E-2
module_622	4.06437353E-2	3.711E-2
module_621	5.39852941E-2	3.472E-2
module_560	7.66618567E-2	7.404E-2
module_587	8.56906384E-2	8.251E-2
module_556	9.41417467E-2	9.278E-2
module_551	9.61695164E-2	9.285E-2
module_562	1.07885772E-1	1.0202E-1
module_513	1.14156539E-1	1.5026E-1
module_572	1.15273128E-1	1.1047E-1
module_697	1.38836943E-1	9.064E-2
module_568	1.48657816E-1	1.1963E-1
module_589	2.35609043E-1	2.5463E-1
module_640	2.6219443E-1	1.8758E-1
module_725	2.70167118E-1	2.6898E-1
module_677	2.90496279E-1	2.9593E-1
module_596	3.0028399E-1	3.0168E-1
module_796	3.03536462E-1	2.9927E-1
module_659	3.99442707E-1	4.0531E-1
module_701	4.24277293E-1	4.2754E-1
module_736	4.38267288E-1	4.5742E-1
module_567	4.61807437E-1	4.2359E-1
module_808	4.78466296E-1	4.628E-1
module_782	4.90387023E-1	4.7689E-1
module_747	6.02859455E-1	5.9143E-1
module_658	6.28336169E-1	6.5048E-1
module_512	6.91573821E-1	7.0991E-1
module_682	7.32503771E-1	7.4587E-1
module_538	7.89631714E-1	7.7611E-1
module_529	7.95310551E-1	7.9447E-1
module_636	8.13884403E-1	8.284E-1
module_519	8.18431804E-1	8.2962E-1
module_583	8.19380379E-1	8.1872E-1
module_638	8.34323158E-1	8.3585E-1
module_617	8.4758014E-1	8.5602E-1
module_585	8.48786281E-1	8.4892E-1
module_644	8.6606875E-1	8.7512E-1
module_539	8.773788E-1	8.6067E-1
module_499	8.7962002E-1	8.9394E-1
module_637	8.95723071E-1	8.9876E-1
module_525	8.98418153E-1	8.7012E-1
module_540	8.98830911E-1	8.8409E-1
module_698	9.01002062E-1	9.0657E-1
module_618	9.04735814E-1	9.1023E-1
module_554	9.04813987E-1	9.1046E-1
module_528	9.05530926E-1	9.0253E-1
module_593	9.11732966E-1	9.1334E-1
module_552	9.13750943E-1	9.2104E-1
module_591	9.21939393E-1	9.0085E-1
module_533	9.34099174E-1	9.1121E-1
module_592	9.41745663E-1	9.2384E-1
module_571	9.44108799E-1	9.4455E-1
module_586	9.45936938E-1	9.5047E-1
module_522	9.50744154E-1	9.5399E-1
module_643	9.515418E-1	9.2463E-1
module_642	9.6726451E-1	9.4805E-1
module_605	9.67861908E-1	9.6999E-1
module_530	9.68460198E-1	9.5275E-1
module_588	9.70390851E-1	9.7333E-1
module_582	9.76400015E-1	9.7511E-1
module_569	9.8370701E-1	9.8519E-1
