Name	chi2Pvalue	empPvalue
module_666	6.37818474E-3	3.24E-3
module_668	6.73675559E-3	2.76E-3
module_692	1.49634245E-2	1.141E-2
module_613	2.51567737E-2	1.058E-2
module_606	2.97317502E-2	1.249E-2
module_610	3.28950853E-2	2.823E-2
module_622	4.06437353E-2	3.758E-2
module_621	5.39852941E-2	3.505E-2
module_611	5.54065783E-2	4.434E-2
module_366	6.38546228E-2	9.335E-2
module_527	7.50592018E-2	6.897E-2
module_560	7.66618567E-2	7.487E-2
module_601	7.71402557E-2	8.765E-2
module_587	8.56906384E-2	8.148E-2
module_556	9.41417467E-2	9.174E-2
module_551	9.61695164E-2	9.262E-2
module_496	9.62892233E-2	1.3522E-1
module_390	1.01261613E-1	7.883E-2
module_500	1.07417526E-1	1.0309E-1
module_562	1.07885772E-1	1.0334E-1
module_493	1.13552852E-1	1.4181E-1
module_513	1.14156539E-1	1.5044E-1
module_572	1.15273128E-1	1.1136E-1
module_616	1.25020456E-1	1.3271E-1
module_697	1.38836943E-1	9.232E-2
module_443	1.43932774E-1	1.5885E-1
module_568	1.48657816E-1	1.1903E-1
module_711	1.51883119E-1	1.6583E-1
module_615	1.65685805E-1	1.51E-1
module_370	1.65972319E-1	2.0539E-1
module_550	1.67515012E-1	1.1006E-1
module_518	1.90021871E-1	2.0096E-1
module_504	2.06926243E-1	2.014E-1
module_654	2.08909339E-1	2.1936E-1
module_728	2.09642695E-1	2.1517E-1
module_594	2.12610379E-1	2.1963E-1
module_365	2.17122211E-1	2.3775E-1
module_589	2.35609043E-1	2.5773E-1
module_517	2.42631769E-1	2.0095E-1
module_537	2.48744257E-1	2.5534E-1
module_534	2.49393456E-1	2.5519E-1
module_640	2.6219443E-1	1.9069E-1
module_725	2.70167118E-1	2.7061E-1
module_462	2.81659923E-1	2.9816E-1
module_491	2.85207568E-1	2.9014E-1
module_677	2.90496279E-1	2.9838E-1
module_596	3.0028399E-1	2.9893E-1
module_796	3.03536462E-1	2.9852E-1
module_733	3.19663619E-1	3.2939E-1
module_464	3.31139265E-1	2.9605E-1
module_477	3.49022116E-1	3.6366E-1
module_548	3.739564E-1	4.0807E-1
module_693	3.79924506E-1	3.9865E-1
module_702	3.96346911E-1	4.0414E-1
module_521	3.98877648E-1	3.9658E-1
module_659	3.99442707E-1	4.061E-1
module_357	4.02436544E-1	4.5393E-1
module_354	4.02948566E-1	4.4328E-1
module_715	4.18774606E-1	4.0807E-1
module_701	4.24277293E-1	4.2394E-1
module_650	4.35243913E-1	4.2463E-1
module_736	4.38267288E-1	4.6079E-1
module_378	4.44689404E-1	3.3722E-1
module_567	4.61807437E-1	4.2417E-1
module_720	4.6321412E-1	4.8073E-1
module_737	4.72629622E-1	4.7355E-1
module_808	4.78466296E-1	4.6313E-1
module_360	4.88082944E-1	5.3408E-1
module_782	4.90387023E-1	4.7695E-1
module_369	4.90820205E-1	4.5582E-1
module_434	5.02708799E-1	5.4841E-1
module_495	5.10088382E-1	5.0668E-1
module_393	5.10679429E-1	5.3461E-1
module_428	5.18323581E-1	5.4462E-1
module_427	5.257497E-1	5.395E-1
module_437	5.34691256E-1	5.4267E-1
module_459	5.4474402E-1	5.388E-1
module_686	5.46589051E-1	5.6612E-1
module_526	5.52014311E-1	5.2508E-1
module_420	5.57455921E-1	5.8473E-1
module_689	5.58575041E-1	4.663E-1
module_436	5.87306056E-1	6.0786E-1
module_573	5.93930542E-1	5.451E-1
module_476	5.97570953E-1	6.0439E-1
module_368	5.99854032E-1	5.4789E-1
module_747	6.02859455E-1	5.9141E-1
module_479	6.07226642E-1	6.1554E-1
module_431	6.09634505E-1	6.3354E-1
module_576	6.23621967E-1	5.5015E-1
module_658	6.28336169E-1	6.5175E-1
module_471	6.32607105E-1	5.6857E-1
module_561	6.39505498E-1	6.5117E-1
module_524	6.39564843E-1	6.2247E-1
module_389	6.50667607E-1	6.9597E-1
module_480	6.51383696E-1	6.5188E-1
module_432	6.52765026E-1	5.1594E-1
module_454	6.5431018E-1	6.8388E-1
module_426	6.65734353E-1	6.6158E-1
module_490	6.70125101E-1	6.9093E-1
module_575	6.77183267E-1	6.2348E-1
module_444	6.7960835E-1	7.1403E-1
module_400	6.84171622E-1	6.7079E-1
module_512	6.91573821E-1	7.1028E-1
module_649	6.9943847E-1	7.1496E-1
module_625	6.99758897E-1	7.0356E-1
module_703	7.0391731E-1	7.0701E-1
module_453	7.17983475E-1	7.215E-1
module_469	7.22118002E-1	6.7904E-1
module_503	7.24225908E-1	7.3963E-1
module_682	7.32503771E-1	7.46E-1
module_532	7.33045394E-1	7.4382E-1
module_424	7.36771751E-1	7.642E-1
module_409	7.4041538E-1	7.1393E-1
module_523	7.43123668E-1	7.1369E-1
