gene_id	symbol	SNPs
meta_440695_922_128360_128372_57863_1401_23385_51744_8703_22926_4921	meta_ETV3L_CD5L_OR10T2_OR6N1_CADM3_CRP_NCSTN_CD244_B4GALT3_ATF6_DDR2	1285
meta_142683_22926_9722_284680_4921	meta_ITLN2_ATF6_NOS1AP_C1orf111_DDR2	1010
meta_84898_10529	meta_PLXDC2_NEBL	1149
meta_5092_119504_54541_90550_11319_5532_5328_132_23522	meta_PCBD1_ANAPC16_DDIT4_MCU_ECD_PPP3CB_PLAU_ADK_KAT6B	1055
meta_5092_119504_54541_90550_11319_5532_5328_132_23522_100131213	meta_PCBD1_ANAPC16_DDIT4_MCU_ECD_PPP3CB_PLAU_ADK_KAT6B_ZNF503-AS2	1095
meta_23223_60370_60495_26507_159296_51076	meta_RRP12_AVPI1_HPSE2_CNNM1_NKX2-3_CUTC	1259
meta_60370_60495_26507_159296_55662_57715_56652_8945	meta_AVPI1_HPSE2_CNNM1_NKX2-3_HIF1AN_SEMA4G_C10orf2_BTRC	1412
meta_27291_60495_159296	meta_R3HCC1L_HPSE2_NKX2-3	1034
meta_27291_60495_26507_159296	meta_R3HCC1L_HPSE2_CNNM1_NKX2-3	1190
meta_60495_26507_159296	meta_HPSE2_CNNM1_NKX2-3	1047
meta_60495_159296_55662_56652	meta_HPSE2_NKX2-3_HIF1AN_C10orf2	1016
meta_60495_26507_51076_55280_56652_8945	meta_HPSE2_CNNM1_CUTC_CWF19L1_C10orf2_BTRC	1283
meta_4928_119772_3046_390066_445372	meta_NUP98_OR52M1_HBE1_OR52D1_TRIM6-TRIM34	1357
meta_3046_390066_445372_390077	meta_HBE1_OR52D1_TRIM6-TRIM34_OR52N2	1128
meta_3824_3822_3821_8531_2120_54682_2012	meta_KLRD1_KLRC2_KLRC1_YBX3_ETV6_MANSC1_EMP1	1104
meta_3479_374470_6996_50515	meta_IGF1_C12orf42_TDG_CHST11	1023
meta_140801_161357	meta_RPL10L_MDGA2	1024
meta_6655_5836_122786_54331_5732	meta_SOS2_PYGL_FRMD6_GNG2_PTGER2	1063
meta_6263_70	meta_RYR3_ACTC1	1050
meta_780776_4261_26156_92017	meta_TVP23A_CIITA_RSL1D1_SNX29	1177
meta_4261_26156_92017	meta_CIITA_RSL1D1_SNX29	1108
meta_92017_55313	meta_SNX29_CPPED1	1194
meta_54739_239_1984_6462_55135_1949_124637_162387_201140_8522	meta_XAF1_ALOX12_EIF5A_SHBG_WRAP53_EFNB3_CYB5D1_MFSD6L_DHRS7C_GAS7	1035
meta_1742_23399_9196_146852_146849_23533_9482_9340_388335_388336	meta_DLG4_CTDNEP1_KCNAB3_ODF4_CCDC42_PIK3R5_STX8_GLP2R_TMEM220_SHISA6	1463
meta_147138_9489_8632_9267_146713_55036	meta_TMC8_PGS1_DNAH17_CYTH1_RBFOX3_CCDC40	1087
meta_3643_23370_56949_339390_80164_256949_85509_54811_112812_5141_10053_3609_6597_9545_374882_388507_4784_5566_5731_26659_26993_58525	meta_INSR_ARHGEF18_XAB2_CLEC4G_FLJ22184_KANK3_MBD3L1_ZNF562_FDX1L_PDE4A_AP1M2_ILF3_SMARCA4_RAB3D_TMEM205_ZNF788_NFIX_PRKACA_PTGER1_OR7A5_AKAP8L_WIZ	1196
meta_55762_91661_10288_2204_84922_51545_29924_338321_388566_5178_57343_374928_284309_79891_79673_10998_84878	meta_ZNF701_ZNF765_LILRB2_FCAR_FIZ1_ZNF581_EPN1_NLRP9_ZNF470_PEG3_ZNF304_ZNF773_ZNF776_ZNF671_ZNF329_SLC27A5_ZBTB45	1148
meta_55422_284379_90011_51206_51157_126204_147949_57573_7565_256051_7710_65982_1	meta_ZNF331_LOC284379_KIR3DX1_GP6_ZNF580_NLRP13_ZNF583_ZNF471_ZNF17_ZNF549_ZNF154_ZSCAN18_A1BG	1074
meta_3903_57348_51206_126204_342933_90485_7565_374928_256051_7710_80095_65982_25799	meta_LAIR1_TTYH1_GP6_NLRP13_ZSCAN5B_ZNF835_ZNF17_ZNF773_ZNF549_ZNF154_ZNF606_ZSCAN18_ZNF324	1011
meta_51263_3899_129521_4862	meta_MRPL30_AFF3_NMS_NPAS2	1116
meta_10190_3899_129521_4862	meta_TXNDC9_AFF3_NMS_NPAS2	1057
meta_3899_164832_79031_4862_6160_284996_3554	meta_AFF3_LONRF2_PDCL3_NPAS2_RPL31_RNF149_IL1R1	1392
meta_117583_54891_1933_130752	meta_PARD3B_INO80D_EEF1B2_MDH1B	1122
meta_2114_3150_1826	meta_ETS2_HMGN1_DSCAM	1172
meta_2114_3150_1826_4599_64699	meta_ETS2_HMGN1_DSCAM_MX1_TMPRSS3	1516
meta_3150_1826	meta_HMGN1_DSCAM	1006
meta_7485_1826	meta_WRB_DSCAM	1037
meta_1826_25825	meta_DSCAM_BACE2	1143
meta_1826_4599_64699	meta_DSCAM_MX1_TMPRSS3	1291
meta_1826_25825_63977_54020	meta_DSCAM_BACE2_PRDM15_SLC37A1	1606
meta_1826_63977_54020	meta_DSCAM_PRDM15_SLC37A1	1410
meta_64778_22871	meta_FNDC3B_NLGN1	1245
meta_221472_266727_114781_221458	meta_FGD2_MDGA1_BTBD9_KIF6	1214
meta_266727_114781_221458	meta_MDGA1_BTBD9_KIF6	1078
meta_577_1297_57579	meta_BAI3_COL9A1_FAM135A	1218
meta_4956_9699_81501	meta_ODF1_RIMS2_DCSTAMP	1048
