gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
100288069	LOC100288069	0
79854	LINC00115	0
643837	LOC643837	0
284593	FAM41C	0
100130417	LOC100130417	0
148398	SAMD11	0
26155	NOC2L	0
339451	KLHL17	0
84069	PLEKHN1	0
84808	C1orf170	0
57801	HES4	0
9636	ISG15	0
375790	AGRN	0
401934	RNF223	0
54991	C1orf159	0
254099	LOC254099	0
6339	SCNN1D	0
116983	ACAP3	0
126789	PUSL1	0
54973	CPSF3L	0
80772	GLTPD1	0
83756	TAS1R3	0
1855	DVL1	0
54587	MXRA8	0
54998	AURKAIP1	0
81669	CCNL2	0
148413	LOC148413	0
55052	MRPL20	0
441869	ANKRD65	0
643965	TMEM88B	0
64856	VWA1	0
219293	ATAD3C	0
83858	ATAD3B	0
55210	ATAD3A	0
339453	TMEM240	0
29101	SSU72	0
643988	C1orf233	0
142678	MIB2	0
8510	MMP23B	0
984	CDK11B	0
8511	MMP23A	0
728642	CDK11A	0
2563	GABRD	0
115110	LOC115110	0
100133445	LOC100133445	0
27237	ARHGEF16	0
127262	TPRG1L	0
49856	WRAP73	0
54626	HES2	0
83715	ESPN	0
100422975	MIR4252	0
8718	TNFRSF25	0
148345	C1orf127	0
23435	TARDBP	0
10747	MASP2	0
6723	SRM	0
5394	EXOSC10	0
100873935	MTOR-AS1	0
57540	PTCHD2	0
26232	FBXO2	0
93611	FBXO44	0
26270	FBXO6	0
65121	PRAMEF1	0
440560	PRAMEF11	0
649330	LOC649330	0
343069	HNRNPCL1	0
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
391002	PRAMEF8	0
343068	PRAMEF5	0
653606	PRAMEF22	0
440563	LOC440563	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
391004	PRAMEF17	0
79814	AGMAT	0
84301	DDI2	0
6248	RSC1A1	0
114819	CROCCP3	0
55672	NBPF1	0
84809	CROCCP2	0
11209	MST1P2	0
284729	ESPNP	0
11223	MST1L	0
100616120	MIR4695	0
126917	IFFO2	0
100422914	MIR4253	0
729059	LOC729059	0
100422866	MIR3115	0
1870	E2F2	0
3399	ID3	0
259283	MDS2	0
6135	RPL11	0
2517	FUCA1	0
1269	CNR2	0
100616492	MIR378F	0
55629	PNRC2	0
10772	SRSF10	0
400746	NCMAP	0
57190	SEPN1	0
3151	HMGN2	0
27245	AHDC1	0
2268	FGR	0
2537	IFI6	0
5724	PTAFR	0
22826	DNAJC8	0
93974	ATPIF1	0
51102	MECR	0
149086	LOC149086	0
284551	LOC284551	0
64129	TINAGL1	0
90853	SPOCD1	0
55116	TMEM39B	0
23633	KPNA6	0
200081	TXLNA	0
79140	CCDC28B	0
55721	IQCC	0
149069	DCDC2B	0
56063	TMEM234	0
8668	EIF3I	0
339483	MTMR9LP	0
84734	FAM167B	0
3932	LCK	0
3065	HDAC1	0
65108	MARCKSL1	0
100128071	FAM229A	0
81629	TSSK3	0
55108	BSDC1	0
5928	RBBP4	0
81493	SYNC	0
57648	KIAA1522	0
8565	YARS	0
64766	S100PBP	0
252995	FNDC5	0
3208	HPCA	0
113452	TMEM54	0
127544	RNF19B	0
204	AK2	0
149076	ZNF362	0
127550	A3GALT2	0
1912	PHC2	0
100500853	MIR3605	0
2709	GJB5	0
127534	GJB4	0
653160	LOC653160	0
100506144	ZMYM6NB	0
9204	ZMYM6	0
79830	ZMYM1	0
9202	ZMYM4	0
79932	KIAA0319L	0
23154	NCDN	0
5690	PSMB2	0
339488	TFAP2E	0
127703	C1orf216	0
63967	CLSPN	0
27285	TEKT2	0
54936	ADPRHL2	0
1296	COL8A2	0
27095	TRAPPC3	0
55700	MAP7D1	0
728431	LOC728431	0
80149	ZC3H12A	0
100847010	MIR5581	0
64789	EXO5	0
100130557	LOC100130557	0
4802	NFYC	0
407034	MIR30E	0
407031	MIR30C1	0
81888	HYI	0
55929	DMAP1	0
79639	TMEM53	0
339541	C1orf228	0
8438	RAD54L	0
10489	LRRC41	0
7388	UQCRH	0
387338	NSUN4	0
127343	DMBX1	0
100507423	MKNK1-AS1	0
148930	KNCN	0
8569	MKNK1	0
148932	MOB3C	0
64756	ATPAF1	0
374973	TEX38	0
100130197	EFCAB14-AS1	0
1579	CYP4A11	0
284541	CYP4A22	0
51727	CMPK1	0
2301	FOXE3	0
84793	FOXD2-AS1	0
2306	FOXD2	0
200010	SLC5A9	0
2060	EPS15	0
51060	TXNDC12	0
112970	KTI12	0
91408	BTF3L4	0
200014	CC2D1B	0
440590	ZYG11A	0
55268	ECHDC2	0
163742	SLC25A3P1	0
63948	DMRTB1	0
55001	TTC22	0
163747	C1orf177	0
199920	C1orf168	0
732	C8B	0
27022	FOXD3	0
29929	ALG6	0
100616338	MIR4794	0
57708	MIER1	0
9077	DIRAS3	0
6121	RPE65	0
55635	DEPDC1	0
5301	PIN1P1	0
9295	SRSF11	0
