Name	chi2Pvalue	empPvalue
module_499	NA	1E0
module_512	NA	1E0
module_513	NA	1E0
module_519	NA	1E0
module_522	NA	1E0
module_525	NA	1E0
module_528	NA	1E0
module_529	NA	1E0
module_530	NA	1E0
module_533	NA	1E0
module_538	NA	1E0
module_539	NA	1E0
module_540	NA	1E0
module_551	NA	1E0
module_552	NA	1E0
module_554	NA	1E0
module_556	NA	1E0
module_560	NA	1E0
module_562	NA	1E0
module_567	NA	1E0
module_568	NA	1E0
module_569	NA	1E0
module_571	NA	1E0
module_572	NA	1E0
module_582	NA	1E0
module_583	NA	1E0
module_585	NA	1E0
module_586	NA	1E0
module_587	NA	1E0
module_588	NA	1E0
module_589	NA	1E0
module_591	NA	1E0
module_592	NA	1E0
module_593	NA	1E0
module_596	NA	1E0
module_605	NA	1E0
module_617	NA	1E0
module_618	NA	1E0
module_621	NA	1E0
module_622	NA	1E0
module_636	NA	1E0
module_637	NA	1E0
module_638	NA	1E0
module_640	NA	1E0
module_642	NA	1E0
module_643	NA	1E0
module_644	NA	1E0
module_658	NA	1E0
module_659	NA	1E0
module_677	NA	1E0
module_682	NA	1E0
module_692	NA	1E0
module_697	NA	1E0
module_698	NA	1E0
module_701	NA	1E0
module_725	NA	1E0
module_736	NA	1E0
module_747	NA	1E0
module_782	NA	1E0
module_796	NA	1E0
module_808	NA	1E0
