Name	chi2Pvalue	empPvalue
module_747	2.12292072E-3	1.461E-2
module_701	3.18898268E-3	1.703E-2
module_499	8.16464909E-3	8.44E-3
module_677	8.49624384E-3	2.977E-2
module_725	1.15893378E-2	3.549E-2
module_513	1.19606485E-2	3.529E-2
module_782	2.1520921E-2	5.168E-2
module_567	3.77678629E-2	3.163E-2
module_589	5.16431246E-2	9.407E-2
module_808	6.99729688E-2	1.0676E-1
module_512	8.45984017E-2	1.3517E-1
module_796	9.00559161E-2	1.2553E-1
module_528	1.65458127E-1	1.4425E-1
module_617	1.81085449E-1	2.0845E-1
module_596	2.2832014E-1	1.1708E-1
module_659	2.39913266E-1	2.8872E-1
module_519	2.40291189E-1	2.551E-1
module_736	2.42903483E-1	2.4951E-1
module_636	2.51996491E-1	2.7532E-1
module_529	2.53523425E-1	2.8567E-1
module_583	2.63694529E-1	2.5411E-1
module_618	2.65043422E-1	2.8366E-1
module_585	2.76188494E-1	2.5568E-1
module_658	3.21094631E-1	3.308E-1
module_552	3.72639932E-1	1.9121E-1
module_569	3.820959E-1	4.0983E-1
module_643	3.88108092E-1	4.0761E-1
module_592	4.18263661E-1	4.3783E-1
module_571	4.98686343E-1	4.594E-1
module_554	5.04204266E-1	5.2106E-1
module_638	5.07678583E-1	5.178E-1
module_533	5.30531122E-1	5.6616E-1
module_682	5.32982163E-1	5.3392E-1
module_637	5.64003122E-1	5.565E-1
module_605	6.15626256E-1	6.0601E-1
module_530	6.3536344E-1	6.4327E-1
module_540	6.43914984E-1	5.3449E-1
module_591	6.48401239E-1	6.6546E-1
module_622	6.65887244E-1	6.7255E-1
module_692	7.03474682E-1	7.2589E-1
module_525	7.11772843E-1	7.2551E-1
module_697	7.21108244E-1	7.3512E-1
module_572	7.38036812E-1	7.2373E-1
module_582	7.60712265E-1	7.6456E-1
module_538	7.78883057E-1	8.0089E-1
module_593	7.87464648E-1	7.9811E-1
module_560	7.93840452E-1	8.0277E-1
module_587	8.00318286E-1	7.8258E-1
module_586	8.06154338E-1	8.1017E-1
module_522	8.22324165E-1	8.3597E-1
module_640	8.22739541E-1	8.3091E-1
module_539	8.45737837E-1	8.4867E-1
module_642	8.62793618E-1	8.7363E-1
module_551	8.76254836E-1	8.8335E-1
module_621	8.96596695E-1	8.9901E-1
module_568	9.09429192E-1	9.1711E-1
module_588	9.1346233E-1	9.2242E-1
module_698	9.29709918E-1	9.3282E-1
module_562	9.30317579E-1	9.3457E-1
module_556	9.42052475E-1	9.4442E-1
module_644	9.81784593E-1	9.8294E-1
