Name	chi2Pvalue	empPvalue
module_585	2.52157398E-2	4.807E-2
module_519	3.37047206E-2	5.466E-2
module_617	4.28814652E-2	7.69E-2
module_528	8.80659352E-2	7.989E-2
module_499	9.69347808E-2	8.018E-2
module_638	1.50406585E-1	1.9646E-1
module_588	1.50690386E-1	2.0814E-1
module_582	1.86153875E-1	2.3571E-1
module_552	1.88442442E-1	1.1487E-1
module_637	2.11411366E-1	2.6128E-1
module_567	3.13116254E-1	2.1376E-1
module_583	3.4838634E-1	3.7728E-1
module_644	3.49149615E-1	4.1122E-1
module_554	3.53442125E-1	3.9955E-1
module_529	3.97805482E-1	4.2136E-1
module_571	4.00861408E-1	4.1648E-1
module_592	4.06374964E-1	3.8971E-1
module_736	4.29432973E-1	4.5917E-1
module_698	4.31315089E-1	4.752E-1
module_513	4.32730833E-1	4.7075E-1
module_586	4.57511354E-1	4.8651E-1
module_642	5.04488667E-1	5.0053E-1
module_596	5.38110586E-1	3.5226E-1
module_539	5.88254682E-1	5.8554E-1
module_643	6.11231844E-1	6.0326E-1
module_569	6.20007518E-1	6.5728E-1
module_725	6.28513582E-1	6.2976E-1
module_659	6.67050107E-1	6.6195E-1
module_605	6.70448604E-1	6.6888E-1
module_538	6.70903968E-1	6.7518E-1
module_697	6.75883253E-1	5.9714E-1
module_636	6.90102879E-1	6.7822E-1
module_677	7.09153977E-1	7.2693E-1
module_682	7.10202469E-1	6.8323E-1
module_589	7.20859181E-1	7.1646E-1
module_692	7.3029396E-1	6.6093E-1
module_747	7.38453167E-1	7.4218E-1
module_796	7.39611249E-1	7.4304E-1
module_540	7.41218689E-1	5.8965E-1
module_591	7.42524469E-1	7.4188E-1
module_808	7.46107851E-1	7.4999E-1
module_618	7.66863153E-1	7.5616E-1
module_593	7.79344446E-1	7.5306E-1
module_587	7.86233981E-1	7.9423E-1
module_560	8.14629691E-1	8.1954E-1
module_658	8.22647943E-1	8.0595E-1
module_701	8.26615192E-1	8.3263E-1
module_525	8.27836584E-1	8.3311E-1
module_640	8.30963064E-1	8.158E-1
module_512	8.33757708E-1	8.4133E-1
module_572	8.37571578E-1	8.4615E-1
module_533	8.41740517E-1	8.4162E-1
module_782	8.65427335E-1	8.629E-1
module_621	9.10275946E-1	8.9452E-1
module_622	9.28511452E-1	9.3945E-1
module_530	9.31247466E-1	9.2953E-1
module_568	9.43770476E-1	9.4579E-1
module_556	9.45752613E-1	9.4707E-1
module_522	9.589047E-1	9.5293E-1
module_551	9.70973439E-1	9.7E-1
module_562	9.8270779E-1	9.8273E-1
