Name	chi2Pvalue	empPvalue
module_513	2.50728911E-2	2.076E-2
module_499	9.0167491E-2	9.456E-2
module_540	1.02053491E-1	8.166E-2
module_552	1.15088242E-1	1.1933E-1
module_539	1.17162897E-1	1.5707E-1
module_525	1.21486509E-1	2.0002E-1
module_569	1.35608424E-1	9.091E-2
module_530	1.40153025E-1	2.617E-1
module_538	1.4410823E-1	1.4347E-1
module_586	1.6137066E-1	1.3251E-1
module_677	1.61895839E-1	8.331E-2
module_554	1.72769635E-1	1.3115E-1
module_698	1.76114175E-1	1.3204E-1
module_533	2.14041319E-1	2.7248E-1
module_638	2.23235003E-1	1.7696E-1
module_605	2.24876818E-1	9.466E-2
module_593	2.50503868E-1	2.2019E-1
module_512	2.56498239E-1	1.6003E-1
module_796	2.82283454E-1	1.3373E-1
module_592	2.88946203E-1	2.1268E-1
module_589	2.99364029E-1	1.267E-1
module_617	3.08837584E-1	2.075E-1
module_636	3.18024827E-1	2.1972E-1
module_701	3.20377524E-1	2.0912E-1
module_583	3.32436612E-1	3.356E-1
module_808	3.52531734E-1	1.4915E-1
module_643	3.80681053E-1	4.5671E-1
module_567	3.95710222E-1	4.0946E-1
module_747	4.00690721E-1	2.3195E-1
module_591	4.00705455E-1	4.909E-1
module_618	4.08489415E-1	2.743E-1
module_658	4.1423767E-1	1.9796E-1
module_725	4.33109363E-1	2.1209E-1
module_587	4.40481334E-1	4.3701E-1
module_588	4.54613019E-1	2.7962E-1
module_596	4.67748267E-1	3.6984E-1
module_736	4.85338512E-1	2.8221E-1
module_568	4.88033634E-1	4.2536E-1
module_782	4.8877877E-1	2.0655E-1
module_560	5.20496614E-1	3.2468E-1
module_682	5.23813746E-1	2.1431E-1
module_585	5.34643996E-1	4.0342E-1
module_637	5.51356262E-1	5.0809E-1
module_571	5.59190635E-1	3.501E-1
module_642	5.82232752E-1	5.7104E-1
module_644	5.99648046E-1	3.6664E-1
module_697	6.02394637E-1	6.3602E-1
module_659	6.24461638E-1	3.467E-1
module_529	6.26378142E-1	2.9423E-1
module_519	6.26529755E-1	2.3279E-1
module_622	6.36761143E-1	5.1628E-1
module_551	6.42619766E-1	7.2578E-1
module_572	6.49869385E-1	5.3872E-1
module_562	6.57271986E-1	6.8482E-1
module_556	7.06338809E-1	7.2919E-1
module_582	7.07040112E-1	4.7839E-1
module_522	7.08236887E-1	6.1385E-1
module_528	7.31964373E-1	4.1274E-1
module_692	8.12707301E-1	8.0492E-1
module_621	8.55727736E-1	7.2963E-1
module_640	9.05840634E-1	8.3008E-1
