Name	chi2Pvalue	empPvalue
module_697	3.55485157E-2	7.146E-2
module_513	5.76758872E-2	2.0313E-1
module_589	5.9478132E-2	2.4173E-1
module_692	9.74693609E-2	3.2862E-1
module_621	1.66038554E-1	1.1316E-1
module_529	1.67177733E-1	2.6092E-1
module_640	1.67645905E-1	1.4047E-1
module_528	1.67828293E-1	1.1576E-1
module_552	1.75679395E-1	1.904E-1
module_569	1.95722499E-1	1.8122E-1
module_560	1.95837547E-1	1.0694E-1
module_554	2.1568066E-1	1.7408E-1
module_636	2.41024902E-1	1.5678E-1
module_572	2.43712859E-1	3.0053E-1
module_659	2.45797255E-1	2.5992E-1
module_618	2.54529219E-1	1.6285E-1
module_551	2.59444775E-1	2.906E-1
module_556	2.63194206E-1	2.9461E-1
module_562	2.67846078E-1	2.8618E-1
module_677	2.81884969E-1	3.1976E-1
module_622	2.89259822E-1	3.2975E-1
module_586	2.94957101E-1	1.9348E-1
module_568	2.96580773E-1	3.1837E-1
module_617	3.01028198E-1	2.978E-1
module_682	3.3793703E-1	2.8454E-1
module_512	3.40168105E-1	5.5679E-1
module_701	3.56856931E-1	5.5379E-1
module_642	3.81152464E-1	2.6344E-1
module_605	3.81824741E-1	1.6937E-1
module_596	4.06019717E-1	2.3582E-1
module_499	4.45948747E-1	4.2907E-1
module_587	4.62053499E-1	3.8322E-1
module_796	4.90989684E-1	6.7162E-1
module_747	4.96734605E-1	6.6746E-1
module_540	5.40425565E-1	2.9869E-1
module_736	5.62519789E-1	3.0085E-1
module_585	5.84095141E-1	7.1738E-1
module_698	5.86644086E-1	3.4781E-1
module_658	5.98475584E-1	4.7614E-1
module_582	6.16349731E-1	6.3147E-1
module_643	6.19262445E-1	3.2827E-1
module_519	6.30440708E-1	6.444E-1
module_533	6.36140124E-1	4.2211E-1
module_530	6.49522294E-1	5.4721E-1
module_592	6.57984304E-1	3.2269E-1
module_725	6.69826895E-1	7.0326E-1
module_567	6.77561736E-1	3.2397E-1
module_591	6.7856422E-1	4.969E-1
module_782	6.78952923E-1	7.738E-1
module_644	6.94454555E-1	4.17E-1
module_808	6.9933598E-1	7.7046E-1
module_593	7.72291662E-1	8.0078E-1
module_588	7.7311346E-1	5.0207E-1
module_538	8.22516492E-1	5.2645E-1
module_525	8.23935393E-1	5.4009E-1
module_539	8.2534051E-1	6.9229E-1
module_522	8.37348855E-1	6.5239E-1
module_571	9.04892784E-1	8.937E-1
module_638	9.37514729E-1	8.8529E-1
module_583	9.47778344E-1	9.3251E-1
module_637	9.9497835E-1	9.9229E-1
