Name	chi2Pvalue	empPvalue
module_572	6.55980355E-2	1.2562E-1
module_642	7.74668059E-2	9.004E-2
module_692	8.03449442E-2	1.0199E-1
module_591	9.17226766E-2	1.2493E-1
module_640	1.1352662E-1	1.5169E-1
module_593	1.14536574E-1	1.6506E-1
module_643	1.23629473E-1	1.2774E-1
module_587	1.27401848E-1	1.6642E-1
module_697	1.31356561E-1	1.4454E-1
module_621	1.48239341E-1	2.0721E-1
module_556	1.49342875E-1	2.2617E-1
module_592	1.82691699E-1	2.138E-1
module_583	2.50843542E-1	3.1818E-1
module_539	2.52262146E-1	3.1514E-1
module_540	2.69601428E-1	3.5534E-1
module_519	2.70274432E-1	3.7799E-1
module_585	2.8804274E-1	3.6439E-1
module_736	3.05540065E-1	2.4275E-1
module_530	3.53108304E-1	3.9777E-1
module_525	3.6742041E-1	3.9787E-1
module_533	3.79199067E-1	4.1898E-1
module_568	3.97715006E-1	4.8366E-1
module_562	4.67062612E-1	5.4166E-1
module_637	4.6833627E-1	5.0143E-1
module_552	4.68795854E-1	3.6011E-1
module_658	4.81481557E-1	4.1919E-1
module_538	4.96117697E-1	5.2208E-1
module_682	5.04194025E-1	4.3256E-1
module_528	5.18399105E-1	5.7541E-1
module_582	5.28476273E-1	6.1578E-1
module_622	5.29621111E-1	5.5333E-1
module_571	5.34800367E-1	5.8041E-1
module_551	5.35740989E-1	6.1148E-1
module_522	5.37523713E-1	5.8022E-1
module_588	5.45448296E-1	4.7661E-1
module_618	5.6607175E-1	5.1946E-1
module_638	5.91849504E-1	6.4557E-1
module_636	5.9854425E-1	5.579E-1
module_567	6.08525788E-1	5.6678E-1
module_617	6.19509275E-1	6.2863E-1
module_596	6.26696434E-1	5.3691E-1
module_529	6.47028348E-1	7.4034E-1
module_605	6.58915572E-1	5.8732E-1
module_589	7.03320246E-1	7.7198E-1
module_725	7.25831656E-1	7.7863E-1
module_560	7.34733042E-1	7.7421E-1
module_659	7.37842783E-1	7.0545E-1
module_499	7.71967714E-1	6.7628E-1
module_554	7.77997453E-1	7.4937E-1
module_747	7.78810858E-1	8.2338E-1
module_782	7.85602938E-1	8.2359E-1
module_808	7.90610083E-1	8.2595E-1
module_701	7.96385144E-1	8.4254E-1
module_796	8.10173515E-1	8.4563E-1
module_513	8.10398355E-1	8.4487E-1
module_677	8.24382722E-1	8.6325E-1
module_586	8.75299131E-1	8.4258E-1
module_698	8.8370843E-1	8.3225E-1
module_569	9.13665213E-1	8.8755E-1
module_644	9.34056591E-1	9.0599E-1
module_512	9.54846295E-1	9.5126E-1
