Name	chi2Pvalue	empPvalue
module_583	3.80641505E-3	9.57E-3
module_589	1.70564475E-2	2.733E-2
module_585	3.15156152E-2	7.55E-2
module_571	3.9662712E-2	9.654E-2
module_637	7.02162824E-2	1.5884E-1
module_701	8.63240413E-2	8.637E-2
module_747	8.71127137E-2	1.1142E-1
module_677	8.75986065E-2	9.342E-2
module_512	1.26514074E-1	1.4287E-1
module_725	1.54343412E-1	1.4856E-1
module_692	1.65113407E-1	1.164E-1
module_513	1.89530433E-1	1.9408E-1
module_796	1.92964201E-1	2.1822E-1
module_736	1.97271519E-1	1.4598E-1
module_552	2.21601407E-1	2.3775E-1
module_499	2.24703603E-1	2.5364E-1
module_519	2.28060036E-1	2.7999E-1
module_636	2.3203712E-1	2.0872E-1
module_533	2.58156289E-1	2.9106E-1
module_586	2.87289091E-1	2.8024E-1
module_551	3.04270724E-1	2.0538E-1
module_554	3.12498612E-1	2.6405E-1
module_530	3.14676182E-1	3.4862E-1
module_638	3.17252582E-1	3.8606E-1
module_808	3.28581796E-1	3.2252E-1
module_525	3.55725966E-1	3.7844E-1
module_569	3.72044205E-1	3.0863E-1
module_617	3.98589723E-1	2.8539E-1
module_658	4.0323779E-1	3.3061E-1
module_782	4.14911911E-1	4.2242E-1
module_591	4.2523101E-1	4.0816E-1
module_592	4.28281934E-1	4.05E-1
module_538	4.33519238E-1	4.0608E-1
module_605	4.43406966E-1	3.8185E-1
module_640	4.51372342E-1	3.465E-1
module_698	4.94000662E-1	5.3656E-1
module_682	5.01409282E-1	4.0446E-1
module_621	5.05948569E-1	4.0733E-1
module_528	5.19119845E-1	6.1358E-1
module_540	5.29681882E-1	5.1053E-1
module_539	5.39535794E-1	5.896E-1
module_593	5.42042663E-1	6.1917E-1
module_618	5.89936805E-1	4.9869E-1
module_560	5.92025359E-1	4.4631E-1
module_562	5.99998701E-1	5.6052E-1
module_529	6.00278138E-1	6.6697E-1
module_644	6.05193294E-1	6.7422E-1
module_659	6.0849203E-1	4.575E-1
module_522	6.39598686E-1	6.8171E-1
module_582	6.603593E-1	7.2063E-1
module_697	6.80132268E-1	6.1537E-1
module_622	6.93452674E-1	5.8281E-1
module_642	7.05845778E-1	6.0658E-1
module_643	7.09623178E-1	6.2168E-1
module_588	7.93673498E-1	8.3621E-1
module_587	8.01787937E-1	7.3434E-1
module_572	8.51715249E-1	7.6659E-1
module_568	8.54073335E-1	7.1735E-1
module_596	8.90425729E-1	8.0415E-1
module_556	9.30639992E-1	8.8803E-1
module_567	9.56293545E-1	9.1802E-1
