Name	chi2Pvalue	empPvalue
module_583	5.07573263E-2	1.034E-1
module_499	7.33939096E-2	9.581E-2
module_589	9.39148108E-2	1.2539E-1
module_747	1.20211423E-1	1.6619E-1
module_554	1.51610932E-1	1.463E-1
module_569	1.67760489E-1	1.4794E-1
module_701	1.70708975E-1	2.0672E-1
module_736	1.73089579E-1	1.3716E-1
module_552	1.87548622E-1	1.868E-1
module_551	2.20520865E-1	1.1779E-1
module_725	2.25678614E-1	2.5533E-1
module_513	2.45084069E-1	2.8536E-1
module_617	2.46377617E-1	2.0199E-1
module_525	2.53328946E-1	2.3409E-1
module_692	2.70821109E-1	1.5941E-1
module_586	2.77089862E-1	2.5098E-1
module_677	2.78861998E-1	3.0003E-1
module_808	3.10841674E-1	3.5178E-1
module_636	3.59544105E-1	3.2635E-1
module_605	3.73055702E-1	3.1364E-1
module_782	3.77517809E-1	4.0917E-1
module_533	3.92111931E-1	3.6143E-1
module_592	3.9678794E-1	3.2369E-1
module_796	4.38705104E-1	4.7018E-1
module_571	4.58899707E-1	5.7975E-1
module_682	4.8040455E-1	3.9004E-1
module_658	4.86103458E-1	4.0766E-1
module_585	4.93851242E-1	6.1751E-1
module_637	5.09253522E-1	6.1661E-1
module_538	5.1072388E-1	4.7009E-1
module_640	5.31188305E-1	4.1623E-1
module_519	5.31512113E-1	6.1566E-1
module_698	5.32942834E-1	5.5468E-1
module_562	5.64286576E-1	5.2593E-1
module_512	5.92004683E-1	6.0292E-1
module_618	6.25751417E-1	5.496E-1
module_638	6.26254846E-1	7.2724E-1
module_539	6.29487999E-1	5.9948E-1
module_659	6.38817183E-1	4.9467E-1
module_522	6.48514333E-1	6.6596E-1
module_621	6.58343635E-1	5.204E-1
module_540	6.67282663E-1	5.7763E-1
module_643	6.88789843E-1	5.6839E-1
module_593	6.92226042E-1	6.5399E-1
module_591	6.9774332E-1	6.0879E-1
module_560	7.21613481E-1	5.2837E-1
module_582	7.45217988E-1	7.9664E-1
module_644	7.97701977E-1	8.1482E-1
module_572	7.99819842E-1	7.1676E-1
module_530	8.03669751E-1	7.2721E-1
module_567	8.08160142E-1	7.6219E-1
module_697	8.24441269E-1	8.3727E-1
module_642	8.24764553E-1	6.943E-1
module_528	8.33192943E-1	8.651E-1
module_622	8.45695589E-1	7.0922E-1
module_596	8.5473676E-1	7.6477E-1
module_588	8.64340457E-1	8.9342E-1
module_529	8.76835646E-1	9.0422E-1
module_568	8.7852247E-1	7.2263E-1
module_587	8.92444344E-1	8.3868E-1
module_556	8.947346E-1	8.3296E-1
