Name	chi2Pvalue	empPvalue
module_551	2.25998071E-2	8.825E-2
module_540	4.30645741E-2	6.477E-2
module_568	4.35823669E-2	1.0816E-1
module_538	5.09086305E-2	8.584E-2
module_554	5.5766837E-2	5.562E-2
module_499	6.50451962E-2	8.21E-2
module_643	6.77464051E-2	2.3624E-1
module_592	6.80918632E-2	8.152E-2
module_587	6.84883982E-2	1.3698E-1
module_622	7.09712535E-2	1.2434E-1
module_572	7.50165172E-2	1.2807E-1
module_519	7.52199857E-2	1.2352E-1
module_569	7.8092528E-2	4.853E-2
module_513	7.99131181E-2	3.666E-2
module_617	8.23082041E-2	7.592E-2
module_642	8.96300137E-2	2.8083E-1
module_539	9.50115396E-2	7.169E-2
module_525	1.07228162E-1	1.9901E-1
module_556	1.08973212E-1	2.0248E-1
module_552	1.12206842E-1	1.5049E-1
module_560	1.21724409E-1	1.9515E-1
module_583	1.24602914E-1	2.2548E-1
module_736	1.2585717E-1	1.8577E-1
module_636	1.77194891E-1	2.1848E-1
module_682	1.80670293E-1	1.4968E-1
module_591	1.82912701E-1	4.3737E-1
module_593	1.84110304E-1	7.645E-2
module_640	1.95753541E-1	3.8533E-1
module_605	2.05632574E-1	1.1957E-1
module_522	2.17126347E-1	2.2402E-1
module_621	2.2630523E-1	5.1403E-1
module_571	2.2715864E-1	2.4994E-1
module_658	2.49761874E-1	1.9949E-1
module_533	2.50100642E-1	3.7005E-1
module_698	2.70373335E-1	1.0774E-1
module_562	2.70813582E-1	3.5102E-1
module_586	2.87176527E-1	2.4208E-1
module_530	2.96139053E-1	2.701E-1
module_529	2.99566523E-1	2.5008E-1
module_618	3.11381631E-1	3.0006E-1
module_697	3.21986037E-1	5.123E-1
module_567	3.24037671E-1	1.1957E-1
module_585	3.70360444E-1	2.6502E-1
module_677	3.91516582E-1	1.6801E-1
module_512	4.0057245E-1	2.9316E-1
module_589	4.62875761E-1	2.8965E-1
module_588	4.68772949E-1	2.5929E-1
module_528	4.68822917E-1	4.7278E-1
module_596	4.82265232E-1	2.6403E-1
module_644	4.88155069E-1	2.4076E-1
module_782	5.10283157E-1	2.9788E-1
module_725	5.29688209E-1	3.3295E-1
module_701	5.36165208E-1	3.3193E-1
module_638	5.68288853E-1	3.8318E-1
module_808	5.84058261E-1	2.9664E-1
module_796	5.93994525E-1	3.1234E-1
module_747	6.14601645E-1	3.7588E-1
module_637	6.46818508E-1	5.3121E-1
module_692	6.93095206E-1	7.8584E-1
module_582	7.10794344E-1	5.821E-1
module_659	7.23910913E-1	5.4988E-1
