Name	chi2Pvalue	empPvalue
module_513	7.34969277E-2	6.968E-2
module_677	7.47380999E-2	7.753E-2
module_643	8.51623224E-2	1.8518E-1
module_556	8.91263433E-2	2.0223E-1
module_659	1.12544004E-1	1.4518E-1
module_560	1.16646352E-1	1.3809E-1
module_562	1.26803298E-1	1.892E-1
module_621	1.36676442E-1	2.2761E-1
module_512	1.66824762E-1	2.4795E-1
module_589	1.74404054E-1	1.5339E-1
module_551	1.77032146E-1	2.6284E-1
module_698	1.81358166E-1	1.4585E-1
module_622	1.82611503E-1	3.356E-1
module_569	1.86192394E-1	1.3333E-1
module_592	1.91017463E-1	2.2786E-1
module_725	1.9157523E-1	2.5497E-1
module_552	1.94254031E-1	2.0665E-1
module_701	1.95038252E-1	2.6714E-1
module_618	2.03289667E-1	1.4639E-1
module_640	2.10530938E-1	2.9811E-1
module_747	2.33528243E-1	3.4129E-1
module_588	2.35024723E-1	2.7988E-1
module_697	2.35721665E-1	2.5643E-1
module_587	2.46954575E-1	3.9137E-1
module_642	2.49484601E-1	2.8979E-1
module_636	2.68277275E-1	1.7765E-1
module_586	2.71534391E-1	1.1492E-1
module_808	2.7299842E-1	3.1384E-1
module_644	2.74621741E-1	2.048E-1
module_682	2.79252404E-1	1.3844E-1
module_567	2.82098863E-1	1.0326E-1
module_554	2.97339734E-1	1.5696E-1
module_658	3.01205532E-1	1.9717E-1
module_572	3.18030584E-1	4.6694E-1
module_525	3.20933232E-1	3.9934E-1
module_796	3.22305957E-1	3.5634E-1
module_617	3.35272142E-1	2.7915E-1
module_528	3.41664873E-1	2.234E-1
module_568	3.42108471E-1	4.7154E-1
module_782	3.88031224E-1	3.9558E-1
module_529	3.96540233E-1	3.7863E-1
module_591	3.98623407E-1	4.8836E-1
module_692	4.06826183E-1	6.4773E-1
module_530	4.19599827E-1	5.0301E-1
module_522	4.19861744E-1	5.314E-1
module_605	4.25583448E-1	2.6863E-1
module_736	4.40290376E-1	2.0514E-1
module_538	4.91332804E-1	5.2784E-1
module_540	5.04145093E-1	3.2049E-1
module_571	5.08495364E-1	7.0634E-1
module_582	5.13412524E-1	3.7634E-1
module_499	5.22274581E-1	4.1084E-1
module_596	5.39244897E-1	2.3375E-1
module_519	5.7167269E-1	6.4207E-1
module_583	6.30678137E-1	7.2316E-1
module_533	6.30752973E-1	5.4438E-1
module_539	6.52112453E-1	6.47E-1
module_585	7.36288209E-1	7.199E-1
module_593	7.84493181E-1	7.3227E-1
module_638	8.06053046E-1	5.5478E-1
module_637	9.10440402E-1	9.6074E-1
