Name	chi2Pvalue	empPvalue
module_513	2.65218617E-2	2.55E-2
module_499	5.94633664E-2	8.463E-2
module_552	7.42050543E-2	1.0074E-1
module_525	7.57553285E-2	1.4775E-1
module_530	7.98620402E-2	1.3904E-1
module_540	9.370161E-2	5.364E-2
module_539	9.4449403E-2	7.219E-2
module_538	1.10033397E-1	8.641E-2
module_554	1.14818088E-1	9.071E-2
module_533	1.18037202E-1	1.9433E-1
module_569	1.19343651E-1	9.224E-2
module_677	1.52959425E-1	6.129E-2
module_586	1.64989618E-1	1.3796E-1
module_605	1.73735744E-1	9.697E-2
module_698	1.94427733E-1	1.4784E-1
module_643	2.20486817E-1	3.2444E-1
module_512	2.29609659E-1	1.5488E-1
module_592	2.29703271E-1	1.2391E-1
module_617	2.32008534E-1	1.1286E-1
module_593	2.36239634E-1	1.5128E-1
module_638	2.38191669E-1	1.9421E-1
module_796	2.60595834E-1	1.0094E-1
module_701	2.70472533E-1	1.6803E-1
module_636	2.76336919E-1	1.7594E-1
module_583	2.97333763E-1	2.7213E-1
module_808	3.03029009E-1	1.0685E-1
module_747	3.19887432E-1	1.7525E-1
module_589	3.37750176E-1	1.4981E-1
module_591	3.45952735E-1	4.5019E-1
module_618	3.49339425E-1	2.4978E-1
module_725	3.54944181E-1	1.583E-1
module_658	3.81335738E-1	1.9393E-1
module_588	3.96340447E-1	2.5836E-1
module_642	3.99624651E-1	4.2526E-1
module_585	4.18361664E-1	2.6774E-1
module_782	4.23068043E-1	1.517E-1
module_567	4.27051207E-1	2.441E-1
module_736	4.39529558E-1	2.8229E-1
module_596	4.50314111E-1	3.1542E-1
module_529	4.83782862E-1	2.5184E-1
module_682	4.89613391E-1	2.0905E-1
module_571	5.37326943E-1	3.903E-1
module_568	5.4791418E-1	4.2447E-1
module_519	5.57175773E-1	1.7274E-1
module_560	5.94607301E-1	3.6986E-1
module_637	6.05728235E-1	5.9867E-1
module_644	6.07897381E-1	4.0429E-1
module_528	6.09729758E-1	3.8868E-1
module_587	6.1737396E-1	5.0011E-1
module_522	6.26076499E-1	4.6441E-1
module_697	6.37204673E-1	6.8541E-1
module_551	6.59202726E-1	6.7614E-1
module_562	6.65001827E-1	6.4391E-1
module_622	6.69168384E-1	4.6027E-1
module_582	6.81218592E-1	5.082E-1
module_572	7.12209537E-1	5.7115E-1
module_556	7.39937058E-1	7.0391E-1
module_659	7.41741076E-1	4.7113E-1
module_692	8.55115919E-1	8.5568E-1
module_621	8.85697087E-1	7.3934E-1
module_640	9.02018912E-1	8.0499E-1
