Name	chi2Pvalue	empPvalue
module_589	3.8392997E-2	1.5048E-1
module_697	4.42719165E-2	1.1899E-1
module_513	5.24583991E-2	1.7656E-1
module_640	8.11383278E-2	1.7078E-1
module_621	8.94352013E-2	1.5028E-1
module_560	1.00088175E-1	1.4311E-1
module_692	1.07547227E-1	4.1488E-1
module_659	1.24738959E-1	1.4542E-1
module_572	1.3616743E-1	3.0281E-1
module_622	1.87530358E-1	3.608E-1
module_568	1.88145857E-1	3.646E-1
module_677	1.95602252E-1	2.0992E-1
module_529	2.00970125E-1	2.0336E-1
module_528	2.24120687E-1	1.142E-1
module_556	2.34965315E-1	3.6303E-1
module_512	2.66287766E-1	4.5635E-1
module_551	2.89885843E-1	3.9235E-1
module_587	3.0601519E-1	3.9814E-1
module_642	3.13948391E-1	2.199E-1
module_552	3.16275342E-1	2.3601E-1
module_562	3.17528314E-1	3.9696E-1
module_569	3.31198167E-1	2.3732E-1
module_701	3.37098755E-1	5.5435E-1
module_596	3.68909792E-1	2.0272E-1
module_796	3.80315725E-1	5.7418E-1
module_617	3.82127998E-1	3.4487E-1
module_682	3.93028953E-1	2.4608E-1
module_636	4.00520215E-1	1.7374E-1
module_554	4.30112608E-1	2.5228E-1
module_618	4.38717668E-1	1.8412E-1
module_747	4.41031003E-1	6.2438E-1
module_586	4.46260877E-1	2.4761E-1
module_567	5.2472027E-1	2.0905E-1
module_643	5.28988534E-1	2.6689E-1
module_540	5.39412313E-1	2.7119E-1
module_782	5.44373497E-1	6.6283E-1
module_725	5.44550065E-1	6.1583E-1
module_808	5.55039818E-1	6.4591E-1
module_533	5.55356771E-1	4.1693E-1
module_519	5.57493976E-1	5.8497E-1
module_698	5.75111076E-1	3.9183E-1
module_592	5.79062612E-1	2.9872E-1
module_530	5.81808102E-1	5.1411E-1
module_605	6.05878921E-1	2.2313E-1
module_591	6.07431985E-1	4.6127E-1
module_585	6.29199888E-1	6.2211E-1
module_499	6.31166785E-1	5.2655E-1
module_736	6.56350303E-1	3.0489E-1
module_658	6.97975845E-1	4.6036E-1
module_644	7.17886309E-1	4.3873E-1
module_582	7.25976637E-1	4.6952E-1
module_588	7.77587258E-1	5.0997E-1
module_571	7.96877216E-1	7.7783E-1
module_538	8.10549189E-1	5.845E-1
module_593	8.17676237E-1	6.9195E-1
module_539	8.31726262E-1	6.6663E-1
module_522	8.4714459E-1	5.9357E-1
module_525	8.47640266E-1	5.9014E-1
module_583	8.73908968E-1	8.3444E-1
module_638	9.32314233E-1	7.0809E-1
module_637	9.76543752E-1	9.7097E-1
