Name	chi2Pvalue	empPvalue
module_538	1.45308857E-2	3.09E-2
module_540	4.52344061E-2	6.612E-2
module_530	4.60449775E-2	1.4282E-1
module_539	6.36324589E-2	1.5515E-1
module_592	7.13186945E-2	7.879E-2
module_525	8.60528207E-2	1.8541E-1
module_533	9.94752475E-2	1.2602E-1
module_591	1.50587278E-1	2.6805E-1
module_796	1.83772572E-1	1.1658E-1
module_808	2.12316637E-1	1.2637E-1
module_593	2.15833055E-1	3.1487E-1
module_513	2.35444901E-1	7.451E-2
module_677	2.7921419E-1	4.057E-2
module_512	3.08374728E-1	2.5493E-1
module_596	3.25024393E-1	1.1206E-1
module_659	3.326348E-1	6.68E-2
module_682	3.38225803E-1	2.0189E-1
module_643	3.87951209E-1	4.5663E-1
module_725	3.90594343E-1	2.3721E-1
module_736	4.01246592E-1	2.2136E-1
module_522	4.09904353E-1	5.3426E-1
module_589	4.11613945E-1	1.0955E-1
module_782	4.17575157E-1	2.3743E-1
module_642	4.66255511E-1	5.3882E-1
module_701	4.77775953E-1	3.3683E-1
module_572	4.79659733E-1	5.244E-1
module_556	4.8948205E-1	5.8912E-1
module_621	5.06610992E-1	5.8529E-1
module_585	5.08557687E-1	5.8552E-1
module_637	5.16178165E-1	5.5447E-1
module_586	5.3144365E-1	3.1166E-1
module_636	5.33211762E-1	3.5877E-1
module_622	5.45158787E-1	6.0899E-1
module_617	5.49061866E-1	5.9313E-1
module_692	5.5735522E-1	5.8724E-1
module_747	5.99960839E-1	3.9016E-1
module_697	6.00364268E-1	6.2158E-1
module_569	6.09400535E-1	3.8251E-1
module_499	6.12390154E-1	4.3711E-1
module_560	6.3036433E-1	4.7131E-1
module_638	6.34775284E-1	6.2621E-1
module_658	6.36052738E-1	4.0441E-1
module_528	6.50022125E-1	4.8122E-1
module_571	6.50225941E-1	4.6573E-1
module_605	6.52179698E-1	4.7008E-1
module_568	6.5964021E-1	6.6821E-1
module_552	6.63654473E-1	5.2067E-1
module_587	6.89744798E-1	7.0092E-1
module_551	6.96409182E-1	7.6634E-1
module_562	7.15101266E-1	7.82E-1
module_640	7.2996451E-1	7.675E-1
module_567	7.38954196E-1	3.7837E-1
module_519	7.54697554E-1	5.6203E-1
module_644	7.57846771E-1	4.7161E-1
module_554	7.78871272E-1	6.3234E-1
module_698	8.10042106E-1	4.583E-1
module_529	8.27347402E-1	6.9642E-1
module_618	8.60536622E-1	6.9219E-1
module_588	9.23658827E-1	7.6179E-1
module_583	9.58265403E-1	9.5859E-1
module_582	9.71225123E-1	9.7059E-1
