Name	chi2Pvalue	empPvalue
module_736	2.90221699E-2	5.588E-2
module_567	6.07208783E-2	1.1288E-1
module_605	6.33056705E-2	1.1445E-1
module_554	7.18243156E-2	1.3755E-1
module_552	9.40070451E-2	1.6677E-1
module_682	1.02268363E-1	1.2675E-1
module_658	1.10414286E-1	1.3936E-1
module_596	1.25750997E-1	1.5834E-1
module_618	1.59824638E-1	1.984E-1
module_617	1.67448525E-1	2.6372E-1
module_569	1.77438129E-1	2.7544E-1
module_636	1.78338395E-1	2.1204E-1
module_747	2.0223725E-1	3.0519E-1
module_697	2.07502788E-1	2.3727E-1
module_701	2.18227435E-1	3.2796E-1
module_622	2.40763982E-1	3.1217E-1
module_586	2.50340666E-1	3.0992E-1
module_692	2.54129188E-1	2.7683E-1
module_540	2.70167399E-1	1.3561E-1
module_529	2.75480646E-1	4.096E-1
module_677	2.77075126E-1	3.7965E-1
module_796	2.78244339E-1	3.4913E-1
module_499	2.84982793E-1	4.1066E-1
module_528	3.2725926E-1	1.6597E-1
module_808	3.399925E-1	4.0718E-1
module_725	3.99012202E-1	4.7351E-1
module_640	4.29505363E-1	4.8531E-1
module_782	4.48457019E-1	5.0771E-1
module_585	4.67436066E-1	5.6763E-1
module_621	4.73138421E-1	5.0942E-1
module_659	5.00053955E-1	2.3306E-1
module_582	5.06419041E-1	5.5865E-1
module_530	5.19129665E-1	5.729E-1
module_562	5.29402773E-1	5.0744E-1
module_533	5.29776171E-1	5.8985E-1
module_589	5.29964699E-1	6.2699E-1
module_588	5.44230069E-1	5.8434E-1
module_638	5.61420665E-1	5.9321E-1
module_644	5.79881971E-1	5.8739E-1
module_698	6.00432527E-1	5.821E-1
module_568	6.00722263E-1	6.8255E-1
module_538	6.11929211E-1	6.7001E-1
module_556	6.13448694E-1	5.8534E-1
module_513	6.45451139E-1	7.3908E-1
module_525	6.779883E-1	3.1891E-1
module_572	7.04363371E-1	7.632E-1
module_551	7.09629233E-1	6.7023E-1
module_522	7.26726057E-1	7.6369E-1
module_587	7.33397637E-1	7.9223E-1
module_560	7.53165896E-1	7.7278E-1
module_592	7.54596207E-1	7.6074E-1
module_642	7.56918144E-1	7.3212E-1
module_539	8.28578072E-1	8.5199E-1
module_591	8.29298937E-1	8.2633E-1
module_512	8.34139978E-1	8.7842E-1
module_643	8.41532362E-1	8.1451E-1
module_593	8.5484364E-1	8.7221E-1
module_519	8.63055677E-1	8.8626E-1
module_571	9.30716338E-1	9.31E-1
module_583	9.40886094E-1	9.4062E-1
module_637	9.70464025E-1	9.7363E-1
