Name	chi2Pvalue	empPvalue
module_539	2.15853958E-1	2.4053E-1
module_538	2.19863377E-1	2.6496E-1
module_525	2.32464186E-1	2.9801E-1
module_659	2.41574149E-1	2.2243E-1
module_589	2.77572462E-1	4.525E-2
module_530	2.95773138E-1	3.4656E-1
module_596	3.06826356E-1	2.9466E-1
module_591	3.60942254E-1	3.8241E-1
module_533	3.86436144E-1	3.8606E-1
module_682	4.12646868E-1	3.5481E-1
module_636	4.20437313E-1	3.8966E-1
module_571	4.20641724E-1	3.9864E-1
module_677	4.31561273E-1	5.55E-2
module_592	4.43530017E-1	4.15E-1
module_697	4.47982103E-1	4.5231E-1
module_593	4.59850718E-1	4.7579E-1
module_560	4.67932003E-1	4.5097E-1
module_736	5.02779035E-1	4.3728E-1
module_540	5.04037211E-1	4.8738E-1
module_572	5.11953653E-1	5.4738E-1
module_621	5.47295183E-1	5.871E-1
module_554	5.49210765E-1	5.1545E-1
module_640	5.51451129E-1	5.7898E-1
module_562	5.55498857E-1	5.8905E-1
module_556	5.61408691E-1	6.0411E-1
module_519	5.62240139E-1	5.0153E-1
module_617	5.6244713E-1	5.3912E-1
module_567	5.69610838E-1	5.4695E-1
module_513	5.94871286E-1	1.8807E-1
module_658	5.97374814E-1	5.3966E-1
module_642	5.99454312E-1	6.1773E-1
module_569	6.01079799E-1	5.7305E-1
module_796	6.0163707E-1	5.6677E-1
module_529	6.28121179E-1	5.6876E-1
module_808	6.31868835E-1	5.8972E-1
module_698	6.38890948E-1	5.8993E-1
module_586	6.41966016E-1	6.108E-1
module_605	6.66677971E-1	6.2325E-1
module_568	6.66881545E-1	6.8138E-1
module_644	6.85395535E-1	6.6032E-1
module_512	6.92552167E-1	6.9854E-1
module_692	7.16570221E-1	7.2344E-1
module_528	7.28752412E-1	6.8294E-1
module_585	7.29116245E-1	7.3159E-1
module_701	7.42442341E-1	7.1595E-1
module_782	7.45701841E-1	7.1103E-1
module_725	7.49738624E-1	7.2007E-1
module_522	7.64569906E-1	8.0494E-1
module_552	7.64617914E-1	7.2906E-1
module_551	7.73900763E-1	8.0473E-1
module_618	7.82940877E-1	7.4774E-1
module_637	8.12165695E-1	7.9099E-1
module_587	8.54301561E-1	8.5976E-1
module_747	8.70291506E-1	8.4499E-1
module_638	8.70763388E-1	7.9009E-1
module_588	8.72226913E-1	8.6382E-1
module_643	8.87193095E-1	9.0067E-1
module_583	9.1346215E-1	9.1469E-1
module_622	9.33481609E-1	9.3927E-1
module_499	9.34175719E-1	9.1053E-1
module_582	9.35027947E-1	9.2318E-1
