Name	chi2Pvalue	empPvalue
module_659	9.66766592E-2	9.315E-2
module_528	1.35735525E-1	1.3336E-1
module_582	1.79040465E-1	2.0832E-1
module_499	1.80533875E-1	2.1261E-1
module_736	1.84610789E-1	2.1297E-1
module_596	1.98458749E-1	2.3062E-1
module_567	2.00208819E-1	2.4418E-1
module_554	2.1977622E-1	2.5014E-1
module_701	2.33551478E-1	2.7798E-1
module_529	2.3433862E-1	2.672E-1
module_747	2.47323344E-1	2.9024E-1
module_796	2.74121146E-1	3.0917E-1
module_808	2.76313962E-1	3.1133E-1
module_588	2.86651871E-1	3.0269E-1
module_636	2.88174224E-1	3.3045E-1
module_725	2.99954017E-1	3.4062E-1
module_552	3.01162988E-1	3.3259E-1
module_658	3.07727282E-1	3.4389E-1
module_677	3.43795117E-1	3.8853E-1
module_586	3.63446175E-1	3.9359E-1
module_618	3.64732347E-1	4.0086E-1
module_605	3.68709119E-1	4.0374E-1
module_682	3.74508183E-1	4.0485E-1
module_617	4.22909359E-1	4.6051E-1
module_569	4.52633199E-1	4.771E-1
module_782	4.70166531E-1	4.9696E-1
module_589	4.96246874E-1	5.4225E-1
module_585	5.38813582E-1	5.7741E-1
module_644	5.61547531E-1	5.4438E-1
module_622	5.88098892E-1	5.0784E-1
module_512	6.05801705E-1	6.4234E-1
module_697	6.28322541E-1	4.9338E-1
module_568	6.34835832E-1	6.3724E-1
module_638	6.56920442E-1	6.7417E-1
module_540	6.68070206E-1	6.3356E-1
module_513	6.70831705E-1	7.0548E-1
module_621	6.73818573E-1	5.9179E-1
module_698	6.78413288E-1	6.4407E-1
module_692	7.33159664E-1	6.031E-1
module_560	7.48149888E-1	7.7211E-1
module_640	7.71700421E-1	7.0262E-1
module_643	8.33530528E-1	8.4337E-1
module_551	8.43605297E-1	8.5852E-1
module_637	8.51128747E-1	8.5922E-1
module_556	8.53551257E-1	8.1365E-1
module_538	8.62871592E-1	8.7765E-1
module_525	8.65765398E-1	6.5812E-1
module_642	8.66975793E-1	8.7511E-1
module_587	8.70891953E-1	8.6625E-1
module_562	8.75301119E-1	8.3608E-1
module_572	8.79219941E-1	8.6449E-1
module_591	9.18810565E-1	9.2492E-1
module_519	9.20596936E-1	9.3102E-1
module_583	9.27048115E-1	9.3358E-1
module_539	9.41978114E-1	9.4928E-1
module_522	9.53567249E-1	9.5795E-1
module_593	9.55671577E-1	9.5781E-1
module_533	9.58774425E-1	9.6334E-1
module_592	9.63153033E-1	9.6541E-1
module_571	9.63837172E-1	9.6918E-1
module_530	9.64768465E-1	9.676E-1
