chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1884751	2322993	+	meta_85452_79906	meta_KIAA1751_MORN1	4	1.64395975E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2336240	3355185	+	meta_5192_63976	meta_PEX10_PRDM16	11	3.74744752E-1	DAVIES_SUCCESS
chr1	2407753	2522908	+	meta_9651_127281	meta_PLCH2_FAM213B	4	4.39767976E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2938045	3816857	+	meta_140625_339448	meta_ACTRT2_C1orf174	3	2.41392955E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11333254	11986485	+	meta_29914_90231	meta_UBIAD1_KIAA2013	64	4.06881225E-1	DAVIES_SUCCESS
chr1	12040237	12204264	+	meta_9927_943	meta_MFN2_TNFRSF8	11	8.10774343E-2	DAVIES_SUCCESS
chr1	15853351	16383821	+	meta_23341_1188	meta_DNAJC16_CLCNKB	2	1.14970195E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	18434239	19638640	+	meta_84966_8574	meta_IGSF21_AKR7A2	15	5.90179141E-1	DAVIES_SUCCESS
chr1	18434239	20446059	+	meta_84966_8574_26279	meta_IGSF21_AKR7A2_PLA2G2D	16	6.53261075E-1	DAVIES_SUCCESS
chr1	19629201	20239437	+	meta_8574_23252	meta_AKR7A2_OTUD3	6	5.30668158E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19629201	20446059	+	meta_8574_26279	meta_AKR7A2_PLA2G2D	5	7.77553014E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20490483	21113799	+	meta_391013_50809	meta_PLA2G2C_HP1BP3	9	1.84820069E-2	DAVIES_SUCCESS
chr1	24742244	25170815	+	meta_57185_25932	meta_NIPAL3_CLIC4	10	8.48299168E-1	DAVIES_SUCCESS
chr1	24742244	26647014	+	meta_57185_25932_57035_1043	meta_NIPAL3_CLIC4_C1orf63_CD52	29	2.69473798E-7	DAVIES_SUCCESS
chr1	26644410	26699266	+	meta_1043_257101	meta_CD52_ZNF683	5	1.80726014E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	28099693	28905057	+	meta_23673_2140_54952	meta_STX12_EYA3_TRNAU1AP	4	4.90025725E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	28296854	28905057	+	meta_2140_54952	meta_EYA3_TRNAU1AP	3	4.64092002E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	31205314	31381480	+	meta_7805_9672	meta_LAPTM5_SDC3	6	9.70135329E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	40723721	40888998	+	meta_10269_64744	meta_ZMPSTE24_SMAP2	4	5.68475935E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	54638026	55474465	+	meta_606495_7809	meta_CYB5RL_BSND	43	4.16333634E-14	DAVIES_LOWPRECISION_FAREBROTHER_SUCCESS
chr1	62146718	62678001	+	meta_83941_54596	meta_TM2D1_L1TD1	11	8.15527136E-1	DAVIES_SUCCESS
chr1	67465014	67896123	+	meta_23169_26135	meta_SLC35D1_SERBP1	2	9.52784873E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	77554666	78482995	+	meta_10026_11080	meta_PIGK_DNAJB4	8	2.96245298E-1	DAVIES_SUCCESS
chr1	85018803	85462796	+	meta_1486_255231	meta_CTBS_MCOLN2	8	7.23669483E-1	DAVIES_SUCCESS
chr1	85623355	85725355	+	meta_84144_148423	meta_SYDE2_C1orf52	3	7.329301E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	92711954	92853732	+	meta_11146_79871	meta_GLMN_RPAP2	9	1.89008176E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	94335013	94984219	+	meta_30836_2730_5825	meta_DNTTIP2_GCLM_ABCD3	3	5.61284861E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	100315639	100548929	+	meta_178_64645	meta_AGL_HIAT1	2	7.75521121E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	109289284	109506121	+	meta_6814_254268	meta_STXBP3_AKNAD1	13	2.59906128E-1	DAVIES_SUCCESS
chr1	109289284	110155705	+	meta_6814_254268_2780	meta_STXBP3_AKNAD1_GNAT2	21	1.77234294E-5	DAVIES_SUCCESS
chr1	109289284	110226619	+	meta_6814_254268_2946	meta_STXBP3_AKNAD1_GSTM2	21	1.42568623E-3	DAVIES_SUCCESS
chr1	109289284	110226619	+	meta_6814_2946	meta_STXBP3_GSTM2	19	1.19221673E-3	DAVIES_SUCCESS
chr1	149874871	151222007	+	meta_9900_4170_8394	meta_SV2A_MCL1_PIP5K1A	10	1.00759448E-1	DAVIES_SUCCESS
chr1	151009028	151119140	+	meta_149428_10500	meta_BNIPL_SEMA6C	5	8.18737464E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	151512780	152131704	+	meta_7286_126638	meta_TUFT1_RPTN	2	2.57870514E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	153330329	153514241	+	meta_6280_6276	meta_S100A9_S100A5	3	8.56982984E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	153533584	154441926	+	meta_6273_3570	meta_S100A2_IL6R	9	8.24627759E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	153533584	155300909	+	meta_6273_3570_23623	meta_S100A2_IL6R_RUSC1	10	8.53521415E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	153533584	155829191	+	meta_6273_3570_23623_54856	meta_S100A2_IL6R_RUSC1_GON4L	12	9.31416954E-1	DAVIES_SUCCESS
chr1	153533584	155829191	+	meta_6273_3570_5313_23623_54856	meta_S100A2_IL6R_PKLR_RUSC1_GON4L	12	9.31416954E-1	DAVIES_SUCCESS
chr1	153634263	154127592	+	meta_3608_91181	meta_ILF2_NUP210L	7	3.21661796E-1	DAVIES_SUCCESS
chr1	154451953	154531120	+	meta_126669_55585	meta_SHE_UBE2Q1	9	8.36575595E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	154897207	154951725	+	meta_10654_1163	meta_PMVK_CKS1B	4	1.60461202E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	155916629	156595517	+	meta_9181_60484	meta_ARHGEF2_HAPLN2	5	5.48313059E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	160061128	160328742	+	meta_93185_23385	meta_IGSF8_NCSTN	3	8.73604525E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	167885912	168171351	+	meta_25874_261726	meta_MPC2_TIPRL	5	6.42700839E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	169481191	169822229	+	meta_2153_55732	meta_F5_C1orf112	9	1.83796181E-1	DAVIES_SUCCESS
chr1	173446485	173755840	+	meta_9588_27252	meta_PRDX6_KLHL20	4	4.06271247E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	182615791	182922553	+	meta_85397_81626	meta_RGS8_SHCBP1L	3	7.73051964E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	182868999	184006878	+	meta_81626_23127	meta_SHCBP1L_COLGALT2	13	2.49571623E-1	DAVIES_SUCCESS
chr1	200311671	201368669	+	meta_554279_5317_3898	meta_LINC00862_PKP1_LAD1	6	8.68882262E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	203136938	204135465	+	meta_4608_55224_5972	meta_MYBPH_ETNK2_REN	8	7.23468587E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	207494816	207898053	+	meta_1604_1379	meta_CD55_CR1L	11	2.92092102E-1	DAVIES_SUCCESS
chr1	207494816	207968861	+	meta_1604_1379_4179	meta_CD55_CR1L_CD46	14	1.92971983E-1	DAVIES_SUCCESS
chr1	207494816	207968861	+	meta_1604_4179	meta_CD55_CD46	9	1.29582034E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	212537815	212990167	+	meta_55248_128387	meta_TMEM206_TATDN3	4	3.12139885E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	227177565	228336655	+	meta_8476_2987	meta_CDC42BPA_GUK1	11	2.36203074E-1	DAVIES_SUCCESS
chr10	5566923	6159422	+	meta_810_84991	meta_CALML3_RBM17	7	3.57323221E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	7792924	8117164	+	meta_22944_2625	meta_KIN_GATA3	4	1.50885341E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	23983674	25351208	+	meta_56243_219670	meta_KIAA1217_ENKUR	19	7.19988199E-1	DAVIES_SUCCESS
chr10	63661012	64431771	+	meta_84159_22891	meta_ARID5B_ZNF365	23	9.08480916E-1	DAVIES_SUCCESS
chr10	91137812	91166244	+	meta_439996_3434	meta_IFIT1B_IFIT1	5	5.24396656E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	92500575	93274520	+	meta_3363_143279	meta_HTR7_HECTD2	4	5.0718186E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	97471535	97698415	+	meta_953_100127889	meta_ENTPD1_C10orf131	4	6.2290782E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	101419262	101945814	+	meta_57089_10613	meta_ENTPD7_ERLIN1	7	5.58047387E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	104162373	104498946	+	meta_5662_118980	meta_PSD_SFXN2	137	7.28184915E-1	DAVIES_SUCCESS
chr10	104238985	105110891	+	meta_10121_84108	meta_ACTR1A_PCGF6	115	5.48025637E-1	DAVIES_SUCCESS
chr10	120794540	121704170	+	meta_8661_11196	meta_EIF3A_SEC23IP	2	4.29941644E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	125767181	126107545	+	meta_51363_4942	meta_CHST15_OAT	6	1.71302088E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	193079	1785501	+	meta_147199_55367_81532	meta_SCGB1C1_PIDD_MOB2	20	3.9266002E-1	DAVIES_SUCCESS
chr11	2425745	3253616	+	meta_29850_116534	meta_TRPM5_MRGPRE	76	5.39574231E-1	DAVIES_SUCCESS
chr11	5269501	5667011	+	meta_3048_79339	meta_HBG2_OR51B4	20	4.12335875E-2	DAVIES_SUCCESS
chr11	5269501	6632099	+	meta_3048_3611	meta_HBG2_ILK	23	3.70739722E-2	DAVIES_SUCCESS
chr11	5528529	6129968	+	meta_50613_196335	meta_UBQLN3_OR56B4	6	8.32774192E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	5617330	6502709	+	meta_117854_196335_23647	meta_TRIM6_OR56B4_ARFIP2	10	1.09049058E-1	DAVIES_SUCCESS
chr11	6023280	6633475	+	meta_120793_6881	meta_OR56A4_TAF10	4	2.28525015E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	6129008	6502709	+	meta_196335_23647	meta_OR56B4_ARFIP2	6	3.60808355E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	6502676	6898850	+	meta_26515_283297	meta_TIMM10B_OR10A4	4	2.33757076E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	46878267	47374253	+	meta_4038_4607	meta_LRP4_MYBPC3	214	2.50698868E-1	DAVIES_SUCCESS
chr11	46878267	47606115	+	meta_4038_4607_4722	meta_LRP4_MYBPC3_NDUFS3	258	3.33790071E-1	DAVIES_SUCCESS
chr11	47236492	47574792	+	meta_1643_10658	meta_DDB2_CELF1	191	2.63799632E-1	DAVIES_SUCCESS
chr11	55587105	56044095	+	meta_219438_390155	meta_OR5D18_OR5T1	2	6.92454451E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	62201013	62359109	+	meta_79026_64852	meta_AHNAK_TUT1	6	4.88779124E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	62201013	62441162	+	meta_79026_64852_790955	meta_AHNAK_TUT1_C11orf83	6	4.88779124E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	62380212	62997124	+	meta_6094_387601	meta_ROM1_SLC22A25	5	6.50329908E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	63742078	66051685	+	meta_1351_10938_387778_23649_254263	meta_COX8A_EHD1_SPDYC_POLA2_CNIH2	9	5.67066143E-1	DAVIES_SUCCESS
chr11	66330934	67276199	+	meta_8722_10263	meta_CTSF_CDK2AP2	3	4.44748667E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	67118235	67380012	+	meta_57804_4723	meta_POLD4_NDUFV1	2	3.42565422E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	67118235	67801448	+	meta_57804_100616403	meta_POLD4_MIR4691	2	8.62056086E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	71164216	72145724	+	meta_55191_81570	meta_NADSYN1_CLPB	7	6.97060595E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	71713910	71955220	+	meta_4926_401	meta_NUMA1_PHOX2A	4	9.12985976E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	88026759	89322779	+	meta_1075_50507	meta_CTSC_NOX4	4	4.88186942E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr11	116660085	116694011	+	meta_116519_337	meta_APOA5_APOA4	117	1E-12	DAVIES_LOWPRECISION_FAREBROTHER_FAIL
