chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	901876	1334718	+	meta_84069_81669	meta_PLEKHN1_CCNL2	5	1.54216074E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	1167447	+	meta_9636_51150	meta_ISG15_SDF4	32	5.62994945E-1	DAVIES_SUCCESS
chr1	948846	1269844	+	meta_9636_254173_83756	meta_ISG15_TTLL10_TAS1R3	48	1.34122272E-1	DAVIES_SUCCESS
chr1	948846	2139172	+	meta_9636_83756_81669_199990	meta_ISG15_TAS1R3_CCNL2_C1orf86	73	3.29253818E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_81669_199990_127281	meta_ISG15_TTLL10_TAS1R3_CCNL2_C1orf86_FAM213B	156	3.21489015E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_9906_199990_127281	meta_ISG15_TTLL10_TAS1R3_SLC35E2_C1orf86_FAM213B	166	3.55245674E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_83756_81669_2782_127281	meta_ISG15_TAS1R3_CCNL2_GNB1_FAM213B	104	4.47128297E-1	DAVIES_SUCCESS
chr1	1109285	1269844	+	meta_254173_83756	meta_TTLL10_TAS1R3	43	1.27430879E-1	DAVIES_SUCCESS
chr1	1138887	1444689	+	meta_8784_126789_81669_83858	meta_TNFRSF18_PUSL1_CCNL2_ATAD3B	52	2.49494336E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_219293	meta_TNFRSF4_ATAD3C	33	3.31433524E-1	DAVIES_SUCCESS
chr1	1146705	1655791	+	meta_7293_118424_219293_728642	meta_TNFRSF4_UBE2J2_ATAD3C_CDK11A	41	3.76134421E-1	DAVIES_SUCCESS
chr1	1146705	2139172	+	meta_7293_219293_199990	meta_TNFRSF4_ATAD3C_C1orf86	96	3.53413898E-1	DAVIES_SUCCESS
chr1	1167628	1510262	+	meta_126792_29101	meta_B3GALT6_SSU72	47	3.474272E-1	DAVIES_SUCCESS
chr1	1177825	1444689	+	meta_388581_118424_83858	meta_FAM132A_UBE2J2_ATAD3B	38	3.88378034E-1	DAVIES_SUCCESS
chr1	1243993	1334718	+	meta_126789_81669	meta_PUSL1_CCNL2	7	2.40366597E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1444689	+	meta_126789_81669_83858	meta_PUSL1_CCNL2_ATAD3B	23	1.93089248E-1	DAVIES_SUCCESS
chr1	1243993	1962192	+	meta_126789_81669_83858_2563	meta_PUSL1_CCNL2_ATAD3B_GABRD	25	2.19963553E-1	DAVIES_SUCCESS
chr1	1361507	1655775	+	meta_643965_984	meta_TMEM88B_CDK11B	8	4.03851049E-1	DAVIES_SUCCESS
chr1	1361507	1962192	+	meta_643965_2563	meta_TMEM88B_GABRD	5	3.63546618E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1677438	+	meta_219293_728661	meta_ATAD3C_SLC35E2B	15	3.98013082E-1	DAVIES_SUCCESS
chr1	1385068	1711508	+	meta_219293_65220	meta_ATAD3C_NADK	25	4.29215098E-1	DAVIES_SUCCESS
chr1	1385068	1822526	+	meta_219293_2782	meta_ATAD3C_GNB1	54	3.6249674E-1	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	53	3.90085931E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_127281	meta_GABRD_FAM213B	46	4.7835368E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_8764_127281	meta_GABRD_TNFRSF14_FAM213B	58	4.16958057E-1	DAVIES_SUCCESS
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	129	4.35231178E-1	DAVIES_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	117	3.97058122E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	178	6.52950003E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	178	6.52950003E-1	DAVIES_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	140	7.65649343E-1	DAVIES_SUCCESS
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	154	8.74299136E-1	DAVIES_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	147	7.92208147E-1	DAVIES_SUCCESS
chr1	6472497	6639817	+	meta_54626_80835	meta_HES2_TAS1R1	89	9.04366775E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	149	7.80132148E-1	DAVIES_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	110	4.07915197E-1	DAVIES_SUCCESS
chr1	7903142	8404227	+	meta_10911_11315_50651	meta_UTS2_PARK7_SLC45A1	178	5.01111135E-1	DAVIES_SUCCESS
chr1	7903142	9148510	+	meta_10911_50651_6518	meta_UTS2_SLC45A1_SLC2A5	264	5.27151902E-1	DAVIES_SUCCESS
chr1	8021713	8404227	+	meta_11315_50651	meta_PARK7_SLC45A1	103	7.48089717E-1	DAVIES_SUCCESS
chr1	8384389	9148510	+	meta_50651_6518	meta_SLC45A1_SLC2A5	180	6.43324233E-1	DAVIES_SUCCESS
chr1	8384389	9674935	+	meta_50651_6518_199953	meta_SLC45A1_SLC2A5_TMEM201	216	5.48289082E-1	DAVIES_SUCCESS
chr1	9097004	9674935	+	meta_6518_199953	meta_SLC2A5_TMEM201	148	4.70263442E-1	DAVIES_SUCCESS
chr1	9097004	9674935	+	meta_6518_9563_199953	meta_SLC2A5_H6PD_TMEM201	218	3.20556939E-1	DAVIES_SUCCESS
chr1	9097004	10003427	+	meta_6518_84328	meta_SLC2A5_LZIC	140	7.43161917E-1	DAVIES_SUCCESS
chr1	9294862	9674935	+	meta_9563_199953	meta_H6PD_TMEM201	106	1.50913E-1	DAVIES_SUCCESS
chr1	10003485	10690815	+	meta_64802_1325_5195	meta_NMNAT1_CORT_PEX14	218	5.28701912E-1	DAVIES_SUCCESS
chr1	10003485	10690815	+	meta_64802_5195	meta_NMNAT1_PEX14	211	5.3752144E-1	DAVIES_SUCCESS
chr1	10093040	10532613	+	meta_10277_1676	meta_UBE4B_DFFA	129	3.7184928E-1	DAVIES_SUCCESS
chr1	10093040	10690815	+	meta_10277_5195	meta_UBE4B_PEX14	233	4.09217663E-1	DAVIES_SUCCESS
