gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
8510	MMP23B	0
23261	CAMTA1	1035
653606	PRAMEF22	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
391004	PRAMEF17	0
11223	MST1L	0
55629	PNRC2	0
10772	SRSF10	0
1600	DAB1	1913
653820	FAM72B	0
337875	HIST2H2BA	0
2210	FCGR1B	0
100286793	LINC00875	0
100130000	LOC100130000	0
644591	PPIAL4G	0
728833	FAM72D	0
767846	PFN1P2	0
9554	SEC22B	0
100288805	HYDIN2	0
25832	NBPF14	0
645142	PPIAL4D	0
284565	NBPF15	0
730262	PPIAL4E	0
728936	NBPF16	0
728945	PPIAL4F	0
645166	LOC645166	0
388692	LOC388692	0
100132417	FCGR1C	0
729533	FAM72A	0
2104	ESRRG	1177
55691	FRMD4A	1305
119016	AGAP4	0
439965	FAM35DP	0
1517	CTSL1P2	0
728404	AGAP8	0
728407	LOC728407	0
5592	PRKG1	1492
65217	PCDH15	2147
29119	CTNNA3	2188
10718	NRG3	1335
653548	DUX4L3	0
100133161	LOC100133161	0
3048	HBG2	1088
89797	NAV2	1144
4745	NELL1	1292
57689	LRRC4C	1418
26011	TENM4	1028
1740	DLG2	1983
642612	TRIM49C	0
53942	CNTN5	1986
50863	NTM	1350
4978	OPCML	1405
100288778	LOC100288778	0
6660	SOX5	1278
56899	ANKS1B	1085
121256	TMEM132D	1190
2262	GPC5	1404
10082	GPC6	1248
440153	OR11H12	0
642426	LOC642426	0
404785	POTEG	0
101101776	LOC101101776	0
641455	POTEM	0
64067	NPAS3	1283
9628	RGS6	1121
9369	NRXN3	1644
9834	KIAA0125	0
8755	ADAM6	0
727832	GOLGA6L6	0
729786	GOLGA8CP	0
100132101	HERC2P7	0
390535	GOLGA8EP	0
440243	LOC440243	0
283768	GOLGA8G	0
653075	GOLGA8T	0
26082	DKFZP434L187	0
89832	CHRFAM7A	0
728047	GOLGA8O	0
647042	GOLGA6L10	0
100133144	UBE2Q2P3	0
440295	GOLGA6L9	0
440297	CSPG4P8	0
123624	AGBL1	1126
26682	OR4F4	0
100124412	FAM138E	0
374666	WASH3P	0
100288486	DDX11L9	0
527	ATP6V0C	0
51005	AMDHD2	0
752014	CEMP1	0
100422974	MIR3178	0
54715	RBFOX1	3417
730013	ABCC6P2	0
23117	NPIPL3	0
100190986	LOC100190986	0
730092	RRN3P1	0
100132247	LOC100132247	0
6818	SULT1A3	0
613037	LOC613037	0
729264	TP53TG3D	0
729355	TP53TG3B	0
386757	SLC6A10P	0
649159	LINC00273	0
51741	WWOX	2136
1012	CDH13	2531
400581	GRAPL	0
40	ASIC2	1647
388372	CCL4L2	0
644172	LOC644172	0
147081	CRHR1-IT1	0
100130148	MAPT-IT1	0
246744	STH	0
51326	ARL17A	0
9884	LRRC37A	0
728806	NSFP1	0
474170	LRRC37A2	0
374819	LRRC37A3	0
388574	FLJ43681	0
9229	DLGAP1	1104
1630	DCC	1304
399844	FLJ45445	0
238	ALK	1088
9378	NRXN1	1487
1496	CTNNA2	1966
654342	LOC654342	0
151009	LOC151009	0
57628	DPP10	1197
653269	POTEI	0
653275	CFC1B	0
646743	LOC646743	0
55997	CFC1	0
653781	POTEJ	0
53353	LRP1B	2450
2066	ERBB4	1403
23236	PLCB1	1082
11122	PTPRT	1425
100500862	MIR3648	0
100500815	MIR3687	0
100132288	TEKT4P2	0
574	BAGE	0
149992	ANKRD30BP2	0
861	RUNX1	1241
1826	DSCAM	1031
23784	POTEH	0
81061	OR11H1	0
2679	GGT3P	0
728233	PI4KAP1	0
85376	RIMBP3	0
152330	CNTN4	1428
2917	GRM7	1174
79750	ZNF385D	1726
55799	CACNA2D3	1118
2272	FHIT	2265
100302212	MIR1324	0
647476	FLJ20518	0
401074	LOC401074	0
6092	ROBO2	1606
131034	CPNE4	1082
254827	NAALADL2	1033
3166	HMX1	0
650293	LOC650293	0
100287441	USP17L20	0
80333	KCNIP4	1426
79799	UGT2A3	0
401145	CCSER1	1053
26583	DUX2	0
653544	DUX4L6	0
441056	DUX4L4	0
653545	DUX4L5	0
1501	CTNND2	1023
5144	PDE4D	1482
728340	GTF2H2C	0
653188	GUSBP3	0
100272216	LOC100272216	0
8293	SERF1A	0
6607	SMN2	0
11039	SMA4	0
11042	SMA5	0
653238	GTF2H2B	0
441081	LOC441081	0
647859	LOC647859	0
57451	TENM2	1001
84321	THOC3	0
81399	OR4F16	0
346007	EYS	1912
154215	NKAIN2	1200
5071	PARK2	1825
100288524	LOC100288524	0
442497	LOC442497	0
5154	PDGFA	0
441307	FLJ44511	0
221935	SDK1	1312
1607	DGKB	1064
654816	NCF1B	0
84163	GTF2IRD2	0
442582	STAG3L2	0
654817	NCF1C	0
2970	GTF2IP1	0
729438	GATSL2	0
9863	MAGI2	1979
5218	CDK14	1036
548644	POLR2J3	0
2918	GRM8	1183
