chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	761585	762902	-	79854	LINC00115	5	8.27965246E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	5	8.27965246E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	5	8.27965246E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	2	6.13915027E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	20	5.28721641E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	24	2.83583142E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	39	2.46509093E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	31	1.55709083E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	28	3.97102348E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	29	4.24173357E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	28	5.32749184E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	35	6.28242792E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	26	9.34364867E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	27	9.44150129E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	25	9.53330376E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	24	9.53230448E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	19	9.70331592E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	17	9.51543745E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	9.16878736E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
