chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1656276	2522908	+	meta_9906_199990_127281	meta_SLC35E2_C1orf86_FAM213B	9	1.51244864E-2	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	6	1.68895685E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	2522908	+	meta_2782_127281	meta_GNB1_FAM213B	7	1.6145062E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2115898	2522908	+	meta_199990_127281	meta_C1orf86_FAM213B	5	1.03698967E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2487804	2522908	+	meta_8764_127281	meta_TNFRSF14_FAM213B	1	2.19627E-1	NOT_RUN
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	2	3.11738523E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	2	1.75201887E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	2	1.75201887E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	2	1.75201887E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	2	1.75201887E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	7	2.24651358E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	10	2.93926711E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	8	5.03176962E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	6	3.41206713E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	8404227	+	meta_10911_11315_50651	meta_UTS2_PARK7_SLC45A1	7	1.50183797E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	9148510	+	meta_10911_50651_6518	meta_UTS2_SLC45A1_SLC2A5	9	1.58316483E-1	DAVIES_SUCCESS
chr1	8021713	8404227	+	meta_11315_50651	meta_PARK7_SLC45A1	2	9.54369827E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8384389	9148510	+	meta_50651_6518	meta_SLC45A1_SLC2A5	3	7.49605641E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8384389	9674935	+	meta_50651_6518_199953	meta_SLC45A1_SLC2A5_TMEM201	4	1.01559252E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9097004	9674935	+	meta_6518_199953	meta_SLC2A5_TMEM201	3	3.7228437E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9097004	9674935	+	meta_6518_9563_199953	meta_SLC2A5_H6PD_TMEM201	7	4.4996829E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9097004	10003427	+	meta_6518_84328	meta_SLC2A5_LZIC	3	5.13025128E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9294862	9674935	+	meta_9563_199953	meta_H6PD_TMEM201	5	3.8410066E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10003485	10690815	+	meta_64802_1325_5195	meta_NMNAT1_CORT_PEX14	10	7.47385089E-1	DAVIES_SUCCESS
chr1	10003485	10690815	+	meta_64802_5195	meta_NMNAT1_PEX14	9	6.94276755E-1	DAVIES_SUCCESS
chr1	10093040	10532613	+	meta_10277_1676	meta_UBE4B_DFFA	9	9.68796623E-1	DAVIES_SUCCESS
chr1	10093040	10690815	+	meta_10277_5195	meta_UBE4B_PEX14	13	7.89804163E-1	DAVIES_SUCCESS
chr1	11866152	12727097	+	meta_1185_4879_343066	meta_CLCN6_NPPB_AADACL4	107	8.9051625E-2	DAVIES_SUCCESS
chr1	11905766	12727097	+	meta_4878_4879_343066	meta_NPPA_NPPB_AADACL4	82	5.53532152E-2	DAVIES_SUCCESS
chr1	11917520	11986485	+	meta_4879_90231	meta_NPPB_KIAA2013	65	9.472921E-2	DAVIES_SUCCESS
chr1	11917520	12727097	+	meta_4879_343066	meta_NPPB_AADACL4	66	9.33095431E-2	DAVIES_SUCCESS
chr1	13801444	14151574	+	meta_126755_7799	meta_LRRC38_PRDM2	10	6.34324246E-1	DAVIES_SUCCESS
chr1	14925212	15817895	+	meta_23254_51032	meta_KAZN_CELA2B	14	1.3229538E-1	DAVIES_SUCCESS
chr1	14925212	16400127	+	meta_23254_51032_348487	meta_KAZN_CELA2B_FAM131C	17	1.65753915E-1	DAVIES_SUCCESS
chr1	15479027	16763919	+	meta_55092_79180_374955	meta_TMEM51_EFHD2_SPATA21	9	5.92233514E-1	DAVIES_SUCCESS
chr1	15736390	16763919	+	meta_79180_374955	meta_EFHD2_SPATA21	8	6.45782612E-1	DAVIES_SUCCESS
chr1	15764937	15817895	+	meta_11330_51032	meta_CTRC_CELA2B	6	6.8035286E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15817323	16061264	+	meta_842_23207	meta_CASP9_PLEKHM2	4	5.26252855E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15853351	17299474	+	meta_23341_7709_9696	meta_DNAJC16_ZBTB17_CROCC	13	3.38207616E-2	DAVIES_SUCCESS
chr1	16010826	16113084	+	meta_23207_54751	meta_PLEKHM2_FBLIM1	5	2.70521931E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16068986	16400127	+	meta_388595_348487	meta_TMEM82_FAM131C	4	6.19578004E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16355620	16400127	+	meta_1188_348487	meta_CLCNKB_FAM131C	4	5.44041324E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
