chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	5	3.10441218E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	15	4.83840981E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	15	4.83840981E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	14	5.1682355E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	3	6.82766949E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	860529	879961	+	148398	SAMD11	5	2.30888837E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	879582	894679	-	26155	NOC2L	5	2.30888837E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	6	1.91627088E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	6	1.8578732E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	7	2.36095753E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	6	1.96562405E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	9	1.14342554E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	27	2.29667068E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	29	3.85601156E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	46	4.17859477E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	39	6.96057374E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	34	3.21717196E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	35	3.11725658E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	34	2.89085456E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	42	3.64333573E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	30	2.14365517E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	30	2.1637484E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	28	2.56438676E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	26	2.01786766E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	21	2.02273628E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	21	2.18787988E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	13	3.03138871E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	13	3.45904102E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	9	4.93838591E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	11	3.63830735E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	13	3.14546734E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	12	2.81620254E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	12	3.46170006E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	11	4.17641936E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	9	3.77606379E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	10	1.80366903E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	10	1.80366903E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	11	1.5642763E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	8	1.3606934E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	7	1.10052632E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	7	5.20751142E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	9	7.06427123E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	22	2.13781242E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	28	4.09756388E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	28	4.09756388E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	26	5.22427014E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	13	7.43257706E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	6	5.6482351E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1571099	1655775	-	984	CDK11B	7	3.93351167E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	14	4.74437764E-1	DAVIES_SUCCESS
chr1	1631377	1633247	+	8511	MMP23A	4	2.44966617E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1634169	1655791	-	728642	CDK11A	7	3.93351167E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	14	4.74437764E-1	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	25	6.1783475E-1	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	56	7.33597132E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	32	7.3291992E-1	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	31	7.23336876E-1	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	28	6.32568173E-1	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	12	1.53320251E-1	DAVIES_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	89	1.23773837E-2	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	66	9.00272798E-3	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	123	7.40953989E-3	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	134	1.64862373E-1	DAVIES_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	84	2.11894094E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	89	2.23084504E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	74	3.13216014E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	68	7.80968646E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	60	6.91759547E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	46	6.69781415E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	46	5.2595928E-1	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	45	5.1394012E-1	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	52	4.63642142E-1	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	47	3.82234623E-1	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	47	3.82234623E-1	DAVIES_SUCCESS
