chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	901876	1334718	+	meta_84069_81669	meta_PLEKHN1_CCNL2	16	1.5345107E-1	DAVIES_SUCCESS
chr1	948846	1167447	+	meta_9636_51150	meta_ISG15_SDF4	37	1.72480791E-1	DAVIES_SUCCESS
chr1	948846	1269844	+	meta_9636_254173_83756	meta_ISG15_TTLL10_TAS1R3	63	2.39798442E-1	DAVIES_SUCCESS
chr1	948846	2139172	+	meta_9636_83756_81669_199990	meta_ISG15_TAS1R3_CCNL2_C1orf86	91	7.21881598E-3	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_81669_199990_127281	meta_ISG15_TTLL10_TAS1R3_CCNL2_C1orf86_FAM213B	180	1.82746263E-2	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_9906_199990_127281	meta_ISG15_TTLL10_TAS1R3_SLC35E2_C1orf86_FAM213B	190	2.06750687E-2	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_83756_81669_2782_127281	meta_ISG15_TAS1R3_CCNL2_GNB1_FAM213B	128	5.3306322E-1	DAVIES_SUCCESS
chr1	1109285	1269844	+	meta_254173_83756	meta_TTLL10_TAS1R3	54	3.35223059E-1	DAVIES_SUCCESS
chr1	1138887	1444689	+	meta_8784_126789_81669_83858	meta_TNFRSF18_PUSL1_CCNL2_ATAD3B	68	2.22640849E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_219293	meta_TNFRSF4_ATAD3C	39	1.2357117E-1	DAVIES_SUCCESS
chr1	1146705	1655791	+	meta_7293_118424_219293_728642	meta_TNFRSF4_UBE2J2_ATAD3C_CDK11A	52	1.45120029E-1	DAVIES_SUCCESS
chr1	1146705	2139172	+	meta_7293_219293_199990	meta_TNFRSF4_ATAD3C_C1orf86	105	6.69442165E-3	DAVIES_SUCCESS
chr1	1167628	1510262	+	meta_126792_29101	meta_B3GALT6_SSU72	52	3.69081197E-1	DAVIES_SUCCESS
chr1	1177825	1444689	+	meta_388581_118424_83858	meta_FAM132A_UBE2J2_ATAD3B	47	1.908379E-1	DAVIES_SUCCESS
chr1	1243993	1334718	+	meta_126789_81669	meta_PUSL1_CCNL2	18	2.56105772E-1	DAVIES_SUCCESS
chr1	1243993	1444689	+	meta_126789_81669_83858	meta_PUSL1_CCNL2_ATAD3B	38	2.66074721E-1	DAVIES_SUCCESS
chr1	1243993	1962192	+	meta_126789_81669_83858_2563	meta_PUSL1_CCNL2_ATAD3B_GABRD	50	2.10457483E-1	DAVIES_SUCCESS
chr1	1361507	1655775	+	meta_643965_984	meta_TMEM88B_CDK11B	14	1.75351969E-1	DAVIES_SUCCESS
chr1	1361507	1962192	+	meta_643965_2563	meta_TMEM88B_GABRD	19	8.36079949E-2	DAVIES_SUCCESS
chr1	1385068	1677438	+	meta_219293_728661	meta_ATAD3C_SLC35E2B	23	1.97963891E-1	DAVIES_SUCCESS
chr1	1385068	1711508	+	meta_219293_65220	meta_ATAD3C_NADK	34	3.41614892E-1	DAVIES_SUCCESS
chr1	1385068	1822526	+	meta_219293_2782	meta_ATAD3C_GNB1	65	5.74330085E-1	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	60	7.00908859E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_127281	meta_GABRD_FAM213B	59	3.32626961E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_8764_127281	meta_GABRD_TNFRSF14_FAM213B	72	3.88585237E-1	DAVIES_SUCCESS
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	143	8.88309689E-1	DAVIES_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	133	6.81678734E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	195	7.33617673E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	195	7.33617673E-1	DAVIES_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	147	6.80528251E-1	DAVIES_SUCCESS
