chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	1	8.013E-1	NOT_RUN
chr1	761585	762902	-	79854	LINC00115	11	3.97184156E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	11	3.97184156E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	11	2.63951258E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	2	1.08197707E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	860529	879961	+	148398	SAMD11	2	1.08197707E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	879582	894679	-	26155	NOC2L	2	1.08197707E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	2	1.08197707E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	2	8.11787367E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	3	1.43674509E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	2	4.54608527E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	4	5.0342187E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	22	3.74041604E-2	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	26	5.26445192E-2	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	41	1.44547312E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	34	5.71949456E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	30	6.72323286E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	31	6.68849418E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	30	6.89059213E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	38	7.34918447E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	28	9.26523793E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	28	9.22821647E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	26	8.94278958E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	23	8.3384669E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	19	7.89878642E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	17	4.88895345E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	3.3020069E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	8	3.16877654E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	4	1.93918504E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	4	2.22276322E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	5	3.02414336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	4	2.26038222E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
