gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
8510	MMP23B	0
653606	PRAMEF22	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
391004	PRAMEF17	0
11223	MST1L	0
55629	PNRC2	0
10772	SRSF10	0
653820	FAM72B	0
337875	HIST2H2BA	0
2210	FCGR1B	0
100286793	LINC00875	0
100130000	LOC100130000	0
644591	PPIAL4G	0
728833	FAM72D	0
767846	PFN1P2	0
9554	SEC22B	0
100288805	HYDIN2	0
25832	NBPF14	0
645142	PPIAL4D	0
284565	NBPF15	0
730262	PPIAL4E	0
728936	NBPF16	0
728945	PPIAL4F	0
645166	LOC645166	0
388692	LOC388692	0
100132417	FCGR1C	0
729533	FAM72A	0
119016	AGAP4	0
439965	FAM35DP	0
1517	CTSL1P2	0
728404	AGAP8	0
728407	LOC728407	0
653548	DUX4L3	0
100133161	LOC100133161	0
642612	TRIM49C	0
100288778	LOC100288778	0
440153	OR11H12	0
642426	LOC642426	0
404785	POTEG	0
101101776	LOC101101776	0
641455	POTEM	0
9834	KIAA0125	0
8755	ADAM6	0
727832	GOLGA6L6	0
729786	GOLGA8CP	0
100132101	HERC2P7	0
390535	GOLGA8EP	0
440243	LOC440243	0
283768	GOLGA8G	0
653075	GOLGA8T	0
26082	DKFZP434L187	0
89832	CHRFAM7A	0
728047	GOLGA8O	0
647042	GOLGA6L10	0
100133144	UBE2Q2P3	0
440295	GOLGA6L9	0
440297	CSPG4P8	0
26682	OR4F4	0
100124412	FAM138E	0
374666	WASH3P	0
100288486	DDX11L9	0
527	ATP6V0C	0
51005	AMDHD2	0
752014	CEMP1	0
100422974	MIR3178	0
54715	RBFOX1	3417
730013	ABCC6P2	0
23117	NPIPL3	0
100190986	LOC100190986	0
730092	RRN3P1	0
100132247	LOC100132247	0
6818	SULT1A3	0
613037	LOC613037	0
729264	TP53TG3D	0
729355	TP53TG3B	0
386757	SLC6A10P	0
649159	LINC00273	0
400581	GRAPL	0
388372	CCL4L2	0
644172	LOC644172	0
147081	CRHR1-IT1	0
100130148	MAPT-IT1	0
246744	STH	0
51326	ARL17A	0
9884	LRRC37A	0
728806	NSFP1	0
474170	LRRC37A2	0
374819	LRRC37A3	0
388574	FLJ43681	0
399844	FLJ45445	0
654342	LOC654342	0
151009	LOC151009	0
653269	POTEI	0
653275	CFC1B	0
646743	LOC646743	0
55997	CFC1	0
653781	POTEJ	0
100500862	MIR3648	0
100500815	MIR3687	0
100132288	TEKT4P2	0
574	BAGE	0
149992	ANKRD30BP2	0
23784	POTEH	0
81061	OR11H1	0
2679	GGT3P	0
728233	PI4KAP1	0
85376	RIMBP3	0
100302212	MIR1324	0
647476	FLJ20518	0
401074	LOC401074	0
3166	HMX1	0
650293	LOC650293	0
100287441	USP17L20	0
79799	UGT2A3	0
26583	DUX2	0
653544	DUX4L6	0
441056	DUX4L4	0
653545	DUX4L5	0
728340	GTF2H2C	0
653188	GUSBP3	0
100272216	LOC100272216	0
8293	SERF1A	0
6607	SMN2	0
11039	SMA4	0
11042	SMA5	0
653238	GTF2H2B	0
441081	LOC441081	0
647859	LOC647859	0
84321	THOC3	0
81399	OR4F16	0
100288524	LOC100288524	0
442497	LOC442497	0
5154	PDGFA	0
441307	FLJ44511	0
654816	NCF1B	0
84163	GTF2IRD2	0
442582	STAG3L2	0
654817	NCF1C	0
2970	GTF2IP1	0
729438	GATSL2	0
548644	POLR2J3	0
441294	CTAGE15	0
64478	CSMD1	5486
401447	USP17L1P	0
10407	SPAG11B	0
503618	DEFB104B	0
245909	DEFB106A	0
245908	DEFB105A	0
245910	DEFB107A	0
441317	FAM90A7P	0
441328	FAM90A10P	0
503614	DEFB107B	0
653423	SPAG11A	0
1673	DEFB4A	0
100132396	ZNF705B	0
100132103	FAM66E	0
392188	USP17L8	0
645836	USP17L3	0
100302186	MIR548I3	0
100287596	DDX11L5	0
100287171	WASH1	0
654835	FAM138C	0
5789	PTPRD	3923
642265	SPATA31A2	0
401507	FAM74A1	0
727830	SPATA31A3	0
728495	FAM74A3	0
26149	ZNF658	0
642629	SPATA31A4	0
389741	MGC21881	0
654466	KGFLP2	0
100133036	FAM95B1	0
441432	AQP7P3	0
642929	LOC642929	0
100132948	FAM27C	0
548321	FAM27A	0
387628	KGFLP1	0
401508	FAM74A4	0
442421	PTGER4P2-CDK2AP2P2	0
375719	AQP7P1	0
100133121	FAM27B	0
642236	LOC642236	0
100132352	LOC100132352	0
595135	PGM5P2	0
440896	LOC440896	0
653404	FOXD4L6	0
644019	CBWD6	0
728747	ANKRD20A4	0
100133920	LOC100133920	0
653427	FOXD4L5	0
