chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1590987	1677438	-	728661	SLC35E2B	4	1.51616404E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	4	1.51616404E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1682670	1711508	-	65220	NADK	4	1.51616404E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	6	1.68895685E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	2	2.22604477E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	2	2.22604477E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	1	8.9845E-2	NOT_RUN
chr1	2115898	2139172	-	199990	C1orf86	4	1.05730861E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2160133	2241652	+	6497	SKI	5	2.24645858E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	3	4.22699338E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	2	2.86584786E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2323213	2336885	+	11079	RER1	2	2.86584786E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	1	1.31137E-1	NOT_RUN
chr1	2439974	2458035	-	55229	PANK4	1	2.19627E-1	NOT_RUN
chr1	2460183	2461684	-	388585	HES5	1	2.19627E-1	NOT_RUN
chr1	2481358	2484284	-	115110	LOC115110	1	2.19627E-1	NOT_RUN
chr1	2486162	2488450	-	100133445	LOC100133445	1	2.19627E-1	NOT_RUN
chr1	2487804	2495267	+	8764	TNFRSF14	1	2.19627E-1	NOT_RUN
chr1	2517898	2522908	+	127281	FAM213B	1	2.19627E-1	NOT_RUN
chr1	2522080	2564481	-	79258	MMEL1	1	2.19627E-1	NOT_RUN
