gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
8510	MMP23B	0
984	CDK11B	0
8511	MMP23A	0
728642	CDK11A	0
400735	PRAMEF4	0
343071	PRAMEF10	0
653606	PRAMEF22	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
391004	PRAMEF17	0
11223	MST1L	0
100616492	MIR378F	0
55629	PNRC2	0
10772	SRSF10	0
653820	FAM72B	0
337875	HIST2H2BA	0
2210	FCGR1B	0
100874392	ANKRD20A12P	0
100286793	LINC00875	0
100130000	LOC100130000	0
644591	PPIAL4G	0
728833	FAM72D	0
728875	LOC728875	0
767846	PFN1P2	0
9554	SEC22B	0
100288805	HYDIN2	0
25832	NBPF14	0
645142	PPIAL4D	0
284565	NBPF15	0
730262	PPIAL4E	0
728936	NBPF16	0
728945	PPIAL4F	0
645166	LOC645166	0
388692	LOC388692	0
100132417	FCGR1C	0
57234	LINC00869	0
2209	FCGR1A	0
729533	FAM72A	0
731275	LOC731275	0
401992	OR2T2	0
127068	OR2T34	0
127069	OR2T10	0
127077	OR2T11	0
574446	MIR511-2	0
253725	FAM21C	0
119016	AGAP4	0
414241	FAM35BP	0
83849	SYT15	0
9721	GPRIN2	0
5540	NPY4R	0
643650	LINC00842	0
728643	HNRNPA1P33	0
439965	FAM35DP	0
1517	CTSL1P2	0
399753	LOC399753	0
728404	AGAP8	0
728407	LOC728407	0
439994	LOC439994	0
79803	HPS6	0
653548	DUX4L3	0
100133161	LOC100133161	0
57093	TRIM49	0
642569	TRIM53AP	0
642446	TRIM64B	0
729384	TRIM49D2P	0
120146	TRIM64	0
642612	TRIM49C	0
642623	UBTFL1	0
100288778	LOC100288778	0
440153	OR11H12	0
642426	LOC642426	0
404785	POTEG	0
101101776	LOC101101776	0
641455	POTEM	0
390429	OR4N2	0
390431	OR4K2	0
2003	ELK2AP	0
9834	KIAA0125	0
8755	ADAM6	0
338004	LINC00226	0
646096	CHEK2P2	0
283755	HERC2P3	0
727832	GOLGA6L6	0
729786	GOLGA8CP	0
606	NBEAP1	0
348120	CT60	0
646214	LOC646214	0
646243	CXADRP2	0
727924	LOC727924	0
390538	OR4M2	0
283694	OR4N4	0
390539	OR4N3P	0
646396	REREP3	0
339005	WHAMMP3	0
283796	GOLGA8I	0
400322	HERC2P2	0
100132101	HERC2P7	0
390535	GOLGA8EP	0
440243	LOC440243	0
283768	GOLGA8G	0
440248	HERC2P9	0
653075	GOLGA8T	0
26082	DKFZP434L187	0
89832	CHRFAM7A	0
728047	GOLGA8O	0
100288615	WHAMMP1	0
100996255	LOC100996255	0
647042	GOLGA6L10	0
100133144	UBE2Q2P3	0
440295	GOLGA6L9	0
440297	CSPG4P8	0
26682	OR4F4	0
100124412	FAM138E	0
374666	WASH3P	0
100288486	DDX11L9	0
527	ATP6V0C	0
51005	AMDHD2	0
752014	CEMP1	0
100422974	MIR3178	0
5170	PDPK1	0
730013	ABCC6P2	0
23420	NOMO1	0
9284	NPIP	0
100422886	MIR3179-2	0
339044	PKD1P1	0
283820	NOMO2	0
653190	ABCC6P1	0
100652781	SNX29P1	0
23117	NPIPL3	0
100271836	LOC100271836	0
100190986	LOC100190986	0
387254	SLC7A5P2	0
730092	RRN3P1	0
100132247	LOC100132247	0
653786	LOC653786	0
6818	SULT1A3	0
613037	LOC613037	0
440362	HERC2P4	0
729264	TP53TG3D	0
390705	LOC390705	0
729355	TP53TG3B	0
386757	SLC6A10P	0
649159	LINC00273	0
79567	FAM65A	0
100129396	FAM106CP	0
729252	KRT16P1	0
654346	LGALS9C	0
220594	USP32P2	0
80039	FAM106A	0
400581	GRAPL	0
284194	LGALS9B	0
6349	CCL3L1	0
388372	CCL4L2	0
85293	KRTAP3-3	0
83897	KRTAP3-2	0
83896	KRTAP3-1	0
83895	KRTAP1-5	0
728255	KRTAP1-4	0
55073	LRRC37A4P	0
644172	LOC644172	0
147081	CRHR1-IT1	0
4137	MAPT	0
100130148	MAPT-IT1	0
246744	STH	0
284058	KANSL1	0
644246	KANSL1-AS1	0
51326	ARL17A	0
9884	LRRC37A	0
728806	NSFP1	0
474170	LRRC37A2	0
8493	PPM1D	0
374819	LRRC37A3	0
256933	NPB	0
5833	PCYT2	0
51547	SIRT7	0
4097	MAFG	0
92659	MAFG-AS1	0
5831	PYCR1	0
388574	FLJ43681	0
644669	LOC644669	0
375690	WASH5P	0
81099	OR4F17	0
399844	FLJ45445	0
100287534	LOC100287534	0
112597	LINC00152	0
654342	LOC654342	0
645367	GGT8P	0
129868	TRIM43	0
151313	FAHD2B	0
375248	ANKRD36	0
151009	LOC151009	0
653269	POTEI	0
653275	CFC1B	0
646743	LOC646743	0
55997	CFC1	0
653781	POTEJ	0
100313824	MIR663B	0
23192	ATG4B	0
284802	FRG1B	0
140678	MLLT10P1	0
100500862	MIR3648	0
100500815	MIR3687	0
100132288	TEKT4P2	0
