chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1102483	1102578	+	406984	MIR200B	1	1.627E-1	NOT_RUN
chr1	1103242	1103332	+	406983	MIR200A	1	1.627E-1	NOT_RUN
chr1	1104384	1104467	+	554210	MIR429	1	1.627E-1	NOT_RUN
chr1	1109285	1133313	+	254173	TTLL10	1	1.627E-1	NOT_RUN
chr1	1138887	1142089	-	8784	TNFRSF18	1	1.627E-1	NOT_RUN
chr1	1146705	1149548	-	7293	TNFRSF4	1	1.627E-1	NOT_RUN
chr1	1152287	1167447	-	51150	SDF4	1	1.627E-1	NOT_RUN
chr1	1167628	1170420	+	126792	B3GALT6	1	1.627E-1	NOT_RUN
chr1	1177825	1182102	-	388581	FAM132A	1	1.627E-1	NOT_RUN
chr1	1189291	1209234	-	118424	UBE2J2	1	1.627E-1	NOT_RUN
chr1	1590987	1677438	-	728661	SLC35E2B	4	2.62163988E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	4	2.62163988E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1682670	1711508	-	65220	NADK	4	2.62163988E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	6	3.20053522E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	3	1.2050757E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	3	1.2050757E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	1	7.3E-5	NOT_RUN
chr1	1981908	2116834	+	5590	PRKCZ	4	6.36958145E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	5	5.56728785E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2160133	2241652	+	6497	SKI	7	3.39747535E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	3	3.58474772E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	2	2.87611869E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2323213	2336885	+	11079	RER1	1	3.423E-2	NOT_RUN
chr1	2336240	2344010	-	5192	PEX10	1	9.888E-1	NOT_RUN
chr1	2407753	2436969	+	9651	PLCH2	3	8.84823189E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	3	8.84823189E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2460183	2461684	-	388585	HES5	1	6.099E-1	NOT_RUN
chr1	2487804	2495267	+	8764	TNFRSF14	1	3.599E-2	NOT_RUN
chr1	2517898	2522908	+	127281	FAM213B	1	3.599E-2	NOT_RUN
chr1	2522080	2564481	-	79258	MMEL1	1	3.599E-2	NOT_RUN
chr1	2572806	2706230	-	100287898	TTC34	4	1.81888297E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	2	4.8191646E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	1	2.438E-1	NOT_RUN
chr1	2985741	3355185	+	63976	PRDM16	10	7.37686373E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	2	4.39840601E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	1	4.748E-1	NOT_RUN
chr1	3477259	3477354	-	693135	MIR551A	1	4.748E-1	NOT_RUN
chr1	3569128	3652765	+	7161	TP73	1	3.475E-1	NOT_RUN
chr1	3652547	3663937	-	57212	TP73-AS1	1	3.475E-1	NOT_RUN
chr1	3668964	3688209	+	148870	CCDC27	1	3.475E-1	NOT_RUN
chr1	3689333	3692546	+	388588	SMIM1	1	3.475E-1	NOT_RUN
chr1	3696783	3713068	-	57470	LRRC47	1	3.475E-1	NOT_RUN
chr1	3728644	3773797	-	9731	CEP104	1	4.962E-1	NOT_RUN
chr1	3773844	3801993	+	1677	DFFB	1	4.962E-1	NOT_RUN
chr1	3805696	3816857	-	339448	C1orf174	1	4.962E-1	NOT_RUN
chr1	3816967	3833879	+	100133612	LOC100133612	1	4.962E-1	NOT_RUN
chr1	4000671	4012643	+	728716	LOC728716	2	1.07552625E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	1	2.566E-1	NOT_RUN
chr1	4715104	4843851	+	55966	AJAP1	7	6.08526319E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	3	8.31339793E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	2	7.8678507E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	3	7.87945451E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	2	2.83227211E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6161846	6240194	-	26038	CHD5	7	2.81358488E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	14	1.92140553E-1	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	29	1.27460107E-1	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	29	1.36792059E-1	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	29	1.36792059E-1	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	29	1.36792059E-1	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	27	1.33090209E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	4	6.30290502E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	7	8.97338871E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	7	8.97338871E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	5	8.91544638E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
