chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	1	6.204E-1	NOT_RUN
chr1	761585	762902	-	79854	LINC00115	2	5.55365774E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	2	5.55365774E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	2	5.49199503E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	2	7.72150363E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	860529	879961	+	148398	SAMD11	3	2.49822845E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	879582	894679	-	26155	NOC2L	3	2.49822845E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	3	2.49822845E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	2	1.53383553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	2	1.53383553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	2	1.53383553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	2	1.53383553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	6	4.08985268E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	7	3.56171061E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	14	5.56612666E-2	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	14	6.10935158E-2	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	11	3.11418813E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	12	3.74390574E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	12	3.74390574E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	17	5.80128822E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	12	8.47386604E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	12	8.93682738E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	12	8.68359094E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	11	8.47796465E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	9	9.23003483E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	8	8.81869597E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	3	7.00395585E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	3	7.14972938E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	3	7.14972938E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	3	8.08483734E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	4	5.04306619E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	3	3.94731336E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	2	2.54555739E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	1	1.505E-1	NOT_RUN
chr1	1370902	1378262	+	64856	VWA1	1	1.332E-1	NOT_RUN
chr1	1385068	1405538	+	219293	ATAD3C	2	2.80941671E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	6	4.37405296E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	9	5.96854078E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	9	5.96854078E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	8	7.4416382E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	5	7.10956382E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	2	6.97223492E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	2	1.86459007E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	2	1.86459007E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1682670	1711508	-	65220	NADK	4	3.49316209E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	9	4.63747862E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	7	1.74341068E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	7	1.74341068E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	8	4.33046526E-2	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	5	5.26268428E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	26	8.38945603E-1	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	18	6.73823887E-1	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	42	8.32884387E-1	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	52	6.34501455E-1	DAVIES_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	33	4.77844203E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	34	4.07621557E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	30	4.47171719E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	19	3.69911163E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	16	3.23241867E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	11	3.43765938E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	11	5.91908312E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	11	5.91908312E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	12	6.37179621E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	11	5.76019481E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	11	5.76019481E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	15	4.29435349E-1	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	17	2.37851075E-1	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	19	8.12367553E-2	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	124	5.62254788E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	19	4.72754909E-2	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	21	2.96085935E-1	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	42	1.80682347E-1	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	24	1.37046261E-1	DAVIES_SUCCESS
