chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	1	6.222E-1	NOT_RUN
chr1	761585	762902	-	79854	LINC00115	5	2.94994173E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	5	2.94994173E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	4	2.51550035E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	2	5.0515172E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	19	1.0672026E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	23	1.49682727E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	39	1.88465459E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	30	4.80276807E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	28	6.75251009E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	29	7.04787604E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	28	6.89001616E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	35	7.28972076E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	26	9.81210168E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	26	9.64207326E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	24	9.35001018E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	23	9.16594212E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	19	8.68439935E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	17	7.69497592E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	7.99437984E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	8	7.99219072E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
