chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	901876	1334718	+	meta_84069_81669	meta_PLEKHN1_CCNL2	4	4.09133547E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	1167447	+	meta_9636_51150	meta_ISG15_SDF4	30	3.06795008E-1	DAVIES_SUCCESS
chr1	948846	1269844	+	meta_9636_254173_83756	meta_ISG15_TTLL10_TAS1R3	46	2.53521254E-1	DAVIES_SUCCESS
chr1	948846	2139172	+	meta_9636_83756_81669_199990	meta_ISG15_TAS1R3_CCNL2_C1orf86	68	4.18477593E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_81669_199990_127281	meta_ISG15_TTLL10_TAS1R3_CCNL2_C1orf86_FAM213B	148	8.12789816E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_9906_199990_127281	meta_ISG15_TTLL10_TAS1R3_SLC35E2_C1orf86_FAM213B	157	8.06811698E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_83756_81669_2782_127281	meta_ISG15_TAS1R3_CCNL2_GNB1_FAM213B	100	4.60004666E-1	DAVIES_SUCCESS
chr1	1109285	1269844	+	meta_254173_83756	meta_TTLL10_TAS1R3	42	6.69838396E-1	DAVIES_SUCCESS
chr1	1138887	1444689	+	meta_8784_126789_81669_83858	meta_TNFRSF18_PUSL1_CCNL2_ATAD3B	47	9.01213058E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_219293	meta_TNFRSF4_ATAD3C	31	9.61158031E-1	DAVIES_SUCCESS
chr1	1146705	1655791	+	meta_7293_118424_219293_728642	meta_TNFRSF4_UBE2J2_ATAD3C_CDK11A	38	9.31948489E-1	DAVIES_SUCCESS
chr1	1146705	2139172	+	meta_7293_219293_199990	meta_TNFRSF4_ATAD3C_C1orf86	91	8.80741789E-1	DAVIES_SUCCESS
chr1	1167628	1510262	+	meta_126792_29101	meta_B3GALT6_SSU72	42	7.96821433E-1	DAVIES_SUCCESS
chr1	1177825	1444689	+	meta_388581_118424_83858	meta_FAM132A_UBE2J2_ATAD3B	34	7.59290327E-1	DAVIES_SUCCESS
chr1	1243993	1334718	+	meta_126789_81669	meta_PUSL1_CCNL2	6	3.17993973E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1444689	+	meta_126789_81669_83858	meta_PUSL1_CCNL2_ATAD3B	19	6.23156461E-1	DAVIES_SUCCESS
chr1	1243993	1962192	+	meta_126789_81669_83858_2563	meta_PUSL1_CCNL2_ATAD3B_GABRD	24	4.94145265E-1	DAVIES_SUCCESS
chr1	1361507	1655775	+	meta_643965_984	meta_TMEM88B_CDK11B	6	9.52797297E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1361507	1962192	+	meta_643965_2563	meta_TMEM88B_GABRD	7	3.00477703E-1	DAVIES_SUCCESS
chr1	1385068	1677438	+	meta_219293_728661	meta_ATAD3C_SLC35E2B	12	5.37096595E-1	DAVIES_SUCCESS
chr1	1385068	1711508	+	meta_219293_65220	meta_ATAD3C_NADK	22	4.66897786E-1	DAVIES_SUCCESS
chr1	1385068	1822526	+	meta_219293_2782	meta_ATAD3C_GNB1	53	3.30647079E-1	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	53	3.27409404E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_127281	meta_GABRD_FAM213B	47	9.06685371E-1	DAVIES_SUCCESS
chr1	1950767	2522908	+	meta_2563_8764_127281	meta_GABRD_TNFRSF14_FAM213B	56	9.41882895E-1	DAVIES_SUCCESS
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	122	8.98510866E-1	DAVIES_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	111	7.17077882E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	170	7.89772552E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	170	7.89772552E-1	DAVIES_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	135	6.78168432E-1	DAVIES_SUCCESS
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	146	8.00241433E-1	DAVIES_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	141	9.84711114E-1	DAVIES_SUCCESS
chr1	6472497	6639817	+	meta_54626_80835	meta_HES2_TAS1R1	85	3.82826882E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	144	6.48927317E-1	DAVIES_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	103	7.08398425E-1	DAVIES_SUCCESS
chr1	7903142	8404227	+	meta_10911_11315_50651	meta_UTS2_PARK7_SLC45A1	165	5.85932415E-1	DAVIES_SUCCESS
chr1	7903142	9148510	+	meta_10911_50651_6518	meta_UTS2_SLC45A1_SLC2A5	246	3.79666993E-1	DAVIES_SUCCESS
chr1	8021713	8404227	+	meta_11315_50651	meta_PARK7_SLC45A1	96	4.93789893E-1	DAVIES_SUCCESS
chr1	8384389	9148510	+	meta_50651_6518	meta_SLC45A1_SLC2A5	168	2.51369546E-1	DAVIES_SUCCESS
chr1	8384389	9674935	+	meta_50651_6518_199953	meta_SLC45A1_SLC2A5_TMEM201	202	3.10602608E-1	DAVIES_SUCCESS
chr1	9097004	9674935	+	meta_6518_199953	meta_SLC2A5_TMEM201	140	3.31971987E-1	DAVIES_SUCCESS
chr1	9097004	9674935	+	meta_6518_9563_199953	meta_SLC2A5_H6PD_TMEM201	207	4.62644228E-1	DAVIES_SUCCESS
chr1	9097004	10003427	+	meta_6518_84328	meta_SLC2A5_LZIC	134	3.66870157E-1	DAVIES_SUCCESS
chr1	9294862	9674935	+	meta_9563_199953	meta_H6PD_TMEM201	101	7.22270853E-1	DAVIES_SUCCESS
chr1	10003485	10690815	+	meta_64802_1325_5195	meta_NMNAT1_CORT_PEX14	208	4.29999896E-1	DAVIES_SUCCESS
chr1	10003485	10690815	+	meta_64802_5195	meta_NMNAT1_PEX14	202	4.121336E-1	DAVIES_SUCCESS
chr1	10093040	10532613	+	meta_10277_1676	meta_UBE4B_DFFA	123	7.90131498E-1	DAVIES_SUCCESS
chr1	10093040	10690815	+	meta_10277_5195	meta_UBE4B_PEX14	222	4.37117623E-1	DAVIES_SUCCESS
chr1	11006529	11714888	+	meta_148345_26232	meta_C1orf127_FBXO2	147	3.01277363E-1	DAVIES_SUCCESS
chr1	11539294	11903201	+	meta_57540_1185	meta_PTCHD2_CLCN6	238	9.57962355E-1	DAVIES_SUCCESS
chr1	11724149	11751678	+	meta_26270_10459	meta_FBXO6_MAD2L2	55	8.83689439E-1	DAVIES_SUCCESS
chr1	11866152	12727097	+	meta_1185_4879_343066	meta_CLCN6_NPPB_AADACL4	224	9.66568533E-1	DAVIES_SUCCESS
chr1	11905766	12727097	+	meta_4878_4879_343066	meta_NPPA_NPPB_AADACL4	192	9.54395444E-1	DAVIES_SUCCESS
chr1	11917520	11986485	+	meta_4879_90231	meta_NPPB_KIAA2013	132	8.84108951E-1	DAVIES_SUCCESS
chr1	11917520	12727097	+	meta_4879_343066	meta_NPPB_AADACL4	175	9.50248706E-1	DAVIES_SUCCESS
chr1	13801444	14151574	+	meta_126755_7799	meta_LRRC38_PRDM2	285	9.00003065E-1	DAVIES_SUCCESS
chr1	14925212	15817895	+	meta_23254_51032	meta_KAZN_CELA2B	572	4.49016707E-1	DAVIES_SUCCESS
chr1	14925212	16400127	+	meta_23254_51032_348487	meta_KAZN_CELA2B_FAM131C	645	4.13153744E-1	DAVIES_SUCCESS
chr1	15479027	16763919	+	meta_55092_79180_374955	meta_TMEM51_EFHD2_SPATA21	330	1.76268938E-2	DAVIES_SUCCESS
chr1	15736390	16763919	+	meta_79180_374955	meta_EFHD2_SPATA21	117	1.58351669E-1	DAVIES_SUCCESS
chr1	15764937	15817895	+	meta_11330_51032	meta_CTRC_CELA2B	116	9.09152796E-1	DAVIES_SUCCESS
chr1	15802595	15987552	+	meta_51032_84301	meta_CELA2B_DDI2	171	9.76676849E-1	DAVIES_SUCCESS
chr1	15817323	16061264	+	meta_842_23207	meta_CASP9_PLEKHM2	192	9.89899884E-1	DAVIES_SUCCESS
chr1	15853351	17299474	+	meta_23341_7709_9696	meta_DNAJC16_ZBTB17_CROCC	236	8.70865937E-1	DAVIES_SUCCESS
chr1	15943952	16786584	+	meta_84301_55707	meta_DDI2_NECAP2	122	5.12566453E-1	DAVIES_SUCCESS
chr1	16010826	16113084	+	meta_23207_54751	meta_PLEKHM2_FBLIM1	103	9.12379422E-1	DAVIES_SUCCESS
chr1	16068986	16400127	+	meta_388595_348487	meta_TMEM82_FAM131C	122	6.42687882E-1	DAVIES_SUCCESS
chr1	16355620	16400127	+	meta_1188_348487	meta_CLCNKB_FAM131C	93	3.76976446E-1	DAVIES_SUCCESS
chr1	16524598	17572501	+	meta_128272_26099_29943	meta_ARHGEF19_SZRD1_PADI1	303	3.5724162E-1	DAVIES_SUCCESS
chr1	16693524	17572501	+	meta_26099_29943	meta_SZRD1_PADI1	240	2.08996504E-1	DAVIES_SUCCESS
chr1	17066767	17308081	+	meta_9696_4237	meta_CROCC_MFAP2	44	4.96698557E-1	DAVIES_SUCCESS
chr1	17066767	17445948	+	meta_9696_11240	meta_CROCC_PADI2	148	1.83272506E-1	DAVIES_SUCCESS
chr1	17066767	17445948	+	meta_9696_4237_11240	meta_CROCC_MFAP2_PADI2	148	1.83272506E-1	DAVIES_SUCCESS
chr1	17300998	17445948	+	meta_4237_11240	meta_MFAP2_PADI2	136	1.62632274E-1	DAVIES_SUCCESS
chr1	17634689	18153558	+	meta_23569_81569	meta_PADI4_ACTL8	332	5.59068431E-1	DAVIES_SUCCESS
chr1	18434239	19075360	+	meta_84966_5081	meta_IGSF21_PAX7	614	9.28043005E-1	DAVIES_SUCCESS
chr1	18807423	19229293	+	meta_127707_8659	meta_KLHDC7A_ALDH4A1	215	7.2740024E-1	DAVIES_SUCCESS
chr1	18807423	20141771	+	meta_127707_8659_54546	meta_KLHDC7A_ALDH4A1_RNF186	303	6.41509218E-1	DAVIES_SUCCESS
chr1	19197923	19536746	+	meta_8659_23352	meta_ALDH4A1_UBR4	233	7.1697853E-1	DAVIES_SUCCESS
chr1	19197923	19812066	+	meta_8659_832	meta_ALDH4A1_CAPZB	296	7.19188213E-1	DAVIES_SUCCESS
chr1	19197923	20141771	+	meta_8659_54546	meta_ALDH4A1_RNF186	160	3.76584637E-1	DAVIES_SUCCESS
chr1	19197923	20418394	+	meta_8659_832_5322	meta_ALDH4A1_CAPZB_PLA2G5	423	8.00990092E-1	DAVIES_SUCCESS
chr1	19542157	19812066	+	meta_23065_832	meta_EMC1_CAPZB	299	8.5257581E-1	DAVIES_SUCCESS
chr1	19665266	19984949	+	meta_832_4681	meta_CAPZB_NBL1	290	7.70832338E-1	DAVIES_SUCCESS
chr1	19665266	20812728	+	meta_832_55450	meta_CAPZB_CAMK2N1	302	6.11196781E-1	DAVIES_SUCCESS
chr1	20439142	21503381	+	meta_26279_55450_8672	meta_PLA2G2D_CAMK2N1_EIF4G3	354	5.24660635E-1	DAVIES_SUCCESS
chr1	20512577	20945400	+	meta_127733_978	meta_UBXN10_CDA	200	4.30567025E-1	DAVIES_SUCCESS
chr1	20808883	21503381	+	meta_55450_8672	meta_CAMK2N1_EIF4G3	244	4.20391669E-1	DAVIES_SUCCESS
chr1	21543739	21811393	+	meta_1889_84224	meta_ECE1_NBPF3	226	7.20059971E-1	DAVIES_SUCCESS
chr1	21766582	22470385	+	meta_84224_54361	meta_NBPF3_WNT4	201	8.97420865E-1	DAVIES_SUCCESS
chr1	22963117	24438665	+	meta_712_3352_55616_127294	meta_C1QA_HTR1D_ASAP3_MYOM3	354	2.87382557E-1	DAVIES_SUCCESS
chr1	22979681	23811057	+	meta_713_55616	meta_C1QB_ASAP3	162	1.63048685E-1	DAVIES_SUCCESS
chr1	23518387	23811057	+	meta_3352_55616	meta_HTR1D_ASAP3	122	3.24442869E-1	DAVIES_SUCCESS
chr1	23707554	24438665	+	meta_6920_1870_6924_127294	meta_TCEA3_E2F2_TCEB3_MYOM3	298	6.06522218E-1	DAVIES_SUCCESS
chr1	23707554	24799473	+	meta_6920_1870_57185	meta_TCEA3_E2F2_NIPAL3	235	4.00901636E-1	DAVIES_SUCCESS
chr1	23707554	24799473	+	meta_6920_57185	meta_TCEA3_NIPAL3	189	3.27961957E-1	DAVIES_SUCCESS
